custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-10-2-2,increased storm intensity,coastal flooding in the 2030s,yes,no,yes,no
request-10-2-3,coastal flooding in the 2030s,changes in the coastline,yes,yes,yes,yes
request-11-0-0,drought,reduced precipitation,no,yes,no,yes
request-11-0-1,reduced precipitation,lowered river levels,yes,no,yes,no
request-11-0-2,lowered river levels,landscape modification,yes,yes,yes,yes
request-11-0-3,landscape modification,updated geography maps,yes,no,yes,no
request-11-1-0,drought,increased evaporation rates,yes,yes,no,yes
request-11-1-1,increased evaporation rates,soil moisture depletion,yes,no,yes,no
request-11-1-2,soil moisture depletion,vegetation loss,yes,yes,yes,yes
request-11-1-3,vegetation loss,altered topography,yes,yes,yes,yes
request-11-1-4,altered topography,reflected in geography maps,yes,no,yes,no
request-11-2-0,drought,extended dry periods,no,yes,no,yes
request-11-2-1,extended dry periods,formation of new desert areas,yes,no,yes,no
request-11-2-2,formation of new desert areas,changes in land use,yes,yes,yes,yes
request-11-2-3,changes in land use,recorded in geography maps,yes,yes,yes,yes
request-11-3-0,drought,water reservoir depletion,yes,no,yes,no
request-11-3-1,water reservoir depletion,river course alteration,yes,yes,yes,yes
request-11-3-2,river course alteration,modified drainage systems,yes,yes,yes,yes
request-11-3-3,modified drainage systems,depicted in geography maps,yes,no,no,no
request-11-4-0,drought,agricultural stress,yes,no,yes,no
request-11-4-1,agricultural stress,abandoned farmland,yes,yes,yes,no
request-11-4-2,abandoned farmland,natural vegetation takeover,yes,no,yes,no
request-11-4-3,natural vegetation takeover,redesigned landscape features,yes,yes,no,no
request-11-4-4,redesigned landscape features,shown in geography maps,yes,no,yes,yes
request-12-0-0,changes in geographical maps,redefinition of national boundaries,no,yes,no,yes
request-12-0-1,redefinition of national boundaries,ethnic tensions,yes,yes,yes,yes
request-12-0-2,ethnic tensions,migration issues,yes,yes,it depends,yes
request-12-1-0,changes in geographical maps,alteration of natural resources distribution,no,yes,no,yes
request-12-1-1,alteration of natural resources distribution,economic instability,yes,yes,yes,yes
request-12-1-2,economic instability,migration issues,yes,no,yes,no
request-12-2-0,changes in geographical maps,modification of transportation routes,yes,yes,no,yes
request-12-2-1,modification of transportation routes,shifts in economic opportunities,yes,yes,yes,yes
request-12-2-2,shifts in economic opportunities,migration issues,yes,yes,yes,yes
request-12-3-0,changes in geographical maps,changes in land use patterns,yes,yes,no,yes
request-12-3-1,changes in land use patterns,displacement of populations,yes,yes,yes,yes
request-12-3-2,displacement of populations,migration issues,yes,yes,yes,yes
request-12-4-0,changes in geographical maps,shifts in climate zones,yes,yes,no,no
request-12-4-1,shifts in climate zones,environmental stress,yes,yes,yes,yes
request-12-4-2,environmental stress,migration issues,yes,yes,yes,yes
request-12-5-0,changes in geographical maps,reconfiguration of economic regions,yes,yes,no,yes
request-12-5-1,reconfiguration of economic regions,job scarcity in certain areas,yes,yes,yes,yes
request-12-5-2,job scarcity in certain areas,migration issues,yes,it's not possible to adequately answer with a simple 'yes' or 'no' as the impact of migration on job scarcity in certain areas is complex and depends on various factors,yes,yes
request-13-0-0,methane emission,atmospheric accumulation,yes,no,yes,no
request-13-0-1,atmospheric accumulation,greenhouse gas effect,yes,no,yes,no
request-13-0-2,greenhouse gas effect,global warming,yes,no,yes,no
request-13-0-3,global warming,pollution,no,yes,no,yes
request-13-1-0,methane leakage,oxidation in the atmosphere,yes,no,no,no
request-13-1-1,oxidation in the atmosphere,formation of groundlevel ozone,yes,yes,yes,no
request-13-1-2,formation of groundlevel ozone,air quality degradation,yes,yes,yes,yes
request-13-1-3,air quality degradation,pollution,no,yes,no,yes
request-13-2-0,methane release from agriculture,increase in atmospheric methane,yes,no,yes,no
request-13-2-1,increase in atmospheric methane,enhanced greenhouse warming,yes,yes,yes,yes
request-13-2-2,enhanced greenhouse warming,climaterelated disruptions,yes,no,yes,no
request-13-2-3,climaterelated disruptions,pollution,yes,yes,no,yes
request-13-3-0,methane extraction,fossil fuel combustion,no,no,no,no
request-13-3-1,fossil fuel combustion,emission of pollutants,yes,no,yes,yes
request-13-3-2,emission of pollutants,air contamination,yes,no,yes,no
request-13-3-3,air contamination,pollution,no,yes,yes,yes
request-14-0-0,methane release into arctic ocean sediments and waters,increased greenhouse gas concentrations,yes,yes,yes,yes
request-14-0-1,increased greenhouse gas concentrations,accelerated global warming,yes,yes,yes,no
request-14-0-2,accelerated global warming,ocean temperature rise,yes,no,yes,no
request-14-0-3,ocean temperature rise,thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,no
request-14-1-0,methane release into arctic ocean sediments and waters,altered sediment chemistry,yes,yes,yes,yes
request-14-1-1,altered sediment chemistry,destabilization of permafrost structure,yes,yes,no,yes
request-14-1-2,destabilization of permafrost structure,thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,yes
request-14-2-0,methane release into arctic ocean sediments and waters,enhanced microbial activity,yes,yes,yes,yes
request-14-2-1,enhanced microbial activity,increased heat generation within sediments,yes,yes,no,yes
request-14-2-2,increased heat generation within sediments,thawing of subsea permafrost and decomposition of methane hydrates,yes,no,no,no
request-14-3-0,methane release into arctic ocean sediments and waters,reduction in sediment stability,yes,yes,yes,yes
request-14-3-1,reduction in sediment stability,physical disruption of permafrost layers,yes,yes,yes,yes
request-14-3-2,physical disruption of permafrost layers,thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,no,yes
request-15-0-0,methane production by methanogenic microbes,methane released into the atmosphere,yes,no,yes,no
request-15-0-1,methane released into the atmosphere,atmospheric methane intensifies the greenhouse effect,yes,yes,yes,yes
request-15-0-2,atmospheric methane intensifies the greenhouse effect,global temperatures rise,yes,yes,yes,yes
request-15-0-3,global temperatures rise,permafrost thaws,yes,yes,yes,no
request-15-0-4,permafrost thaws,ancient carbon is released from sediment into the atmosphere,yes,yes,yes,yes
request-15-1-0,decomposition of organic matter in wetlands,methane emitted from wetlands,yes,no,yes,no
request-15-1-1,methane emitted from wetlands,methane accumulates in the atmosphere,yes,no,yes,yes
request-15-1-2,methane accumulates in the atmosphere,enhanced greenhouse warming,yes,yes,yes,yes
request-15-1-3,enhanced greenhouse warming,increased surface temperatures,yes,yes,yes,no
request-15-1-4,increased surface temperatures,thermal expansion and sediment disruption,yes,no,yes,no
request-15-1-5,thermal expansion and sediment disruption,ancient carbon is released from sediment into the atmosphere,yes,yes,no,yes
request-15-2-0,methane hydrate destabilization in ocean sediments,methane released into ocean water,yes,no,yes,no
request-15-2-1,methane released into ocean water,methane escapes from ocean to atmosphere,yes,yes,yes,no
request-15-2-2,methane escapes from ocean to atmosphere,atmospheric methane levels rise,yes,no,no,no
request-15-2-3,atmospheric methane levels rise,strengthened greenhouse effect,yes,yes,yes,no
request-15-2-4,strengthened greenhouse effect,ocean temperatures increase,yes,no,yes,no
request-15-2-5,ocean temperatures increase,ancient carbon is released from sediment into the atmosphere,no,yes,yes,no
request-15-3-0,anthropogenic methane emissions from fossil fuel extraction,methane enters the atmosphere,yes,yes,yes,yes
request-15-3-1,methane enters the atmosphere,elevated methane enhances greenhouse warming,yes,no,yes,yes
request-15-3-2,elevated methane enhances greenhouse warming,climate change accelerates geological weathering,yes,no,no,yes
request-15-3-3,climate change accelerates geological weathering,increased erosion and sediment disturbance,yes,no,yes,yes
request-15-3-4,increased erosion and sediment disturbance,ancient carbon is released from sediment into the atmosphere,yes,no,yes,yes
request-15-4-0,methane leakage from natural seeps,methane concentration in the atmosphere increases,yes,no,yes,no
request-15-4-1,methane concentration in the atmosphere increases,greenhouse gas effect is amplified,yes,yes,yes,yes
request-15-4-2,greenhouse gas effect is amplified,global warming intensifies,yes,yes,yes,yes
request-15-4-3,global warming intensifies,sedimentary layers are disturbed by temperature changes,no,no,yes,no
request-15-4-4,sedimentary layers are disturbed by temperature changes,ancient carbon is released from sediment into the atmosphere,yes,no,yes,no
request-16-0-0,ancient sources dominating deep waters,accumulation of methane in deep water reservoirs,yes,no,yes,no
request-16-0-1,accumulation of methane in deep water reservoirs,limited mixing between deep and surface waters,yes,yes,yes,yes
request-16-0-2,limited mixing between deep and surface waters,low methane flux to surface,yes,no,yes,no
request-16-0-3,low methane flux to surface,the 10 ± 3% contribution of surface water methane,no,no,no,no
request-16-1-0,ancient sources dominating deep waters,high release rates of methane from deep sources,no,no,no,no
request-16-1-1,high release rates of methane from deep sources,increased methane availability in the water column,yes,no,yes,yes
request-16-1-2,increased methane availability in the water column,methane transport mechanisms transferring deep methane to surface,yes,yes,yes,yes
request-16-1-3,methane transport mechanisms transferring deep methane to surface,methane oxidization in surface waters limiting its concentration,yes,yes,yes,yes
request-16-1-4,methane oxidization in surface waters limiting its concentration,the 10 ± 3% contribution of surface water methane,yes,yes,yes,yes
request-16-2-0,ancient sources dominating deep waters,cold temperatures in deep waters preserving methane,no,yes,yes,yes
request-16-2-1,cold temperatures in deep waters preserving methane,minimal methane release to surface,yes,no,yes,yes
request-16-2-2,minimal methane release to surface,reduced surface water methane levels,yes,yes,yes,yes
request-16-2-3,reduced surface water methane levels,the 10 ± 3% contribution of surface water methane,no,no,no,no
request-16-3-0,ancient sources dominating deep waters,methane sequestration in deepsea sediments,no,no,no,no
request-16-3-1,methane sequestration in deepsea sediments,low disturbance of sediment layers,yes,yes,no,yes
request-16-3-2,low disturbance of sediment layers,restricted methane migration to surface,yes,yes,yes,yes
request-16-3-3,restricted methane migration to surface,the 10 ± 3% contribution of surface water methane,yes,no,no,no
request-16-4-0,ancient sources dominating deep waters,hydrothermal vent activity releasing methane,no,no,no,no
request-16-4-1,hydrothermal vent activity releasing methane,methane dilution in vast deep water volumes,yes,no,yes,no
request-16-4-2,methane dilution in vast deep water volumes,limited upward transport of diluted methane,yes,yes,yes,no
request-16-4-3,limited upward transport of diluted methane,the 10 ± 3% contribution of surface water methane,yes,yes,no,yes
request-17-0-0,sourced methane,methane release,yes,yes,yes,yes
request-17-0-1,methane release,atmospheric methane increase,yes,no,yes,no
request-17-0-2,atmospheric methane increase,greenhouse effect intensification,yes,yes,yes,no
request-17-0-3,greenhouse effect intensification,climate warming,yes,yes,yes,no
request-17-0-4,climate warming,permafrost thawing,yes,yes,yes,no
request-17-0-5,permafrost thawing,the emission of ancient carbon into the atmosphere,yes,yes,yes,no
request-17-1-0,oceanic oxidation,reduced oceanic carbon uptake,no,no,no,no
request-17-1-1,reduced oceanic carbon uptake,elevated atmospheric co₂ levels,yes,no,no,no
request-17-1-2,elevated atmospheric co₂ levels,climate warming,yes,yes,yes,no
request-17-1-3,climate warming,carbon reservoir destabilization,yes,yes,yes,no
request-17-1-4,carbon reservoir destabilization,the emission of ancient carbon into the atmosphere,yes,yes,yes,yes
request-17-2-0,dispersion processes as climate change progresses,enhanced distribution of greenhouse gases,yes,no,yes,yes
request-17-2-1,enhanced distribution of greenhouse gases,atmospheric warming,yes,yes,yes,no
request-17-2-2,atmospheric warming,destabilization of carbon storage,yes,yes,yes,no
request-17-2-3,destabilization of carbon storage,the emission of ancient carbon into the atmosphere,yes,yes,yes,yes
request-18-0-0,co2 mitigation,reduction in atmospheric co₂ levels,yes,no,yes,no
request-18-0-1,reduction in atmospheric co₂ levels,stabilization of global temperatures,yes,no,yes,no
request-18-0-2,stabilization of global temperatures,alteration of ocean temperature gradients,yes,no,no,no
request-18-0-3,alteration of ocean temperature gradients,disruption of amoc,yes,yes,yes,yes
request-18-0-4,disruption of amoc,collapse of the atlantic meridional overturning circulation,yes,yes,yes,no
request-18-1-0,co2 mitigation,decrease in greenhouse gas emissions,yes,yes,yes,yes
request-18-1-1,decrease in greenhouse gas emissions,changes in global precipitation patterns,yes,no,no,no
request-18-1-2,changes in global precipitation patterns,increased freshwater influx into the north atlantic,yes,yes,yes,yes
request-18-1-3,increased freshwater influx into the north atlantic,reduction in ocean salinity,yes,no,yes,no
request-18-1-4,reduction in ocean salinity,weakening of amoc,yes,yes,yes,no
request-18-1-5,weakening of amoc,collapse of the atlantic meridional overturning circulation,yes,yes,yes,no
request-18-2-0,co2 mitigation,adoption of renewable energy sources,yes,yes,yes,yes
request-18-2-1,adoption of renewable energy sources,reduction in atmospheric aerosols,yes,no,yes,no
request-18-2-2,reduction in atmospheric aerosols,increased solar radiation absorption by oceans,yes,no,yes,no
request-18-2-3,increased solar radiation absorption by oceans,altered ocean heat distribution,yes,no,yes,no
request-18-2-4,altered ocean heat distribution,destabilization of amoc,yes,yes,yes,yes
request-18-2-5,destabilization of amoc,collapse of the atlantic meridional overturning circulation,yes,yes,yes,no
request-19-0-0,stronger amoc in rcp85 framework,increased northward heat transport,yes,yes,no,no
request-19-0-1,increased northward heat transport,enhanced heat distribution in the north atlantic,yes,yes,yes,no
request-19-0-2,enhanced heat distribution in the north atlantic,elevated sea surface and air temperatures in the north atlantic relative to rcp85ctrl,yes,yes,yes,yes
request-19-1-0,stronger amoc in rcp85 framework,altered ocean circulation patterns,yes,no,no,no
request-19-1-1,altered ocean circulation patterns,reduced heat uptake by the north atlantic,yes,yes,yes,yes
request-19-1-2,reduced heat uptake by the north atlantic,elevated sea surface and air temperatures in the north atlantic relative to rcp85ctrl,yes,yes,yes,no
request-19-2-0,stronger amoc in rcp85 framework,increased mixing of warm surface waters with deeper layers,yes,no,no,no
request-19-2-1,increased mixing of warm surface waters with deeper layers,amplified local warming in the north atlantic,no,no,no,no
request-19-2-2,amplified local warming in the north atlantic,elevated sea surface and air temperatures in the north atlantic relative to rcp85ctrl,yes,yes,yes,yes
request-20-0-0,the hottest pathway resulting in 45+ degrees of warming by the end of the century,increased demand for climate adaptation technologies,yes,no,no,no
request-20-0-1,increased demand for climate adaptation technologies,growth in green technology sectors,yes,yes,yes,no
request-20-0-2,growth in green technology sectors,job creation and investment,yes,yes,yes,yes
request-20-0-3,job creation and investment,the absolute highest economic growth,no,yes,no,yes
request-20-1-0,the hottest pathway resulting in 45+ degrees of warming by the end of the century,accelerated infrastructure development for climate resilience,yes,no,no,no
request-20-1-1,accelerated infrastructure development for climate resilience,expansion of construction and related industries,yes,yes,yes,no
request-20-1-2,expansion of construction and related industries,increased gdp from infrastructure projects,yes,yes,yes,yes
request-20-1-3,increased gdp from infrastructure projects,the absolute highest economic growth,no,yes,no,no
request-20-2-0,the hottest pathway resulting in 45+ degrees of warming by the end of the century,international policies and regulations to mitigate climate impacts,yes,no,no,no
request-20-2-1,international policies and regulations to mitigate climate impacts,increased government spending on green initiatives,yes,no,yes,yes
request-20-2-2,increased government spending on green initiatives,stimulated economic activities in sustainable sectors,yes,yes,yes,no
request-20-2-3,stimulated economic activities in sustainable sectors,the absolute highest economic growth,no,no,no,no
