custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-4-3-2,soil contamination,waterway pollution,yes,yes
request-4-3-3,waterway pollution,ecosystem imbalance,yes,yes
request-4-3-4,ecosystem imbalance,degradation of nature,yes,yes
request-4-4-0,business transportation,air pollution,yes,no
request-4-4-1,air pollution,acid rain,yes,no
request-4-4-2,acid rain,soil acidification,yes,no
request-4-4-3,soil acidification,plant damage,yes,no
request-4-4-4,plant damage,degradation of nature,yes,yes
request-4-5-0,business chemical use,chemical runoff,yes,no
request-4-5-1,chemical runoff,waterway contamination,yes,yes
request-4-5-2,waterway contamination,aquatic life harm,yes,yes
request-4-5-3,aquatic life harm,ecosystem disruption,yes,yes
request-4-5-4,ecosystem disruption,degradation of nature,yes,yes
request-5-0-0,gas emissions,heat from gas emissions absorbed by oceans,yes,no
request-5-0-1,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-5-0-2,increased ocean temperature,reduced water density,yes,no
request-5-0-3,reduced water density,slowing of ocean vertical mixing,yes,no
request-6-0-0,gas emissions,heat from gas emissions absorbed by oceans,yes,no
request-6-0-1,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-0-2,ocean warming,stratification of ocean layers,yes,no
request-6-0-3,stratification of ocean layers,reduced mixing of surface and deep waters,yes,yes
request-6-0-4,reduced mixing of surface and deep waters,decreased oxygen supply to deeper waters,yes,yes
request-6-0-5,decreased oxygen supply to deeper waters,ocean deoxygenation,yes,yes
request-6-1-0,gas emissions,heat from gas emissions absorbed by oceans,yes,no
request-6-1-1,heat from gas emissions absorbed by oceans,increased ocean temperatures,yes,yes
request-6-1-2,increased ocean temperatures,enhanced biological activity,yes,no
request-6-1-3,enhanced biological activity,higher oxygen consumption by marine organisms,yes,yes
request-6-1-4,higher oxygen consumption by marine organisms,reduced oxygen levels in ocean waters,yes,no
request-6-1-5,reduced oxygen levels in ocean waters,ocean deoxygenation,yes,yes
request-6-2-0,gas emissions,heat from gas emissions absorbed by oceans,yes,no
request-6-2-1,heat from gas emissions absorbed by oceans,altered ocean currents,yes,yes
request-6-2-2,altered ocean currents,disrupted nutrient distribution,yes,no
request-6-2-3,disrupted nutrient distribution,impaired oxygen production in marine ecosystems,yes,yes
request-6-2-4,impaired oxygen production in marine ecosystems,decreased oxygen availability,yes,no
request-6-2-5,decreased oxygen availability,ocean deoxygenation,yes,yes
request-6-3-0,gas emissions,heat from gas emissions absorbed by oceans,yes,no
request-6-3-1,heat from gas emissions absorbed by oceans,ocean acidification,no,no
request-6-3-2,ocean acidification,impacted marine life respiration,yes,no
request-6-3-3,impacted marine life respiration,reduced oxygen levels in ocean waters,yes,yes
request-6-3-4,reduced oxygen levels in ocean waters,ocean deoxygenation,yes,yes
request-7-0-0,fossil fuel combustion,carbon dioxide release,yes,yes
request-7-0-1,carbon dioxide release,carbon dioxide accumulation in atmosphere,yes,no
request-7-0-2,carbon dioxide accumulation in atmosphere,increased atmospheric co2 levels,yes,yes
request-7-0-3,increased atmospheric co2 levels,enhanced greenhouse effect,yes,no
request-7-0-4,enhanced greenhouse effect,global temperature rise,yes,yes
request-7-0-5,global temperature rise,ocean warming,yes,yes
request-7-0-6,ocean warming,decrease in ocean ph,yes,no
request-7-0-7,decrease in ocean ph,ocean acidification,yes,yes
request-8-0-0,melting of glaciers,rising sea levels,yes,no
request-8-0-1,rising sea levels,increased freshwater influx into the ocean,no,yes
request-8-0-2,increased freshwater influx into the ocean,alteration of salinity gradients,yes,yes
request-8-0-3,alteration of salinity gradients,disruption of ocean currents at intermediate depths,yes,yes
request-9-0-0,melting of glaciers,increased freshwater influx into oceans,yes,no
request-9-0-1,increased freshwater influx into oceans,disruption of ocean salinity,yes,no
request-9-0-2,disruption of ocean salinity,alteration of ocean currents,yes,yes
request-9-0-3,alteration of ocean currents,disruption of ocean temperature at intermediate depths,yes,yes
request-10-0-0,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-0-1,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-0-2,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-10-1-0,deforestation leading to reduced carbon absorption,higher levels of carbon dioxide in the atmosphere,yes,no
request-10-1-1,higher levels of carbon dioxide in the atmosphere,global warming due to increased greenhouse gases,yes,yes
request-10-1-2,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-1-3,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-1-4,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-10-2-0,burning of fossil fuels for energy production,increased emissions of greenhouse gases,yes,no
request-10-2-1,increased emissions of greenhouse gases,global warming due to increased greenhouse gases,yes,no
request-10-2-2,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-2-3,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-2-4,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-10-3-0,industrial activities releasing pollutants,greenhouse gas emissions from factories,yes,yes
request-10-3-1,greenhouse gas emissions from factories,global warming due to increased greenhouse gases,yes,no
request-10-3-2,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-3-3,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-3-4,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-10-4-0,transportation sector emissions,increased carbon dioxide emissions from vehicles,yes,yes
request-10-4-1,increased carbon dioxide emissions from vehicles,global warming due to increased greenhouse gases,yes,no
request-10-4-2,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-4-3,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-4-4,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-10-5-0,urbanization and land use changes,loss of natural habitats and vegetation,yes,yes
request-10-5-1,loss of natural habitats and vegetation,higher levels of carbon dioxide in the atmosphere,yes,yes
request-10-5-2,higher levels of carbon dioxide in the atmosphere,global warming due to increased greenhouse gases,yes,yes
request-10-5-3,global warming due to increased greenhouse gases,rising average temperatures on earth,yes,yes
request-10-5-4,rising average temperatures on earth,increased melting of polar ice caps,yes,no
request-10-5-5,increased melting of polar ice caps,accelerated melting of glaciers,yes,yes
request-11-0-0,meltdown of arctic ice,increased freshwater input into the north atlantic,yes,yes
request-11-0-1,increased freshwater input into the north atlantic,weakening of the atlantic meridional overturning circulation,yes,yes
request-11-0-2,weakening of the atlantic meridional overturning circulation,reduced heat transport to intermediatedepth waters,yes,yes
request-11-0-3,reduced heat transport to intermediatedepth waters,warming of intermediatedepth waters,no,no
request-12-0-0,warming of intermediatedepth waters,increase in ocean temperature,yes,yes
request-12-0-1,increase in ocean temperature,expansion of water volume,yes,no
request-12-0-2,expansion of water volume,release of dissolved gases,yes,yes
request-12-0-3,release of dissolved gases,rise in sea level,no,yes
request-12-0-4,rise in sea level,increased pressure on shallow subsurface sediments,yes,no
request-12-0-5,increased pressure on shallow subsurface sediments,melting of shallow subsurface methane hydrates,yes,yes
request-12-0-6,melting of shallow subsurface methane hydrates,release of methane gas,yes,yes
request-12-0-7,release of methane gas,stabilization of shallow subsurface methane hydrates,no,yes
request-12-0-8,stabilization of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,no,no
request-13-0-0,warming of intermediatedepth waters,increase in ocean temperature,yes,yes
request-13-0-1,increase in ocean temperature,percolation of methane hydrates,yes,no
request-13-0-2,percolation of methane hydrates,release of methane,yes,yes
request-13-1-0,warming of intermediatedepth waters,melting of permafrost,no,yes
request-13-1-1,melting of permafrost,release of methane from thawing permafrost,yes,yes
request-13-1-2,release of methane from thawing permafrost,release of methane,yes,yes
request-13-2-0,warming of intermediatedepth waters,increased microbial activity in ocean sediments,yes,yes
request-13-2-1,increased microbial activity in ocean sediments,production of methane by microbes,yes,yes
request-13-2-2,production of methane by microbes,release of methane,yes,no
request-13-3-0,warming of intermediatedepth waters,disruption of marine ecosystems,yes,yes
request-13-3-1,disruption of marine ecosystems,release of methane from disrupted ecosystems,yes,yes
request-13-3-2,release of methane from disrupted ecosystems,release of methane,yes,yes
request-14-0-0,shutdown of energy production,increase in energy costs,yes,no
request-14-0-1,increase in energy costs,decrease in industrial output,yes,no
request-14-0-2,decrease in industrial output,decrease in supply of goods,yes,yes
request-14-0-3,decrease in supply of goods,increase in prices of goods,yes,no
request-14-0-4,increase in prices of goods,inflation,yes,yes
request-15-0-0,shutdown of energy production,increased energy costs,yes,no
request-15-0-1,increased energy costs,businesses increase prices,yes,yes
request-15-0-2,businesses increase prices,consumer spending decreases,yes,no
request-15-0-3,consumer spending decreases,demand for goods and services decreases,yes,yes
request-15-0-4,demand for goods and services decreases,factories reduce production,yes,no
request-15-0-5,factories reduce production,unemployment rises,yes,yes
request-15-0-6,unemployment rises,income levels decrease,yes,yes
request-15-0-7,income levels decrease,shortages,no,yes
request-15-1-0,shutdown of energy production,transportation disruptions,yes,yes
request-15-1-1,transportation disruptions,supply chain delays,yes,yes
request-15-1-2,supply chain delays,goods become scarce,yes,yes
request-15-1-3,goods become scarce,consumer demand exceeds supply,yes,yes
request-15-1-4,consumer demand exceeds supply,shortages,yes,no
request-15-2-0,shutdown of energy production,industrial operations halt,yes,yes
request-15-2-1,industrial operations halt,manufacturing of essential goods stops,yes,yes
request-15-2-2,manufacturing of essential goods stops,essential goods become scarce,yes,no
request-15-2-3,essential goods become scarce,shortages,yes,yes
request-15-3-0,shutdown of energy production,power outages affect storage facilities,yes,no
request-15-3-1,power outages affect storage facilities,stored goods spoil or become unusable,yes,yes
request-15-3-2,stored goods spoil or become unusable,availability of goods decreases,yes,no
request-15-3-3,availability of goods decreases,shortages,yes,yes
request-16-0-0,shutdown of energy production,increase in energy costs,yes,no
request-16-0-1,increase in energy costs,decrease in industrial output,yes,no
request-16-0-2,decrease in industrial output,decrease in supply of goods,yes,yes
request-16-0-3,decrease in supply of goods,increase in prices of goods,yes,no
request-16-0-4,increase in prices of goods,inflation,yes,yes
request-17-0-0,shutdown of energy production,increased energy costs,yes,no
request-17-0-1,increased energy costs,businesses increase prices,yes,yes
request-17-0-2,businesses increase prices,consumer spending decreases,yes,no
request-17-0-3,consumer spending decreases,demand for goods and services decreases,yes,yes
request-17-0-4,demand for goods and services decreases,factories reduce production,yes,yes
request-17-0-5,factories reduce production,unemployment rises,yes,yes
request-17-0-6,unemployment rises,income levels decrease,yes,yes
request-17-0-7,income levels decrease,shortages,no,yes
request-17-1-0,shutdown of energy production,transportation disruptions,yes,yes
request-17-1-1,transportation disruptions,supply chain delays,yes,yes
request-17-1-2,supply chain delays,goods become scarce,yes,yes
request-17-1-3,goods become scarce,consumer demand exceeds supply,yes,yes
request-17-1-4,consumer demand exceeds supply,shortages,yes,no
request-17-2-0,shutdown of energy production,industrial operations halt,yes,yes
request-17-2-1,industrial operations halt,manufacturing of essential goods stops,yes,yes
request-17-2-2,manufacturing of essential goods stops,essential goods become scarce,yes,no
request-17-2-3,essential goods become scarce,shortages,yes,yes
request-17-3-0,shutdown of energy production,power outages affect storage facilities,yes,no
request-17-3-1,power outages affect storage facilities,stored goods spoil or become unusable,yes,yes
request-17-3-2,stored goods spoil or become unusable,availability of goods decreases,yes,yes
request-17-3-3,availability of goods decreases,shortages,yes,yes
request-18-0-0,russia implements economic sanctions on a neighboring country,neighboring country experiences a shortage of essential goods,yes,no
request-18-0-1,neighboring country experiences a shortage of essential goods,neighboring country faces increased production costs,yes,yes
request-18-0-2,neighboring country faces increased production costs,neighboring country raises prices on goods and services,yes,yes
request-18-0-3,neighboring country raises prices on goods and services,neighboring country's currency devalues due to decreased demand,yes,yes
request-18-0-4,neighboring country's currency devalues due to decreased demand,neighboring country's imports become more expensive,yes,yes
request-18-0-5,neighboring country's imports become more expensive,neighboring country experiences higher inflation rates,yes,yes
request-18-0-6,neighboring country experiences higher inflation rates,neighboring country struggles to stabilize its economy,yes,yes
request-18-0-7,neighboring country struggles to stabilize its economy,neighboring country's economic instability spreads to other countries,yes,yes
request-18-0-8,neighboring country's economic instability spreads to other countries,neighboring countries face increased trade tensions,yes,yes
request-18-0-9,neighboring countries face increased trade tensions,global trade tensions lead to decreased international trade,yes,yes
request-18-0-10,global trade tensions lead to decreased international trade,decreased international trade affects global supply chains,yes,yes
request-18-0-11,decreased international trade affects global supply chains,disrupted global supply chains lead to increased costs for businesses worldwide,yes,yes
request-18-0-12,disrupted global supply chains lead to increased costs for businesses worldwide,businesses worldwide pass on increased costs to consumers,yes,yes
request-18-0-13,businesses worldwide pass on increased costs to consumers,consumers worldwide experience higher prices,yes,yes
request-18-0-14,consumers worldwide experience higher prices,consumers worldwide face inflation,yes,yes
request-18-0-15,consumers worldwide face inflation,inflation worldwide affects russia's economy,yes,yes
request-18-0-16,inflation worldwide affects russia's economy,russia experiences inflation due to global economic factors,yes,yes
request-18-0-17,russia experiences inflation due to global economic factors,russia faces inflation,yes,yes
request-18-1-0,russia increases oil production,global oil prices drop,yes,no
request-18-1-1,global oil prices drop,russia's oil revenue decreases,yes,no
request-18-1-2,russia's oil revenue decreases,russia faces budget deficits,yes,yes
request-18-1-3,russia faces budget deficits,russia's government cuts public spending,yes,no
request-18-1-4,russia's government cuts public spending,unemployment rates rise in russia,yes,yes
request-18-1-5,unemployment rates rise in russia,higher unemployment,yes,yes
request-18-1-6,higher unemployment,decreased consumer spending affects russian businesses,yes,yes
request-18-1-7,decreased consumer spending affects russian businesses,russian businesses face reduced profits,yes,yes
request-18-1-8,russian businesses face reduced profits,russian businesses cut wages or lay off workers,yes,yes
request-18-1-9,russian businesses cut wages or lay off workers,reduced wages and unemployment contribute to decreased consumer purchasing power,yes,yes
request-18-1-10,reduced wages and unemployment contribute to decreased consumer purchasing power,decreased purchasing power,yes,yes
request-18-1-11,decreased purchasing power,reduced demand affects russian businesses' ability to maintain prices,yes,yes
request-18-1-12,reduced demand affects russian businesses' ability to maintain prices,russian businesses reduce prices to stimulate demand,yes,yes
request-18-1-13,russian businesses reduce prices to stimulate demand,reduced prices lead to deflationary pressures in russia,no,yes
request-18-1-14,reduced prices lead to deflationary pressures in russia,deflationary pressures affect russia's economy,yes,yes
request-18-1-15,deflationary pressures affect russia's economy,russia faces deflation,yes,yes
request-18-2-0,russia faces geopolitical tensions with western countries,russia's government imposes trade restrictions,yes,yes
request-18-2-1,russia's government imposes trade restrictions,russia's trade partners face increased tariffs and trade barriers,yes,no
request-18-2-2,russia's trade partners face increased tariffs and trade barriers,russia's trade partners experience reduced exports to russia,yes,no
request-18-2-3,russia's trade partners experience reduced exports to russia,russia's trade partners face decreased revenue from exports,yes,yes
request-18-2-4,russia's trade partners face decreased revenue from exports,russia's trade partners struggle to stabilize their economies,yes,yes
request-18-2-5,russia's trade partners struggle to stabilize their economies,russia's trade partners face economic instability,yes,yes
request-18-2-6,russia's trade partners face economic instability,russia's trade partners face inflation,yes,yes
request-18-2-7,russia's trade partners face inflation,russia faces inflation due to strained trade relationships,no,no
request-18-2-8,russia faces inflation due to strained trade relationships,russia's inflation affects its economy,yes,yes
request-18-2-9,russia's inflation affects its economy,russia faces inflation,yes,yes
request-18-3-0,russia invests heavily in military spending,russia's government reallocates funds from social programs,yes,yes
request-18-3-1,russia's government reallocates funds from social programs,russia's social programs face budget cuts,yes,yes
request-18-3-2,russia's social programs face budget cuts,russia's citizens face reduced access to healthcare and education,yes,yes
request-18-3-3,russia's citizens face reduced access to healthcare and education,reduced access to healthcare and education affects productivity,yes,yes
request-18-3-4,reduced access to healthcare and education affects productivity,reduced productivity affects russia's economy,yes,yes
request-18-3-5,reduced productivity affects russia's economy,russia's economy faces slower growth,yes,yes
request-18-3-6,russia's economy faces slower growth,russia's inflation rate increases,no,yes
request-18-3-7,russia's inflation rate increases,russia faces inflation,yes,yes
request-18-4-0,russia experiences a cyber attack on its financial institutions,russia's financial institutions face operational disruptions,yes,yes
request-18-4-1,russia's financial institutions face operational disruptions,russia's banking sector faces instability,yes,yes
request-18-4-2,russia's banking sector faces instability,russia's banking sector faces decreased confidence,yes,yes
request-18-4-3,russia's banking sector faces decreased confidence,russia's citizens face difficulty accessing funds,yes,yes
request-18-4-4,russia's citizens face difficulty accessing funds,russia's businesses face challenges in accessing credit,yes,no
request-18-4-5,russia's businesses face challenges in accessing credit,russia's businesses face reduced investment,yes,yes
request-18-4-6,russia's businesses face reduced investment,russia's economy faces slower growth,yes,yes
request-18-4-7,russia's economy faces slower growth,russia's inflation rate increases,no,yes
request-18-4-8,russia's inflation rate increases,russia faces inflation,yes,yes
request-18-5-0,russia faces international isolation due to political actions,russia's international trade partners face decreased economic cooperation,yes,yes
request-18-5-1,russia's international trade partners face decreased economic cooperation,russia's international trade partners face reduced trade opportunities,yes,yes
request-18-5-2,russia's international trade partners face reduced trade opportunities,russia's international trade partners face economic instability,yes,yes
request-18-5-3,russia's international trade partners face economic instability,russia's international trade partners face inflation,no,yes
request-18-5-4,russia's international trade partners face inflation,russia faces inflation due to strained international relations,no,no
request-18-5-5,russia faces inflation due to strained international relations,russia's inflation affects its economy,yes,yes
request-18-5-6,russia's inflation affects its economy,russia faces inflation,yes,yes
request-19-0-0,russia sanctions,oil prices rise,yes,no
request-19-0-1,oil prices rise,global supply decreases,no,yes
request-19-0-2,global supply decreases,transportation costs increase,yes,yes
request-19-0-3,transportation costs increase,manufacturing costs increase,yes,yes
request-19-0-4,manufacturing costs increase,product availability decreases,yes,yes
request-19-0-5,product availability decreases,shortages occur,yes,yes
request-19-1-0,russia sanctions,currency devalues,yes,no
request-19-1-1,currency devalues,import costs rise,yes,yes
request-19-1-2,import costs rise,businesses increase prices,yes,yes
request-19-1-3,businesses increase prices,consumer spending decreases,yes,no
request-19-1-4,consumer spending decreases,production slows,yes,yes
request-19-1-5,production slows,shortages occur,yes,yes
request-19-2-0,russia sanctions,trade restrictions,yes,yes
request-19-2-1,trade restrictions,supply chain disruptions,yes,yes
request-19-2-2,supply chain disruptions,raw materials become scarce,yes,yes
request-19-2-3,raw materials become scarce,product shortages,yes,yes
request-19-2-4,product shortages,shortages occur,yes,yes
request-19-3-0,russia sanctions,energy exports decrease,yes,yes
request-19-3-1,energy exports decrease,energy shortages in other countries,yes,yes
request-19-3-2,energy shortages in other countries,industries rely on energy,no,yes
request-19-3-3,industries rely on energy,production slows,yes,no
request-19-3-4,production slows,shortages occur,yes,yes
request-20-0-0,government spending increases,consumer demand rises,yes,no
request-20-0-1,consumer demand rises,prices go up,yes,yes
request-20-0-2,prices go up,inflation increases,yes,yes
request-20-1-0,trade deficits widen,demand for foreign currency increases,yes,yes
request-20-1-1,demand for foreign currency increases,exchange rates fluctuate,yes,yes
request-20-1-2,exchange rates fluctuate,import prices rise,yes,yes
request-20-1-3,import prices rise,inflation increases,yes,yes
request-20-2-0,interest rates lowered,borrowing increases,yes,no
request-20-2-1,borrowing increases,consumer spending rises,yes,yes
request-20-2-2,consumer spending rises,demand for goods increases,yes,yes
request-20-2-3,demand for goods increases,prices go up,yes,yes
request-20-2-4,prices go up,inflation increases,yes,yes
request-20-3-0,tax cuts implemented,disposable income increases,yes,no
request-20-3-1,disposable income increases,consumer spending rises,yes,no
request-20-3-2,consumer spending rises,demand for goods increases,yes,yes
request-20-3-3,demand for goods increases,prices go up,yes,yes
request-20-3-4,prices go up,inflation increases,yes,yes
request-20-4-0,regulatory easing,business investment increases,yes,no
request-20-4-1,business investment increases,production capacity expands,yes,yes
request-20-4-2,production capacity expands,supply chain issues arise,no,no
request-20-4-3,supply chain issues arise,prices go up,yes,yes
request-20-4-4,prices go up,inflation increases,yes,yes
request-21-0-0,government regulations,increased production costs for businesses,yes,no
request-21-0-1,increased production costs for businesses,companies reduce their output,yes,yes
request-21-0-2,companies reduce their output,limited availability of goods,yes,no
request-21-0-3,limited availability of goods,shortages in the market,yes,yes
request-21-1-0,trade restrictions,importation of goods becomes more difficult,yes,yes
request-21-1-1,importation of goods becomes more difficult,domestic suppliers face competition from abroad,no,no
request-21-1-2,domestic suppliers face competition from abroad,domestic suppliers reduce production,yes,yes
request-21-1-3,domestic suppliers reduce production,shortages in the market,yes,yes
request-21-2-0,tax increases,businesses have less capital to invest,yes,yes
request-21-2-1,businesses have less capital to invest,businesses cut back on production,no,yes
request-21-2-2,businesses cut back on production,limited availability of goods,yes,no
request-21-2-3,limited availability of goods,shortages in the market,yes,yes
request-21-3-0,labor laws,increased labor costs for businesses,yes,no
request-21-3-1,increased labor costs for businesses,businesses reduce workforce or hours,yes,no
request-21-3-2,businesses reduce workforce or hours,decreased production capacity,yes,yes
request-21-3-3,decreased production capacity,limited availability of goods,yes,yes
request-21-3-4,limited availability of goods,shortages in the market,yes,yes
request-21-4-0,environmental regulations,compliance costs increase for businesses,yes,yes
request-21-4-1,compliance costs increase for businesses,businesses reduce production to cut costs,yes,no
request-21-4-2,businesses reduce production to cut costs,limited availability of goods,yes,yes
request-21-4-3,limited availability of goods,shortages in the market,yes,yes
request-22-0-0,democratic party of the united states,legislates,no,no
request-22-0-1,legislates,tax policies,yes,no
request-22-0-2,tax policies,increase,yes,no
request-22-0-3,increase,government spending,no,yes
request-22-0-4,government spending,boosts,yes,no
request-22-0-5,boosts,economic activity,yes,yes
request-22-0-6,economic activity,creates,no,yes
request-22-0-7,creates,demand for goods and services,yes,no
request-22-0-8,demand for goods and services,inflationary pressures,yes,no
request-22-0-9,inflationary pressures,inflation,yes,yes
request-22-1-0,democratic party of the united states,implements,no,no
request-22-1-1,implements,social programs,no,no
request-22-1-2,social programs,increases,yes,no
request-22-1-3,increases,unemployment benefits,no,yes
request-22-1-4,unemployment benefits,reduces,no,no
request-22-1-5,reduces,work incentives,no,no
request-22-1-6,work incentives,higher unemployment,no,no
request-22-1-7,higher unemployment,labor market,no,no
request-22-1-8,labor market,wage pressures,yes,no
request-22-1-9,wage pressures,inflation,yes,yes
request-22-2-0,democratic party of the united states,controls,no,no
request-22-2-1,controls,federal budget,no,yes
request-22-2-2,federal budget,spends,yes,yes
request-22-2-3,spends,more,no,yes
request-22-2-4,more,on,no,yes
request-22-2-5,on,entitlement programs,yes,no
request-22-2-6,entitlement programs,higher,yes,no
request-22-2-7,higher,government debt,no,yes
request-22-2-8,government debt,borrowing,no,yes
request-22-2-9,borrowing,interest rates,no,no
request-22-2-10,interest rates,inflation,no,no
request-22-3-0,democratic party of the united states,pursues,no,no
request-22-3-1,pursues,aggressive,yes,yes
request-22-3-2,aggressive,environmental regulations,no,no
request-22-3-3,environmental regulations,increases,yes,no
request-22-3-4,increases,costs for,yes,yes
request-22-3-5,costs for,businesses,yes,yes
request-22-3-6,businesses,higher,no,no
request-22-3-7,higher,production costs,yes,yes
request-22-3-8,production costs,product prices,yes,no
request-22-3-9,product prices,inflation,no,yes
request-22-4-0,democratic party of the united states,enacts,yes,no
request-22-4-1,enacts,minimum wage laws,yes,no
request-22-4-2,minimum wage laws,raises,no,no
request-22-4-3,raises,minimum wage,no,no
