cause,effect,custom_id
less urban sprawl,preserved carbonsequestering ecosystems,request-6-2-2
preserved carbonsequestering ecosystems,reduced atmospheric co₂ levels,request-6-2-3
reduced atmospheric co₂ levels,lower carbon footprint,request-6-2-4
having fewer children,diminished longterm population size,request-6-3-0
diminished longterm population size,avoided cumulative lifetime emissions,request-6-3-1
avoided cumulative lifetime emissions,net reduction in anthropogenic greenhouse gases,request-6-3-2
net reduction in anthropogenic greenhouse gases,decreased carbon footprint,request-6-3-3
having fewer children,increased per capita education investment,request-6-4-0
increased per capita education investment,enhanced environmental awareness,request-6-4-1
enhanced environmental awareness,widespread adoption of lowcarbon technologies,request-6-4-2
widespread adoption of lowcarbon technologies,reduced carbon footprint,request-6-4-3
having fewer children,reduced consumer goods demand,request-6-5-0
reduced consumer goods demand,lower industrial manufacturing output,request-6-5-1
lower industrial manufacturing output,fewer emissions from production cycles,request-6-5-2
fewer emissions from production cycles,decreased carbon footprint,request-6-5-3
having fewer children,decreased transportation needs,request-6-6-0
decreased transportation needs,reduced vehicular emissions,request-6-6-1
reduced vehicular emissions,lower atmospheric particulate matter,request-6-6-2
lower atmospheric particulate matter,indirect mitigation of climate forcing,request-6-6-3
indirect mitigation of climate forcing,reduced carbon footprint,request-6-6-4
having fewer children,lower agricultural demand,request-6-7-0
lower agricultural demand,reduced deforestation for farmland,request-6-7-1
reduced deforestation for farmland,maintained forest carbon sinks,request-6-7-2
maintained forest carbon sinks,decreased carbon footprint,request-6-7-3
having fewer children,delayed infrastructure expansion,request-6-8-0
delayed infrastructure expansion,avoided emissions from construction materials,request-6-8-1
avoided emissions from construction materials,reduced embodied carbon in built environments,request-6-8-2
reduced embodied carbon in built environments,lower carbon footprint,request-6-8-3
having fewer children,shifted economic priorities,request-6-9-0
shifted economic priorities,increased green policy advocacy,request-6-9-1
increased green policy advocacy,systemic decarbonization initiatives,request-6-9-2
systemic decarbonization initiatives,reduced carbon footprint,request-6-9-3
climate change,rising global temperatures,request-7-0-0
rising global temperatures,warmer ocean waters,request-7-0-1
warmer ocean waters,increased atmospheric moisture,request-7-0-2
increased atmospheric moisture,heavier rainfall during storms,request-7-0-3
heavier rainfall during storms,more intense precipitation events,request-7-0-4
more intense precipitation events,higher rainfall totals during hurricane harvey,request-7-0-5
higher rainfall totals during hurricane harvey,increased flooding in houston,request-7-0-6
increased flooding in houston,doubling of flooded houston homes,request-7-0-7
climate change,rising sea levels,request-7-1-0
rising sea levels,higher storm surge during hurricanes,request-7-1-1
higher storm surge during hurricanes,elevated coastal flooding during hurricane harvey,request-7-1-2
elevated coastal flooding during hurricane harvey,compounded inland and coastal flooding,request-7-1-3
compounded inland and coastal flooding,expanded flood zones in houston,request-7-1-4
expanded flood zones in houston,doubling of flooded houston homes,request-7-1-5
climate change,slowermoving atmospheric currents,request-7-2-0
slowermoving atmospheric currents,hurricane harvey stalling over houston,request-7-2-1
hurricane harvey stalling over houston,prolonged rainfall duration,request-7-2-2
prolonged rainfall duration,saturation of soil and drainage systems,request-7-2-3
saturation of soil and drainage systems,reduced water absorption capacity,request-7-2-4
reduced water absorption capacity,widespread urban flooding,request-7-2-5
widespread urban flooding,doubling of flooded houston homes,request-7-2-6
climate change,warmer ocean waters,request-7-3-0
warmer ocean waters,increased hurricane intensity,request-7-3-1
increased hurricane intensity,stronger winds and rainfall in hurricane harvey,request-7-3-2
stronger winds and rainfall in hurricane harvey,simultaneous storm surge and flash flooding,request-7-3-3
simultaneous storm surge and flash flooding,overwhelmed flood defenses,request-7-3-4
overwhelmed flood defenses,doubling of flooded houston homes,request-7-3-5
methane,global warming,request-8-0-0
global warming,increased wildfire frequency,request-8-0-1
increased wildfire frequency,air pollution,request-8-0-2
methane emissions,livestock farming expansion,request-8-1-0
livestock farming expansion,manure runoff,request-8-1-1
manure runoff,water pollution,request-8-1-2
methane from landfills,soil contamination,request-8-2-0
soil contamination,groundwater pollution,request-8-2-1
methane combustion,carbon dioxide emissions,request-8-3-0
carbon dioxide emissions,air pollution,request-8-3-1
methaneinduced climate change,extreme weather events,request-8-4-0
extreme weather events,flooding,request-8-4-1
flooding,sewage overflow,request-8-4-2
sewage overflow,water pollution,request-8-4-3
methane oxidation,tropospheric ozone formation,request-8-5-0
tropospheric ozone formation,air pollution,request-8-5-1
methane leaks from fossil fuels,enhanced smog formation,request-8-6-0
enhanced smog formation,respiratory health impacts,request-8-6-1
respiratory health impacts,increased medical waste,request-8-6-2
increased medical waste,environmental pollution,request-8-6-3
methane from agriculture,fertilizer overuse,request-8-7-0
fertilizer overuse,algal blooms,request-8-7-1
algal blooms,eutrophication,request-8-7-2
eutrophication,water pollution,request-8-7-3
melting of antarctic ice,reduced pressure on subglacial methane reservoirs,request-9-0-0
reduced pressure on subglacial methane reservoirs,destabilization of methane hydrates,request-9-0-1
destabilization of methane hydrates,release of trapped methane gas,request-9-0-2
release of trapped methane gas,insufficient microbial activity in thawed environments,request-9-0-3
insufficient microbial activity in thawed environments,methane bypassing microbial oxidation,request-9-0-4
methane bypassing microbial oxidation,methane emission into the atmosphere,request-9-0-5
melting of antarctic ice,increased freshwater input into oceans,request-9-1-0
increased freshwater input into oceans,alteration of microbial habitats,request-9-1-1
alteration of microbial habitats,disruption of methanotrophic bacterial communities,request-9-1-2
disruption of methanotrophic bacterial communities,reduced methane consumption,request-9-1-3
reduced methane consumption,accumulation of methane in water columns,request-9-1-4
accumulation of methane in water columns,methane diffusion into the atmosphere,request-9-1-5
methane pockets unabsorbed by microorganisms,anaerobic decomposition of organic matter in icefree sediments,request-9-2-0
anaerobic decomposition of organic matter in icefree sediments,methane production exceeding microbial uptake capacity,request-9-2-1
methane production exceeding microbial uptake capacity,methane migration through fissures,request-9-2-2
methane migration through fissures,direct venting of methane into the atmosphere,request-9-2-3
melting of antarctic ice,exposure of subglacial organic carbon deposits,request-9-3-0
exposure of subglacial organic carbon deposits,enhanced microbial methanogenesis in warming soils,request-9-3-1
enhanced microbial methanogenesis in warming soils,overwhelmed methanotroph populations,request-9-3-2
overwhelmed methanotroph populations,methane evasion from terrestrial ecosystems,request-9-3-3
methane evasion from terrestrial ecosystems,atmospheric methane enrichment,request-9-3-4
methane pockets unabsorbed by microorganisms,icesheet retreat uncovering ancient methane reserves,request-9-4-0
icesheet retreat uncovering ancient methane reserves,abiotic methane release from geological fractures,request-9-4-1
abiotic methane release from geological fractures,lack of microbial filtration in newly exposed pathways,request-9-4-2
lack of microbial filtration in newly exposed pathways,unmitigated methane flux to the atmosphere,request-9-4-3
lunar wobble,amplified tidal fluctuations,request-10-0-0
amplified tidal fluctuations,increased hightide flooding events,request-10-0-1
increased hightide flooding events,accelerated coastal erosion,request-10-0-2
accelerated coastal erosion,permanent changes in coastline morphology,request-10-0-3
lunar wobble,gravitational modulation of ocean tides,request-10-1-0
gravitational modulation of ocean tides,synergistic interaction with sealevel rise,request-10-1-1
synergistic interaction with sealevel rise,heightened storm surge impacts,request-10-1-2
heightened storm surge impacts,recurrent coastal inundation,request-10-1-3
recurrent coastal inundation,destabilization of coastal infrastructure,request-10-1-4
destabilization of coastal infrastructure,altered sediment deposition patterns,request-10-1-5
altered sediment deposition patterns,coastline realignment,request-10-1-6
lunar wobble,prolonged periods of extreme tidal ranges,request-10-2-0
prolonged periods of extreme tidal ranges,saltwater intrusion into coastal aquifers,request-10-2-1
saltwater intrusion into coastal aquifers,degradation of protective wetlands,request-10-2-2
degradation of protective wetlands,loss of natural flood barriers,request-10-2-3
loss of natural flood barriers,increased shoreline vulnerability,request-10-2-4
increased shoreline vulnerability,rapid coastline retreat,request-10-2-5
lunar wobble,intensified perigean spring tides,request-10-3-0
intensified perigean spring tides,frequent overtopping of seawalls,request-10-3-1
frequent overtopping of seawalls,chronic coastal flooding,request-10-3-2
chronic coastal flooding,erosion of beachfronts and dunes,request-10-3-3
erosion of beachfronts and dunes,irreversible coastline reshaping,request-10-3-4
lunar wobble,altered lunar gravitational pull,request-10-4-0
altered lunar gravitational pull,compounding effects on king tides,request-10-4-1
compounding effects on king tides,submergence of lowlying coastal areas,request-10-4-2
submergence of lowlying coastal areas,habitat fragmentation,request-10-4-3
habitat fragmentation,reduced sediment retention,request-10-4-4
reduced sediment retention,dynamic coastline reorganization  ,request-10-4-5
drought,reduced rainfall,request-11-0-0
reduced rainfall,lower water levels in rivers and lakes,request-11-0-1
lower water levels in rivers and lakes,decreased sediment transport,request-11-0-2
decreased sediment transport,river delta erosion,request-11-0-3
river delta erosion,altered coastlines,request-11-0-4
altered coastlines,changes in geography maps,request-11-0-5
drought,vegetation loss,request-11-1-0
vegetation loss,increased soil erosion,request-11-1-1
increased soil erosion,altered land topography,request-11-1-2
altered land topography,changes in geography maps,request-11-1-3
drought,excessive groundwater pumping,request-11-2-0
excessive groundwater pumping,land subsidence,request-11-2-1
land subsidence,shifts in elevation contours,request-11-2-2
shifts in elevation contours,changes in geography maps,request-11-2-3
drought,wildfires,request-11-3-0
wildfires,loss of forest cover,request-11-3-1
loss of forest cover,accelerated soil degradation,request-11-3-2
accelerated soil degradation,modified watershed boundaries,request-11-3-3
modified watershed boundaries,changes in geography maps,request-11-3-4
drought,agricultural abandonment,request-11-4-0
agricultural abandonment,unmanaged land degradation,request-11-4-1
unmanaged land degradation,shifting desert boundaries,request-11-4-2
shifting desert boundaries,changes in geography maps,request-11-4-3
drought,reservoir depletion,request-11-5-0
reservoir depletion,exposure of submerged landforms,request-11-5-1
exposure of submerged landforms,updated hydrological features,request-11-5-2
updated hydrological features,changes in geography maps,request-11-5-3
drought,human migration,request-11-6-0
human migration,new settlement patterns,request-11-6-1
new settlement patterns,altered landuse designations,request-11-6-2
altered landuse designations,changes in geography maps,request-11-6-3
changes in geographical maps,shifting territorial boundaries,request-12-0-0
shifting territorial boundaries,disputed resource ownership,request-12-0-1
disputed resource ownership,conflict over land or water,request-12-0-2
conflict over land or water,forced displacement of populations,request-12-0-3
forced displacement of populations,migration issues,request-12-0-4
changes in geographical maps,coastal erosion or submergence,request-12-1-0
coastal erosion or submergence,loss of habitable land,request-12-1-1
loss of habitable land,climate refugees,request-12-1-2
climate refugees,strain on host regions,request-12-1-3
strain on host regions,migration issues,request-12-1-4
changes in geographical maps,altered river courses,request-12-2-0
altered river courses,collapse of agricultural systems,request-12-2-1
collapse of agricultural systems,food insecurity,request-12-2-2
food insecurity,ruraltourban migration,request-12-2-3
ruraltourban migration,urban overcrowding,request-12-2-4
urban overcrowding,migration issues,request-12-2-5
changes in geographical maps,newly created trade routes,request-12-3-0
newly created trade routes,economic displacement of local industries,request-12-3-1
economic displacement of local industries,unemployment in traditional sectors,request-12-3-2
unemployment in traditional sectors,labor migration,request-12-3-3
labor migration,social integration challenges,request-12-3-4
social integration challenges,migration issues,request-12-3-5
changes in geographical maps,desertification of regions,request-12-4-0
desertification of regions,depletion of water sources,request-12-4-1
depletion of water sources,livelihood collapse for farmers/herders,request-12-4-2
livelihood collapse for farmers/herders,crossborder migration,request-12-4-3
crossborder migration,border policy conflicts,request-12-4-4
border policy conflicts,migration issues,request-12-4-5
changes in geographical maps,melting ice caps,request-12-5-0
melting ice caps,opening of arctic shipping lanes,request-12-5-1
opening of arctic shipping lanes,industrial encroachment on indigenous lands,request-12-5-2
industrial encroachment on indigenous lands,cultural displacement,request-12-5-3
cultural displacement,migration to preserve traditions,request-12-5-4
migration to preserve traditions,migration issues,request-12-5-5
changes in geographical maps,volcanic island formation,request-12-6-0
volcanic island formation,exclusive economic zone disputes,request-12-6-1
exclusive economic zone disputes,geopolitical tensions,request-12-6-2
geopolitical tensions,refugee flows from conflict zones,request-12-6-3
refugee flows from conflict zones,migration issues,request-12-6-4
methane emissions,global warming,request-13-0-0
global warming,increased wildfires,request-13-0-1
increased wildfires,air pollution,request-13-0-2
methane production,livestock farming,request-13-1-0
livestock farming,manure runoff,request-13-1-1
manure runoff,water pollution,request-13-1-2
methane leakage,atmospheric ozone formation,request-13-2-0
atmospheric ozone formation,respiratory health impacts,request-13-2-1
respiratory health impacts,particulate pollution,request-13-2-2
methane combustion,carbon dioxide release,request-13-3-0
carbon dioxide release,ocean acidification,request-13-3-1
ocean acidification,marine pollution,request-13-3-2
methane from landfills,flaring processes,request-13-4-0
flaring processes,nitrogen oxide emissions,request-13-4-1
nitrogen oxide emissions,smog formation,request-13-4-2
methane in permafrost,thawing ice,request-13-5-0
thawing ice,heavy metal release,request-13-5-1
heavy metal release,soil contamination,request-13-5-2
methane from fracking,groundwater contamination,request-13-6-0
groundwater contamination,toxic chemical spread,request-13-6-1
toxic chemical spread,ecosystem pollution,request-13-6-2
methane in rice paddies,fertilizer overuse,request-13-7-0
fertilizer overuse,algal blooms,request-13-7-1
algal blooms,aquatic pollution  ,request-13-7-2
methane release into arctic ocean sediments and waters,enhanced greenhouse gas concentrations in the atmosphere,request-14-0-0
enhanced greenhouse gas concentrations in the atmosphere,accelerated arctic warming,request-14-0-1
accelerated arctic warming,increased ocean heat absorption,request-14-0-2
increased ocean heat absorption,thawing of subsea permafrost,request-14-0-3
thawing of subsea permafrost,destabilization of methane hydrate stability zones,request-14-0-4
destabilization of methane hydrate stability zones,decomposition of methane hydrates,request-14-0-5
methane release into arctic ocean sediments and waters,localized sediment warming from microbial methane oxidation,request-14-1-0
localized sediment warming from microbial methane oxidation,reduced mechanical stability of frozen sediments,request-14-1-1
reduced mechanical stability of frozen sediments,thawing of subsea permafrost,request-14-1-2
thawing of subsea permafrost,exposure of methane hydrates to warmer conditions,request-14-1-3
exposure of methane hydrates to warmer conditions,decomposition of methane hydrates,request-14-1-4
methane release into arctic ocean sediments and waters,formation of gas migration pathways in sediments,request-14-2-0
formation of gas migration pathways in sediments,reduced overburden pressure on hydrate deposits,request-14-2-1
reduced overburden pressure on hydrate deposits,phase boundary shift for methane hydrate stability,request-14-2-2
phase boundary shift for methane hydrate stability,decomposition of methane hydrates,request-14-2-3
decomposition of methane hydrates,further thawing of subsea permafrost via thermal feedback,request-14-2-4
methane release into arctic ocean sediments and waters,increased porewater salinity from hydrate dissociation,request-14-3-0
increased porewater salinity from hydrate dissociation,lowered freezing point of surrounding sediments,request-14-3-1
lowered freezing point of surrounding sediments,thawing of subsea permafrost,request-14-3-2
thawing of subsea permafrost,enhanced microbial activity in thawed sediments,request-14-3-3
enhanced microbial activity in thawed sediments,accelerated decomposition of methane hydrates,request-14-3-4
methane release into arctic ocean sediments and waters,bubbledriven sediment fracturing,request-14-4-0
bubbledriven sediment fracturing,enhanced seawater infiltration into sediments,request-14-4-1
enhanced seawater infiltration into sediments,heat transfer to deeper permafrost layers,request-14-4-2
heat transfer to deeper permafrost layers,thawing of subsea permafrost,request-14-4-3
thawing of subsea permafrost,disintegration of methane hydrate structures  ,request-14-4-4
methane emissions,increased atmospheric methane concentration,request-15-0-0
increased atmospheric methane concentration,enhanced greenhouse effect,request-15-0-1
enhanced greenhouse effect,global temperature rise,request-15-0-2
global temperature rise,permafrost thaw,request-15-0-3
permafrost thaw,decomposition of ancient organic matter,request-15-0-4
decomposition of ancient organic matter,release of ancient carbon from sediment into the atmosphere,request-15-0-5
methane emissions,atmospheric warming,request-15-1-0
atmospheric warming,ocean temperature rise,request-15-1-1
ocean temperature rise,destabilization of methane hydrates in marine sediments,request-15-1-2
destabilization of methane hydrates in marine sediments,release of ancient carbon from sediment into the atmosphere,request-15-1-3
methane emissions,accelerated climate change,request-15-2-0
accelerated climate change,increased frequency of wildfires,request-15-2-1
increased frequency of wildfires,exposure of permafrost layers,request-15-2-2
exposure of permafrost layers,thawing of carbonrich sediment,request-15-2-3
thawing of carbonrich sediment,release of ancient carbon into the atmosphere,request-15-2-4
methane emissions,stratospheric water vapor increase,request-15-3-0
stratospheric water vapor increase,amplified global warming,request-15-3-1
amplified global warming,glacial retreat,request-15-3-2
glacial retreat,erosion of carbonstoring sediments,request-15-3-3
erosion of carbonstoring sediments,oxidation of ancient carbon,request-15-3-4
oxidation of ancient carbon,release into the atmosphere,request-15-3-5
ancient sources dominating deep waters,methane release from hydrate dissociation,request-16-0-0
methane release from hydrate dissociation,vertical transport via bubble plumes,request-16-0-1
vertical transport via bubble plumes,partial microbial oxidation during ascent,request-16-0-2
partial microbial oxidation during ascent,residual methane dissolution in surface waters,request-16-0-3
residual methane dissolution in surface waters,the 10 ± 3% contribution of surface water methane,request-16-0-4
ancient sources dominating deep waters,sedimentary organic matter methanogenesis,request-16-1-0
sedimentary organic matter methanogenesis,slow diffusion through sediment pores,request-16-1-1
slow diffusion through sediment pores,advection by deepocean currents,request-16-1-2
advection by deepocean currents,mixing with oxygenated middepth layers,request-16-1-3
mixing with oxygenated middepth layers,aerobic methane oxidation attenuation,request-16-1-4
aerobic methane oxidation attenuation,the 10 ± 3% contribution of surface water methane,request-16-1-5
ancient sources dominating deep waters,thermogenic methane migration through faults,request-16-2-0
thermogenic methane migration through faults,seepage at seafloor vents,request-16-2-1
seepage at seafloor vents,bubblemediated gas transfer,request-16-2-2
bubblemediated gas transfer,stratificationlimited vertical mixing,request-16-2-3
stratificationlimited vertical mixing,seasonal surface accumulation dynamics,request-16-2-4
seasonal surface accumulation dynamics,the 10 ± 3% contribution of surface water methane,request-16-2-5
ancient sources dominating deep waters,anaerobic oxidation of recalcitrant carbon,request-16-3-0
anaerobic oxidation of recalcitrant carbon,dissolved methane accumulation in deep basins,request-16-3-1
dissolved methane accumulation in deep basins,upwellingdriven vertical transport,request-16-3-2
upwellingdriven vertical transport,photochemical degradation near surface,request-16-3-3
photochemical degradation near surface,equilibrium partitioning at airsea interface,request-16-3-4
equilibrium partitioning at airsea interface,the 10 ± 3% contribution of surface water methane,request-16-3-5
climate change progression,increased global temperatures,request-17-0-0
increased global temperatures,thawing of permafrost and methane hydrates,request-17-0-1
thawing of permafrost and methane hydrates,release of sourced methane from ancient carbon reservoirs,request-17-0-2
release of sourced methane from ancient carbon reservoirs,dispersion processes transporting methane into oceanic systems,request-17-0-3
dispersion processes transporting methane into oceanic systems,partial oceanic oxidation of methane into co₂,request-17-0-4
partial oceanic oxidation of methane into co₂,remaining methane emitted into the atmosphere as ancient carbon,request-17-0-5
climate change progression,ocean warming and acidification,request-17-1-0
ocean warming and acidification,reduced efficiency of oceanic oxidation processes,request-17-1-1
reduced efficiency of oceanic oxidation processes,accumulation of sourced methane in water columns,request-17-1-2
