cause,effect,custom_id
overfishing,marine species decline,request-3-2-1
marine species decline,loss of biodiversity,request-3-2-2
business,urban expansion,request-3-3-0
urban expansion,habitat fragmentation,request-3-3-1
habitat fragmentation,loss of biodiversity,request-3-3-2
business,agricultural intensification,request-3-4-0
agricultural intensification,pesticide use,request-3-4-1
pesticide use,species decline,request-3-4-2
species decline,loss of biodiversity,request-3-4-3
business,mining operations,request-3-5-0
mining operations,soil erosion,request-3-5-1
soil erosion,loss of biodiversity,request-3-5-2
business,climate change emissions,request-3-6-0
climate change emissions,global warming,request-3-6-1
global warming,ecosystem disruption,request-3-6-2
ecosystem disruption,loss of biodiversity,request-3-6-3
business,invasive species introduction,request-3-7-0
invasive species introduction,native species displacement,request-3-7-1
native species displacement,loss of biodiversity,request-3-7-2
business,plastic pollution,request-3-8-0
plastic pollution,marine life harm,request-3-8-1
marine life harm,loss of biodiversity,request-3-8-2
business,oil spills,request-3-9-0
oil spills,water contamination,request-3-9-1
water contamination,loss of biodiversity,request-3-9-2
business,logging,request-3-10-0
logging,forest degradation,request-3-10-1
forest degradation,loss of biodiversity,request-3-10-2
business,resource extraction,request-3-11-0
resource extraction,ecosystem imbalance,request-3-11-1
ecosystem imbalance,loss of biodiversity,request-3-11-2
business,chemical waste disposal,request-3-12-0
chemical waste disposal,soil contamination,request-3-12-1
soil contamination,loss of biodiversity,request-3-12-2
business,water extraction,request-3-13-0
water extraction,wetland depletion,request-3-13-1
wetland depletion,loss of biodiversity,request-3-13-2
business,air pollution,request-3-14-0
air pollution,acid rain,request-3-14-1
acid rain,forest damage,request-3-14-2
forest damage,loss of biodiversity,request-3-14-3
business,industrial activities,request-4-0-0
industrial activities,pollution,request-4-0-1
pollution,degradation of nature,request-4-0-2
business,deforestation,request-4-1-0
deforestation,habitat destruction,request-4-1-1
habitat destruction,loss of biodiversity,request-4-1-2
loss of biodiversity,degradation of nature,request-4-1-3
business,greenhouse gas emissions,request-4-2-0
greenhouse gas emissions,global warming,request-4-2-1
global warming,climate change,request-4-2-2
climate change,degradation of nature,request-4-2-3
business,overfishing,request-4-3-0
overfishing,marine ecosystem disruption,request-4-3-1
marine ecosystem disruption,degradation of nature,request-4-3-2
business,mining operations,request-4-4-0
mining operations,soil erosion,request-4-4-1
soil erosion,land degradation,request-4-4-2
land degradation,degradation of nature,request-4-4-3
business,use of pesticides,request-4-5-0
use of pesticides,water contamination,request-4-5-1
water contamination,harm to aquatic life,request-4-5-2
harm to aquatic life,degradation of nature,request-4-5-3
business,plastic production,request-4-6-0
plastic production,plastic pollution,request-4-6-1
plastic pollution,wildlife endangerment,request-4-6-2
wildlife endangerment,degradation of nature,request-4-6-3
business,urban development,request-4-7-0
urban development,loss of natural habitats,request-4-7-1
loss of natural habitats,ecosystem imbalance,request-4-7-2
ecosystem imbalance,degradation of nature,request-4-7-3
business,fossil fuel consumption,request-4-8-0
fossil fuel consumption,air pollution,request-4-8-1
air pollution,acid rain formation,request-4-8-2
acid rain formation,degradation of nature,request-4-8-3
business,industrial waste disposal,request-4-9-0
industrial waste disposal,toxic landfill accumulation,request-4-9-1
toxic landfill accumulation,soil contamination,request-4-9-2
soil contamination,degradation of nature,request-4-9-3
heat from gas emissions absorbed by oceans,ocean surface warming,request-5-0-0
ocean surface warming,increased thermal stratification,request-5-0-1
increased thermal stratification,slowing of ocean vertical mixing,request-5-0-2
heat from gas emissions absorbed by oceans,melting of polar ice caps,request-5-1-0
melting of polar ice caps,freshwater influx into oceans,request-5-1-1
freshwater influx into oceans,decreased surface salinity,request-5-1-2
decreased surface salinity,increased density stratification,request-5-1-3
increased density stratification,slowing of ocean vertical mixing,request-5-1-4
heat from gas emissions absorbed by oceans,changes in wind patterns,request-5-2-0
changes in wind patterns,reduced surface turbulence,request-5-2-1
reduced surface turbulence,slowing of ocean vertical mixing,request-5-2-2
heat from gas emissions absorbed by oceans,ocean warming,request-6-0-0
ocean warming,reduced oxygen solubility,request-6-0-1
reduced oxygen solubility,decreased dissolved oxygen levels,request-6-0-2
decreased dissolved oxygen levels,ocean deoxygenation,request-6-0-3
heat from gas emissions absorbed by oceans,ocean warming,request-6-1-0
ocean warming,increased ocean stratification,request-6-1-1
increased ocean stratification,reduced vertical mixing,request-6-1-2
reduced vertical mixing,decreased oxygen transport,request-6-1-3
decreased oxygen transport,ocean deoxygenation,request-6-1-4
heat from gas emissions absorbed by oceans,ocean warming,request-6-2-0
ocean warming,higher metabolic rates,request-6-2-1
higher metabolic rates,increased oxygen consumption,request-6-2-2
increased oxygen consumption,decreased oxygen availability,request-6-2-3
decreased oxygen availability,ocean deoxygenation,request-6-2-4
heat from gas emissions absorbed by oceans,ocean warming,request-6-3-0
ocean warming,altered ocean circulation,request-6-3-1
altered ocean circulation,disrupted nutrient upwelling,request-6-3-2
disrupted nutrient upwelling,reduced phytoplankton growth,request-6-3-3
reduced phytoplankton growth,decreased oxygen production,request-6-3-4
decreased oxygen production,ocean deoxygenation,request-6-3-5
heat from gas emissions absorbed by oceans,ocean warming,request-6-4-0
ocean warming,coral bleaching,request-6-4-1
coral bleaching,habitat loss,request-6-4-2
habitat loss,ecosystem disruption,request-6-4-3
ecosystem disruption,altered oxygen dynamics,request-6-4-4
altered oxygen dynamics,ocean deoxygenation,request-6-4-5
fossil fuel co2 emissions,increased atmospheric co2 concentrations,request-7-0-0
increased atmospheric co2 concentrations,oceanic absorption of co2,request-7-0-1
oceanic absorption of co2,formation of carbonic acid in seawater,request-7-0-2
formation of carbonic acid in seawater,decrease in ocean ph,request-7-0-3
decrease in ocean ph,ocean acidification,request-7-0-4
fossil fuel co2 emissions,elevated atmospheric co2 levels,request-7-1-0
elevated atmospheric co2 levels,enhanced diffusion of co2 into oceans,request-7-1-1
enhanced diffusion of co2 into oceans,alteration of carbonate chemistry,request-7-1-2
alteration of carbonate chemistry,reduction of carbonate ions,request-7-1-3
reduction of carbonate ions,ocean acidification,request-7-1-4
fossil fuel co2 emissions,rising greenhouse gas concentrations,request-7-2-0
rising greenhouse gas concentrations,global temperature increase,request-7-2-1
global temperature increase,changes in ocean stratification,request-7-2-2
changes in ocean stratification,altered co2 uptake patterns,request-7-2-3
altered co2 uptake patterns,ocean acidification,request-7-2-4
fossil fuel co2 emissions,increased atmospheric co2,request-7-3-0
increased atmospheric co2,decreased ocean buffering capacity,request-7-3-1
decreased ocean buffering capacity,lower carbonate saturation states,request-7-3-2
lower carbonate saturation states,ocean acidification,request-7-3-3
fossil fuel co2 emissions,elevated atmospheric co2 levels,request-7-4-0
elevated atmospheric co2 levels,ocean warming,request-7-4-1
ocean warming,reduced co2 solubility in seawater,request-7-4-2
reduced co2 solubility in seawater,changes in oceanic ph,request-7-4-3
changes in oceanic ph,ocean acidification,request-7-4-4
melting of glaciers,freshwater influx into ocean,request-8-0-0
freshwater influx into ocean,decreased ocean salinity,request-8-0-1
decreased ocean salinity,reduced water density,request-8-0-2
reduced water density,disruption of thermohaline circulation,request-8-0-3
disruption of thermohaline circulation,disruption of ocean currents at intermediate depths,request-8-0-4
melting of glaciers,freshwater input into ocean,request-8-1-0
freshwater input into ocean,ocean stratification,request-8-1-1
ocean stratification,reduced vertical mixing,request-8-1-2
reduced vertical mixing,disruption of ocean currents at intermediate depths,request-8-1-3
melting of glaciers,sea-level rise,request-8-2-0
sea-level rise,alteration of pressure gradients,request-8-2-1
alteration of pressure gradients,changes in ocean circulation patterns,request-8-2-2
changes in ocean circulation patterns,disruption of ocean currents at intermediate depths,request-8-2-3
melting of glaciers,freshwater input into high-latitude oceans,request-8-3-0
freshwater input into high-latitude oceans,weakened deep water formation,request-8-3-1
weakened deep water formation,altered thermohaline circulation,request-8-3-2
altered thermohaline circulation,disruption of ocean currents at intermediate depths,request-8-3-3
melting of glaciers,decreased salinity in polar regions,request-8-4-0
decreased salinity in polar regions,altered meridional density gradients,request-8-4-1
altered meridional density gradients,changes in geostrophic currents,request-8-4-2
changes in geostrophic currents,disruption of ocean currents at intermediate depths,request-8-4-3
melting of glaciers,increased freshwater input into the ocean,request-9-0-0
increased freshwater input into the ocean,decreased salinity of surface ocean waters,request-9-0-1
decreased salinity of surface ocean waters,altered ocean density gradients,request-9-0-2
altered ocean density gradients,disruption of thermohaline circulation,request-9-0-3
disruption of thermohaline circulation,disruption of ocean temperature at intermediate depths,request-9-0-4
melting of glaciers,sea level rise,request-9-1-0
sea level rise,altered ocean current patterns,request-9-1-1
altered ocean current patterns,changes in oceanic heat distribution,request-9-1-2
changes in oceanic heat distribution,disruption of ocean temperature at intermediate depths,request-9-1-3
melting of glaciers,addition of cold freshwater to ocean surface,request-9-2-0
addition of cold freshwater to ocean surface,weakening of deep water formation,request-9-2-1
weakening of deep water formation,slowing of global ocean conveyor belt circulation,request-9-2-2
slowing of global ocean conveyor belt circulation,disruption of ocean temperature at intermediate depths,request-9-2-3
melting of glaciers,reduction in ice albedo effect,request-9-3-0
reduction in ice albedo effect,increased absorption of solar radiation by oceans,request-9-3-1
increased absorption of solar radiation by oceans,warming of surface ocean layers,request-9-3-2
warming of surface ocean layers,increased ocean stratification,request-9-3-3
increased ocean stratification,reduced vertical mixing of ocean waters,request-9-3-4
reduced vertical mixing of ocean waters,disruption of ocean temperature at intermediate depths,request-9-3-5
melting of glaciers,increased nutrient influx into the ocean,request-9-4-0
increased nutrient influx into the ocean,altered ocean productivity,request-9-4-1
altered ocean productivity,changes in biological mixing of ocean layers,request-9-4-2
changes in biological mixing of ocean layers,disruption of ocean temperature at intermediate depths,request-9-4-3
melting of glaciers,increased sedimentation in coastal waters,request-9-5-0
increased sedimentation in coastal waters,altered coastal ocean dynamics,request-9-5-1
altered coastal ocean dynamics,changes in intermediate-depth water masses,request-9-5-2
changes in intermediate-depth water masses,disruption of ocean temperature at intermediate depths,request-9-5-3
melting of glaciers,changes in freshwater input patterns,request-9-6-0
changes in freshwater input patterns,altered precipitation and evaporation rates over oceans,request-9-6-1
altered precipitation and evaporation rates over oceans,changes in salinity-driven ocean circulation,request-9-6-2
changes in salinity-driven ocean circulation,disruption of ocean temperature at intermediate depths,request-9-6-3
"here are all possible causal chains that connect climate change to melting of glaciers:

climate change",rising global temperatures,request-10-0-0
rising global temperatures,increased glacial melting,request-10-0-1
increased glacial melting,melting of glaciers,request-10-0-2
climate change,higher atmospheric temperatures,request-10-1-0
higher atmospheric temperatures,longer warm seasons,request-10-1-1
longer warm seasons,extended glacial melt periods,request-10-1-2
extended glacial melt periods,melting of glaciers,request-10-1-3
climate change,increased frequency of heatwaves,request-10-2-0
increased frequency of heatwaves,intensified melting periods,request-10-2-1
intensified melting periods,greater glacial mass loss,request-10-2-2
greater glacial mass loss,melting of glaciers,request-10-2-3
climate change,warmer winters,request-10-3-0
warmer winters,reduced snowfall,request-10-3-1
reduced snowfall,decreased snow accumulation on glaciers,request-10-3-2
decreased snow accumulation on glaciers,less glacier growth,request-10-3-3
less glacier growth,melting of glaciers,request-10-3-4
climate change,altered precipitation patterns,request-10-4-0
altered precipitation patterns,increased rainfall instead of snowfall,request-10-4-1
increased rainfall instead of snowfall,reduced snowpack accumulation,request-10-4-2
reduced snowpack accumulation,diminished glacier recharge,request-10-4-3
diminished glacier recharge,melting of glaciers,request-10-4-4
climate change,increased atmospheric water vapor,request-10-5-0
increased atmospheric water vapor,enhanced greenhouse effect,request-10-5-1
enhanced greenhouse effect,further global warming,request-10-5-2
further global warming,accelerated glacial melting,request-10-5-3
accelerated glacial melting,melting of glaciers,request-10-5-4
climate change,ocean warming,request-10-6-0
ocean warming,increased melting from glacier bases,request-10-6-1
increased melting from glacier bases,glacier destabilization,request-10-6-2
glacier destabilization,increased glacial flow into the sea,request-10-6-3
increased glacial flow into the sea,melting of glaciers,request-10-6-4
climate change,increased wildfires,request-10-7-0
increased wildfires,higher black carbon emissions,request-10-7-1
higher black carbon emissions,deposition of black carbon on glacier surfaces,request-10-7-2
deposition of black carbon on glacier surfaces,reduced albedo effect of glaciers,request-10-7-3
reduced albedo effect of glaciers,increased absorption of solar radiation,request-10-7-4
increased absorption of solar radiation,accelerated glacial melting,request-10-7-5
accelerated glacial melting,melting of glaciers,request-10-7-6
climate change,reduction of sea ice,request-10-8-0
reduction of sea ice,decreased albedo effect,request-10-8-1
decreased albedo effect,increased ocean and atmospheric temperatures,request-10-8-2
increased ocean and atmospheric temperatures,accelerated glacial melting,request-10-8-3
accelerated glacial melting,melting of glaciers,request-10-8-4
climate change,thawing permafrost,request-10-9-0
thawing permafrost,release of methane gas,request-10-9-1
release of methane gas,enhanced greenhouse effect,request-10-9-2
enhanced greenhouse effect,further global warming,request-10-9-3
further global warming,increased glacial melting,request-10-9-4
increased glacial melting,melting of glaciers,request-10-9-5
climate change,changes in atmospheric circulation patterns,request-10-10-0
changes in atmospheric circulation patterns,altered jet stream patterns,request-10-10-1
altered jet stream patterns,increased temperatures in polar regions,request-10-10-2
increased temperatures in polar regions,accelerated glacial melting,request-10-10-3
accelerated glacial melting,melting of glaciers,request-10-10-4
climate change,enhanced sublimation due to higher temperatures,request-10-11-0
enhanced sublimation due to higher temperatures,direct loss of glacier ice to the atmosphere,request-10-11-1
direct loss of glacier ice to the atmosphere,decreased glacier mass,request-10-11-2
decreased glacier mass,melting of glaciers,request-10-11-3
climate change,increased occurrence of extreme weather events,request-10-12-0
increased occurrence of extreme weather events,heavy rainfall leading to glacial lake outburst floods,request-10-12-1
heavy rainfall leading to glacial lake outburst floods,destabilization of glacier structures,request-10-12-2
destabilization of glacier structures,accelerated glacial melting,request-10-12-3
accelerated glacial melting,melting of glaciers,request-10-12-4
climate change,reduction in snowfall due to warmer temperatures,request-10-13-0
reduction in snowfall due to warmer temperatures,negative glacier mass balance,request-10-13-1
negative glacier mass balance,retreat of glacier termini,request-10-13-2
retreat of glacier termini,melting of glaciers,request-10-13-3
climate change,oceanic thermal expansion,request-10-14-0
oceanic thermal expansion,increased sea levels,request-10-14-1
increased sea levels,enhanced calving of tidewater glaciers,request-10-14-2
enhanced calving of tidewater glaciers,melting of glaciers,request-10-14-3
climate change,increased cloud cover in polar regions,request-10-15-0
increased cloud cover in polar regions,trapping of heat in the atmosphere,request-10-15-1
trapping of heat in the atmosphere,higher surface temperatures,request-10-15-2
higher surface temperatures,accelerated glacial melting,request-10-15-3
accelerated glacial melting,melting of glaciers,request-10-15-4
meltwater-induced weakening of ocean circulation,reduced transport of cold water to lower latitudes,request-11-0-0
reduced transport of cold water to lower latitudes,accumulation of heat in intermediate-depth waters,request-11-0-1
accumulation of heat in intermediate-depth waters,warming of intermediate-depth waters,request-11-0-2
meltwater-induced weakening of ocean circulation,reduced mixing of surface and deep waters,request-11-1-0
reduced mixing of surface and deep waters,heat trapped at intermediate depths,request-11-1-1
heat trapped at intermediate depths,warming of intermediate-depth waters,request-11-1-2
meltwater-induced weakening of ocean circulation,altered thermohaline circulation,request-11-2-0
altered thermohaline circulation,increased retention of heat in ocean interiors,request-11-2-1
increased retention of heat in ocean interiors,warming of intermediate-depth waters,request-11-2-2
meltwater-induced weakening of ocean circulation,increased stratification of ocean layers,request-11-3-0
increased stratification of ocean layers,reduced ventilation of intermediate waters,request-11-3-1
reduced ventilation of intermediate waters,warming of intermediate-depth waters,request-11-3-2
meltwater-induced weakening of ocean circulation,shift in ocean currents,request-11-4-0
shift in ocean currents,altered heat distribution,request-11-4-1
altered heat distribution,warming of intermediate-depth waters,request-11-4-2
meltwater-induced weakening of ocean circulation,decreased upwelling of cold deep water,request-11-5-0
decreased upwelling of cold deep water,reduced cooling of intermediate waters,request-11-5-1
reduced cooling of intermediate waters,warming of intermediate-depth waters,request-11-5-2
meltwater-induced weakening of ocean circulation,reduced northward heat transport,request-11-6-0
reduced northward heat transport,heat accumulation in mid-latitudes,request-11-6-1
heat accumulation in mid-latitudes,warming of intermediate-depth waters,request-11-6-2
meltwater-induced weakening of ocean circulation,change in salinity gradients,request-11-7-0
change in salinity gradients,disruption of thermocline,request-11-7-1
disruption of thermocline,warming of intermediate-depth waters,request-11-7-2
meltwater-induced weakening of ocean circulation,enhanced surface warming due to decreased heat transport,request-11-8-0
enhanced surface warming due to decreased heat transport,downward diffusion of heat,request-11-8-1
downward diffusion of heat,warming of intermediate-depth waters,request-11-8-2
meltwater-induced weakening of ocean circulation,decreased oceanic heat transport to poles,request-11-9-0
decreased oceanic heat transport to poles,heat accumulation in subtropical regions,request-11-9-1
heat accumulation in subtropical regions,penetration of heat to intermediate depths,request-11-9-2
penetration of heat to intermediate depths,warming of intermediate-depth waters,request-11-9-3
warming of intermediate-depth waters,increased temperature of overlying shallow waters,request-12-0-0
increased temperature of overlying shallow waters,heat penetration into seafloor sediments,request-12-0-1
heat penetration into seafloor sediments,warming of sediments containing methane hydrates,request-12-0-2
warming of sediments containing methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-0-3
warming of intermediate-depth waters,alteration of ocean currents,request-12-1-0
alteration of ocean currents,increased heat transport to shallow regions,request-12-1-1
increased heat transport to shallow regions,elevated temperatures in shallow subsurface sediments,request-12-1-2
elevated temperatures in shallow subsurface sediments,destabilization of shallow subsurface methane hydrates,request-12-1-3
warming of intermediate-depth waters,increased stratification of ocean layers,request-12-2-0
increased stratification of ocean layers,reduced mixing of cold deep waters,request-12-2-1
reduced mixing of cold deep waters,warming of shallow ocean waters,request-12-2-2
warming of shallow ocean waters,destabilization of shallow subsurface methane hydrates,request-12-2-3
warming of intermediate-depth waters,changes in marine heat distribution,request-12-3-0
changes in marine heat distribution,thermal stresses on sediment structures,request-12-3-1
thermal stresses on sediment structures,weakening of methane hydrate stability,request-12-3-2
weakening of methane hydrate stability,destabilization of shallow subsurface methane hydrates,request-12-3-3
warming of intermediate-depth waters,destabilization of methane hydrates,request-13-0-0
destabilization of methane hydrates,release of methane,request-13-0-1
warming of intermediate-depth waters,melting of gas hydrates,request-13-1-0
melting of gas hydrates,release of methane,request-13-1-1
warming of intermediate-depth waters,thawing of seabed permafrost,request-13-2-0
thawing of seabed permafrost,release of methane,request-13-2-1
warming of intermediate-depth waters,increase in microbial activity,request-13-3-0
increase in microbial activity,enhanced methane production,request-13-3-1
enhanced methane production,release of methane,request-13-3-2
warming of intermediate-depth waters,reduction in methane solubility,request-13-4-0
reduction in methane solubility,exsolution of methane,request-13-4-1
exsolution of methane,release of methane,request-13-4-2
warming of intermediate-depth waters,decrease in gas hydrate stability zone,request-13-5-0
decrease in gas hydrate stability zone,release of methane,request-13-5-1
warming of intermediate-depth waters,increased sediment permeability,request-13-6-0
increased sediment permeability,migration of methane,request-13-6-1
migration of methane,release of methane,request-13-6-2
warming of intermediate-depth waters,weakening of gas hydrate cap layer,request-13-7-0
weakening of gas hydrate cap layer,methane leakage from reservoirs,request-13-7-1
methane leakage from reservoirs,release of methane,request-13-7-2
shutdown of energy production,decrease in energy supply,request-14-0-0
decrease in energy supply,increase in energy prices,request-14-0-1
increase in energy prices,increase in production costs,request-14-0-2
increase in production costs,increase in consumer prices,request-14-0-3
increase in consumer prices,inflation,request-14-0-4
shutdown of energy production,energy shortage,request-14-1-0
energy shortage,disruption of industrial production,request-14-1-1
disruption of industrial production,decrease in goods supply,request-14-1-2
decrease in goods supply,supply-demand imbalance,request-14-1-3
supply-demand imbalance,general price increase,request-14-1-4
general price increase,inflation,request-14-1-5
shutdown of energy production,reliance on energy imports,request-14-2-0
reliance on energy imports,increase in import costs,request-14-2-1
increase in import costs,trade deficit increase,request-14-2-2
trade deficit increase,currency depreciation,request-14-2-3
currency depreciation,increase in import prices,request-14-2-4
increase in import prices,inflation,request-14-2-5
shutdown of energy production,energy scarcity,request-14-3-0
energy scarcity,panic buying,request-14-3-1
panic buying,goods shortages,request-14-3-2
goods shortages,price hikes,request-14-3-3
price hikes,inflation,request-14-3-4
shutdown of energy production,increase in transportation costs,request-14-4-0
increase in transportation costs,increase in distribution costs,request-14-4-1
increase in distribution costs,increase in retail prices,request-14-4-2
increase in retail prices,inflation,request-14-4-3
shutdown of energy production,job losses,request-14-5-0
job losses,decrease in consumer spending,request-14-5-1
decrease in consumer spending,economic recession,request-14-5-2
economic recession,government stimulus spending,request-14-5-3
government stimulus spending,increase in money supply,request-14-5-4
increase in money supply,inflation,request-14-5-5
shutdown of energy production,decrease in energy exports,request-14-6-0
decrease in energy exports,loss of national income,request-14-6-1
loss of national income,increase in government debt,request-14-6-2
increase in government debt,currency devaluation,request-14-6-3
currency devaluation,increase in import prices,request-14-6-4
increase in import prices,inflation,request-14-6-5
shutdown of energy production,decrease in electricity supply,request-15-0-0
decrease in electricity supply,power outages,request-15-0-1
power outages,disruption of manufacturing processes,request-15-0-2
disruption of manufacturing processes,reduced production of goods,request-15-0-3
reduced production of goods,scarcity of products,request-15-0-4
scarcity of products,shortages,request-15-0-5
shutdown of energy production,interruption of fuel supplies,request-15-1-0
interruption of fuel supplies,transportation disruptions,request-15-1-1
transportation disruptions,delayed deliveries,request-15-1-2
delayed deliveries,scarcity of goods,request-15-1-3
scarcity of goods,shortages,request-15-1-4
shutdown of energy production,increase in energy costs,request-15-2-0
increase in energy costs,higher production expenses,request-15-2-1
higher production expenses,reduced output from industries,request-15-2-2
reduced output from industries,decreased availability of products,request-15-2-3
decreased availability of products,shortages,request-15-2-4
shutdown of energy production,failure of refrigeration systems,request-15-3-0
failure of refrigeration systems,spoilage of perishable goods,request-15-3-1
spoilage of perishable goods,reduced food supply,request-15-3-2
reduced food supply,shortages,request-15-3-3
shutdown of energy production,interruption of water treatment facilities,request-15-4-0
interruption of water treatment facilities,decreased potable water supply,request-15-4-1
decreased potable water supply,water scarcity,request-15-4-2
water scarcity,shortages,request-15-4-3
shutdown of energy production,disruption of communication networks,request-15-5-0
disruption of communication networks,lack of information dissemination,request-15-5-1
lack of information dissemination,panic buying,request-15-5-2
panic buying,depletion of store inventories,request-15-5-3
depletion of store inventories,shortages,request-15-5-4
shutdown of energy production,decrease in heating capabilities,request-15-6-0
decrease in heating capabilities,impact on indoor agriculture,request-15-6-1
impact on indoor agriculture,reduced crop yields,request-15-6-2
reduced crop yields,food shortages,request-15-6-3
food shortages,shortages,request-15-6-4
shutdown of energy production,unemployment increase,request-15-7-0
unemployment increase,reduced consumer spending,request-15-7-1
