cause,effect,custom_id
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-2-1
increased atmospheric co2 concentration,atmospheric co2 dissolution in ocean,request-7-2-2
atmospheric co2 dissolution in ocean,increased hydrogen ion concentration,request-7-2-3
increased hydrogen ion concentration,decreased ocean ph,request-7-2-4
decreased ocean ph,ocean acidification,request-7-2-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-3-0
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-3-1
increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,request-7-3-2
atmospheric co2 absorption by ocean,increased hydrogen ion concentration,request-7-3-3
increased hydrogen ion concentration,decreased ocean ph,request-7-3-4
decreased ocean ph,ocean acidification,request-7-3-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-4-0
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-4-1
increased atmospheric co2 concentration,atmospheric co2 dissolution in ocean,request-7-4-2
atmospheric co2 dissolution in ocean,increased carbonate ion depletion,request-7-4-3
increased carbonate ion depletion,decreased calcium carbonate saturation,request-7-4-4
decreased calcium carbonate saturation,ocean acidification,request-7-4-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-5-0
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-5-1
increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,request-7-5-2
atmospheric co2 absorption by ocean,increased carbonate ion depletion,request-7-5-3
increased carbonate ion depletion,decreased calcium carbonate saturation,request-7-5-4
decreased calcium carbonate saturation,ocean acidification,request-7-5-5
melting of glaciers,increased freshwater input into the ocean,request-8-0-0
increased freshwater input into the ocean,changes in water density and salinity,request-8-0-1
changes in water density and salinity,alteration of water column stratification,request-8-0-2
alteration of water column stratification,disruption of ocean currents at intermediate depths,request-8-0-3
melting of glaciers,increased freshwater input into the ocean,request-8-1-0
increased freshwater input into the ocean,changes in water temperature,request-8-1-1
changes in water temperature,alteration of water column stratification,request-8-1-2
alteration of water column stratification,disruption of ocean currents at intermediate depths,request-8-1-3
melting of glaciers,increased freshwater input into the ocean,request-8-2-0
increased freshwater input into the ocean,"changes in water density, salinity, and temperature",request-8-2-1
"changes in water density, salinity, and temperature",alteration of water column stratification,request-8-2-2
alteration of water column stratification,disruption of ocean currents at intermediate depths,request-8-2-3
melting of glaciers,increased freshwater input into the ocean,request-8-3-0
increased freshwater input into the ocean,changes in sea level,request-8-3-1
changes in sea level,alteration of coastal currents and circulation patterns,request-8-3-2
alteration of coastal currents and circulation patterns,disruption of ocean currents at intermediate depths,request-8-3-3
melting of glaciers,increased freshwater input into the ocean,request-8-4-0
increased freshwater input into the ocean,changes in water temperature and circulation patterns,request-8-4-1
changes in water temperature and circulation patterns,alteration of water column stratification,request-8-4-2
alteration of water column stratification,disruption of ocean currents at intermediate depths,request-8-4-3
melting of glaciers,increased freshwater input into the ocean,request-8-5-0
increased freshwater input into the ocean,"changes in water density, salinity, temperature, and circulation patterns",request-8-5-1
"changes in water density, salinity, temperature, and circulation patterns",alteration of water column stratification,request-8-5-2
alteration of water column stratification,disruption of ocean currents at intermediate depths,request-8-5-3
melting of glaciers,increased freshwater inflow into the ocean,request-9-0-0
increased freshwater inflow into the ocean,changes in ocean salinity levels,request-9-0-1
changes in ocean salinity levels,alterations in water density and circulation patterns,request-9-0-2
alterations in water density and circulation patterns,disruption of ocean temperature at intermediate depths,request-9-0-3
melting of glaciers,increased freshwater inflow into the ocean,request-9-1-0
increased freshwater inflow into the ocean,changes in ocean salinity levels,request-9-1-1
changes in ocean salinity levels,alterations in water density and circulation patterns,request-9-1-2
alterations in water density and circulation patterns,reduction in heat transport from equatorial regions,request-9-1-3
reduction in heat transport from equatorial regions,disruption of ocean temperature at intermediate depths,request-9-1-4
melting of glaciers,increased freshwater inflow into the ocean,request-9-2-0
increased freshwater inflow into the ocean,changes in ocean salinity levels,request-9-2-1
changes in ocean salinity levels,alterations in water density and circulation patterns,request-9-2-2
alterations in water density and circulation patterns,changes in the strength and position of ocean currents,request-9-2-3
changes in the strength and position of ocean currents,disruption of ocean temperature at intermediate depths,request-9-2-4
melting of glaciers,increased freshwater inflow into the ocean,request-9-3-0
increased freshwater inflow into the ocean,changes in ocean salinity levels,request-9-3-1
changes in ocean salinity levels,alterations in water density and circulation patterns,request-9-3-2
alterations in water density and circulation patterns,changes in nutrient distribution and availability,request-9-3-3
changes in nutrient distribution and availability,alterations in marine ecosystems and food webs,request-9-3-4
alterations in marine ecosystems and food webs,disruption of ocean temperature at intermediate depths,request-9-3-5
melting of glaciers,increased freshwater inflow into the ocean,request-9-4-0
increased freshwater inflow into the ocean,changes in ocean salinity levels,request-9-4-1
changes in ocean salinity levels,alterations in water density and circulation patterns,request-9-4-2
alterations in water density and circulation patterns,changes in sea level rise,request-9-4-3
changes in sea level rise,changes in coastal ecosystems and oceanic processes,request-9-4-4
changes in coastal ecosystems and oceanic processes,disruption of ocean temperature at intermediate depths,request-9-4-5
climate change,increase in global temperatures,request-10-0-0
increase in global temperatures,warming of ocean waters,request-10-0-1
warming of ocean waters,heat absorption by glaciers,request-10-0-2
heat absorption by glaciers,melting of glaciers,request-10-0-3
climate change,increase in greenhouse gas emissions,request-10-1-0
increase in greenhouse gas emissions,enhanced greenhouse effect,request-10-1-1
enhanced greenhouse effect,increase in global temperatures,request-10-1-2
increase in global temperatures,warming of ocean waters,request-10-1-3
warming of ocean waters,heat absorption by glaciers,request-10-1-4
heat absorption by glaciers,melting of glaciers,request-10-1-5
climate change,increase in atmospheric temperatures,request-10-2-0
increase in atmospheric temperatures,warming of air surrounding glaciers,request-10-2-1
warming of air surrounding glaciers,heat absorption by glaciers,request-10-2-2
heat absorption by glaciers,melting of glaciers,request-10-2-3
climate change,changes in precipitation patterns,request-10-3-0
changes in precipitation patterns,decrease in snowfall on glaciers,request-10-3-1
decrease in snowfall on glaciers,reduced reflectivity of glaciers,request-10-3-2
reduced reflectivity of glaciers,increased heat absorption by glaciers,request-10-3-3
increased heat absorption by glaciers,melting of glaciers,request-10-3-4
climate change,rising sea levels,request-10-4-0
rising sea levels,increased ocean temperatures,request-10-4-1
increased ocean temperatures,heat absorption by glaciers,request-10-4-2
heat absorption by glaciers,melting of glaciers,request-10-4-3
meltwaterinduced weakening of ocean circulation,"reduced transport of cold, dense water",request-11-0-0
"reduced transport of cold, dense water",decreased mixing of surface and deep waters,request-11-0-1
decreased mixing of surface and deep waters,reduced heat transfer to the deep ocean,request-11-0-2
reduced heat transfer to the deep ocean,warming of intermediatedepth waters,request-11-0-3
meltwaterinduced weakening of ocean circulation,alteration of thermohaline circulation,request-11-1-0
alteration of thermohaline circulation,disruption of global heat transport,request-11-1-1
disruption of global heat transport,increased heat retention in upper ocean layers,request-11-1-2
increased heat retention in upper ocean layers,warming of intermediatedepth waters,request-11-1-3
meltwaterinduced weakening of ocean circulation,"reduced flow of cold, dense water into the deep ocean",request-11-2-0
"reduced flow of cold, dense water into the deep ocean",decreased vertical mixing of water masses,request-11-2-1
decreased vertical mixing of water masses,trapping of heat in the upper ocean,request-11-2-2
trapping of heat in the upper ocean,warming of intermediatedepth waters,request-11-2-3
meltwaterinduced weakening of ocean circulation,slowing of meridional overturning circulation,request-11-3-0
slowing of meridional overturning circulation,"reduced upwelling of cold, deep water",request-11-3-1
"reduced upwelling of cold, deep water",increased stratification of ocean layers,request-11-3-2
increased stratification of ocean layers,warming of intermediatedepth waters,request-11-3-3
warming of intermediatedepth waters,increased heat transfer to shallow subsurface waters,request-12-0-0
increased heat transfer to shallow subsurface waters,rising temperatures in shallow subsurface waters,request-12-0-1
rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,request-12-0-2
warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-0-3
warming of intermediatedepth waters,changes in ocean circulation patterns,request-12-1-0
changes in ocean circulation patterns,increased heat transfer to shallow subsurface waters,request-12-1-1
increased heat transfer to shallow subsurface waters,rising temperatures in shallow subsurface waters,request-12-1-2
rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,request-12-1-3
warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-1-4
warming of intermediatedepth waters,changes in ocean chemistry,request-12-2-0
changes in ocean chemistry,increased dissolution of methane hydrates,request-12-2-1
increased dissolution of methane hydrates,release of methane gas,request-12-2-2
release of methane gas,increased pressure in shallow subsurface waters,request-12-2-3
increased pressure in shallow subsurface waters,destabilization of shallow subsurface methane hydrates,request-12-2-4
warming of intermediatedepth waters,changes in ocean currents,request-12-3-0
changes in ocean currents,increased turbulence in shallow subsurface waters,request-12-3-1
increased turbulence in shallow subsurface waters,enhanced mixing of methane hydrates with surrounding water,request-12-3-2
enhanced mixing of methane hydrates with surrounding water,warming of shallow subsurface methane hydrates,request-12-3-3
warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-3-4
warming of intermediatedepth waters,changes in ocean circulation patterns,request-12-4-0
changes in ocean circulation patterns,increased upwelling of warm water,request-12-4-1
increased upwelling of warm water,rising temperatures in shallow subsurface waters,request-12-4-2
rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,request-12-4-3
warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-4-4
warming of intermediatedepth waters,increased temperatures in ocean sediments,request-13-0-0
increased temperatures in ocean sediments,thawing of methane hydrates,request-13-0-1
thawing of methane hydrates,release of methane,request-13-0-2
warming of intermediatedepth waters,changes in ocean currents and circulation patterns,request-13-1-0
changes in ocean currents and circulation patterns,increased upwelling of nutrientrich waters,request-13-1-1
increased upwelling of nutrientrich waters,stimulation of methaneproducing microorganisms,request-13-1-2
stimulation of methaneproducing microorganisms,release of methane,request-13-1-3
warming of intermediatedepth waters,changes in ocean chemistry,request-13-2-0
changes in ocean chemistry,increased acidification of seawater,request-13-2-1
increased acidification of seawater,dissolution of carbonate rocks containing methane hydrates,request-13-2-2
dissolution of carbonate rocks containing methane hydrates,release of methane,request-13-2-3
warming of intermediatedepth waters,changes in ocean ecosystems,request-13-3-0
changes in ocean ecosystems,increased abundance of methaneproducing organisms,request-13-3-1
increased abundance of methaneproducing organisms,release of methane,request-13-3-2
warming of intermediatedepth waters,changes in ocean currents and circulation patterns,request-13-4-0
changes in ocean currents and circulation patterns,increased mixing of water layers,request-13-4-1
increased mixing of water layers,enhanced transport of methane from deep ocean reservoirs,request-13-4-2
enhanced transport of methane from deep ocean reservoirs,release of methane,request-13-4-3
shutdown of energy production,shortage of energy supply,request-14-0-0
shortage of energy supply,increase in energy prices,request-14-0-1
increase in energy prices,rise in production costs,request-14-0-2
rise in production costs,increase in consumer prices,request-14-0-3
increase in consumer prices,inflation,request-14-0-4
shutdown of energy production,shortage of energy supply,request-14-1-0
shortage of energy supply,decrease in industrial productivity,request-14-1-1
decrease in industrial productivity,rise in production costs,request-14-1-2
rise in production costs,increase in consumer prices,request-14-1-3
increase in consumer prices,inflation,request-14-1-4
shutdown of energy production,shortage of energy supply,request-14-2-0
shortage of energy supply,decrease in industrial productivity,request-14-2-1
decrease in industrial productivity,reduction in economic growth,request-14-2-2
reduction in economic growth,increase in unemployment,request-14-2-3
increase in unemployment,decrease in consumer spending,request-14-2-4
decrease in consumer spending,decrease in demand for goods and services,request-14-2-5
decrease in demand for goods and services,decrease in production,request-14-2-6
decrease in production,increase in production costs,request-14-2-7
increase in production costs,increase in consumer prices,request-14-2-8
increase in consumer prices,inflation,request-14-2-9
shutdown of energy production,shortage of energy supply,request-14-3-0
shortage of energy supply,decrease in industrial productivity,request-14-3-1
decrease in industrial productivity,reduction in economic growth,request-14-3-2
reduction in economic growth,decrease in tax revenue,request-14-3-3
decrease in tax revenue,increase in government borrowing,request-14-3-4
increase in government borrowing,increase in money supply,request-14-3-5
increase in money supply,inflation,request-14-3-6
shutdown of energy production,reduction in energy supply,request-15-0-0
reduction in energy supply,inability to meet energy demands,request-15-0-1
inability to meet energy demands,shortages,request-15-0-2
shutdown of energy production,increase in energy prices,request-15-1-0
increase in energy prices,inability of consumers to afford energy,request-15-1-1
inability of consumers to afford energy,shortages,request-15-1-2
shutdown of energy production,disruption in supply chain,request-15-2-0
disruption in supply chain,delay in delivery of goods and services,request-15-2-1
delay in delivery of goods and services,shortages,request-15-2-2
shutdown of energy production,reduction in industrial output,request-15-3-0
reduction in industrial output,decrease in availability of goods,request-15-3-1
decrease in availability of goods,shortages,request-15-3-2
shutdown of energy production,reduction in transportation capacity,request-15-4-0
reduction in transportation capacity,limited movement of goods,request-15-4-1
limited movement of goods,shortages,request-15-4-2
shutdown of energy production,reduction in agricultural productivity,request-15-5-0
reduction in agricultural productivity,decrease in food supply,request-15-5-1
decrease in food supply,shortages,request-15-5-2
shutdown of energy production,reduction in water treatment capacity,request-15-6-0
reduction in water treatment capacity,limited access to clean water,request-15-6-1
limited access to clean water,shortages,request-15-6-2
shutdown of energy production,reduction in healthcare capacity,request-15-7-0
reduction in healthcare capacity,limited access to medical services,request-15-7-1
limited access to medical services,shortages,request-15-7-2
shutdown of energy production,reduction in communication capacity,request-15-8-0
reduction in communication capacity,limited access to information,request-15-8-1
limited access to information,shortages,request-15-8-2
shutdown of energy production,reduction in public services,request-15-9-0
reduction in public services,limited access to essential services,request-15-9-1
limited access to essential services,shortages,request-15-9-2
shutdown of energy production,decrease in energy supply,request-16-0-0
decrease in energy supply,increase in energy prices,request-16-0-1
increase in energy prices,rise in production costs,request-16-0-2
rise in production costs,increase in consumer prices,request-16-0-3
increase in consumer prices,inflation,request-16-0-4
shutdown of energy production,decrease in energy supply,request-16-1-0
decrease in energy supply,increase in energy prices,request-16-1-1
increase in energy prices,reduction in consumer spending,request-16-1-2
reduction in consumer spending,decrease in demand,request-16-1-3
decrease in demand,increase in unemployment,request-16-1-4
increase in unemployment,decrease in economic growth,request-16-1-5
decrease in economic growth,inflation,request-16-1-6
shutdown of energy production,decrease in energy supply,request-16-2-0
decrease in energy supply,increase in energy prices,request-16-2-1
increase in energy prices,reduction in investment,request-16-2-2
reduction in investment,decrease in economic growth,request-16-2-3
decrease in economic growth,increase in unemployment,request-16-2-4
increase in unemployment,decrease in consumer spending,request-16-2-5
decrease in consumer spending,inflation,request-16-2-6
shutdown of energy production,decrease in energy supply,request-16-3-0
decrease in energy supply,increase in energy prices,request-16-3-1
increase in energy prices,reduction in investment,request-16-3-2
reduction in investment,decrease in economic growth,request-16-3-3
decrease in economic growth,increase in government spending,request-16-3-4
increase in government spending,increase in money supply,request-16-3-5
increase in money supply,inflation,request-16-3-6
shutdown of energy production,decrease in energy supply,request-16-4-0
decrease in energy supply,increase in energy prices,request-16-4-1
increase in energy prices,reduction in investment,request-16-4-2
reduction in investment,decrease in economic growth,request-16-4-3
decrease in economic growth,increase in government borrowing,request-16-4-4
increase in government borrowing,increase in interest rates,request-16-4-5
increase in interest rates,inflation,request-16-4-6
shutdown of energy production,decrease in energy supply,request-16-5-0
decrease in energy supply,increase in energy prices,request-16-5-1
increase in energy prices,reduction in investment,request-16-5-2
reduction in investment,decrease in economic growth,request-16-5-3
decrease in economic growth,increase in government spending,request-16-5-4
increase in government spending,increase in money supply,request-16-5-5
increase in money supply,decrease in currency value,request-16-5-6
decrease in currency value,inflation,request-16-5-7
shutdown of energy production,decrease in energy supply,request-16-6-0
decrease in energy supply,increase in energy prices,request-16-6-1
increase in energy prices,reduction in investment,request-16-6-2
reduction in investment,decrease in economic growth,request-16-6-3
decrease in economic growth,increase in government borrowing,request-16-6-4
increase in government borrowing,increase in interest rates,request-16-6-5
increase in interest rates,decrease in currency value,request-16-6-6
decrease in currency value,inflation,request-16-6-7
shutdown of energy production,decrease in energy supply,request-16-7-0
decrease in energy supply,increase in energy prices,request-16-7-1
increase in energy prices,reduction in investment,request-16-7-2
reduction in investment,decrease in economic growth,request-16-7-3
decrease in economic growth,increase in government spending,request-16-7-4
increase in government spending,increase in money supply,request-16-7-5
increase in money supply,increase in demand for goods and services,request-16-7-6
increase in demand for goods and services,inflation,request-16-7-7
shutdown of energy production,decrease in energy supply,request-16-8-0
decrease in energy supply,increase in energy prices,request-16-8-1
increase in energy prices,reduction in investment,request-16-8-2
reduction in investment,decrease in economic growth,request-16-8-3
decrease in economic growth,increase in government borrowing,request-16-8-4
increase in government borrowing,increase in interest rates,request-16-8-5
increase in interest rates,increase in demand for goods and services,request-16-8-6
increase in demand for goods and services,inflation,request-16-8-7
shutdown of energy production,reduction in energy supply,request-17-0-0
reduction in energy supply,inability to meet energy demands,request-17-0-1
