cause,effect,custom_id
decline in fish populations,disruption of aquatic food webs,request-3-6-1
disruption of aquatic food webs,loss of biodiversity,request-3-6-2
business introduction of invasive species,native species decline,request-3-7-0
native species decline,ecosystem imbalance,request-3-7-1
ecosystem imbalance,loss of biodiversity,request-3-7-2
business energy consumption,fossil fuel use,request-3-8-0
fossil fuel use,air quality deterioration,request-3-8-1
air quality deterioration,loss of biodiversity,request-3-8-2
business land use changes,agricultural expansion,request-3-9-0
agricultural expansion,natural habitats reduced,request-3-9-1
natural habitats reduced,loss of biodiversity,request-3-9-2
business,resource extraction,request-4-0-0
resource extraction,deforestation,request-4-0-1
deforestation,habitat loss,request-4-0-2
habitat loss,degradation of nature,request-4-0-3
business,industrial production,request-4-1-0
industrial production,pollution emissions,request-4-1-1
pollution emissions,air and water contamination,request-4-1-2
air and water contamination,ecosystem damage,request-4-1-3
ecosystem damage,degradation of nature,request-4-1-4
business,fossil fuel use,request-4-2-0
fossil fuel use,greenhouse gas emissions,request-4-2-1
greenhouse gas emissions,climate change,request-4-2-2
climate change,natural disasters,request-4-2-3
natural disasters,degradation of nature,request-4-2-4
business,agricultural expansion,request-4-3-0
agricultural expansion,pesticide use,request-4-3-1
pesticide use,soil degradation,request-4-3-2
soil degradation,water pollution,request-4-3-3
water pollution,degradation of nature,request-4-3-4
business,overconsumption,request-4-4-0
overconsumption,waste generation,request-4-4-1
waste generation,landfill overflow,request-4-4-2
landfill overflow,soil and water contamination,request-4-4-3
soil and water contamination,degradation of nature,request-4-4-4
business,urbanization,request-4-5-0
urbanization,habitat fragmentation,request-4-5-1
habitat fragmentation,biodiversity loss,request-4-5-2
biodiversity loss,ecosystem imbalance,request-4-5-3
ecosystem imbalance,degradation of nature,request-4-5-4
heat from gas emissions absorbed by oceans,increased ocean temperature,request-5-0-0
increased ocean temperature,enhanced water column stratification,request-5-0-1
enhanced water column stratification,reduced vertical mixing,request-5-0-2
reduced vertical mixing,slowing of ocean vertical mixing,request-5-0-3
heat from gas emissions absorbed by oceans,ocean warming,request-5-1-0
ocean warming,altered density gradients,request-5-1-1
altered density gradients,impaired convective processes,request-5-1-2
impaired convective processes,slowing of ocean vertical mixing,request-5-1-3
heat from gas emissions absorbed by oceans,surface heat accumulation,request-5-2-0
surface heat accumulation,increased thermal stability of water layers,request-5-2-1
increased thermal stability of water layers,diminished vertical circulation,request-5-2-2
diminished vertical circulation,slowing of ocean vertical mixing,request-5-2-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-0-0
increased ocean temperature,reduced oxygen solubility,request-6-0-1
reduced oxygen solubility,ocean deoxygenation,request-6-0-2
heat from gas emissions absorbed by oceans,stratification of water layers,request-6-1-0
stratification of water layers,decreased deep water mixing,request-6-1-1
decreased deep water mixing,ocean deoxygenation,request-6-1-2
heat from gas emissions absorbed by oceans,altered ocean circulation,request-6-2-0
altered ocean circulation,decreased oxygen transport,request-6-2-1
decreased oxygen transport,ocean deoxygenation,request-6-2-2
heat from gas emissions absorbed by oceans,increased metabolic rates of marine organisms,request-6-3-0
increased metabolic rates of marine organisms,increased oxygen consumption,request-6-3-1
increased oxygen consumption,ocean deoxygenation,request-6-3-2
heat from gas emissions absorbed by oceans,increased decomposition of organic matter,request-6-4-0
increased decomposition of organic matter,increased oxygen consumption,request-6-4-1
increased oxygen consumption,ocean deoxygenation,request-6-4-2
fossil fuel co2 emissions,increased atmospheric co2 concentration,request-7-0-0
increased atmospheric co2 concentration,greater absorption of co2 by oceans,request-7-0-1
greater absorption of co2 by oceans,formation of carbonic acid,request-7-0-2
formation of carbonic acid,ocean acidification,request-7-0-3
fossil fuel co2 emissions,enhanced greenhouse effect,request-7-1-0
enhanced greenhouse effect,global temperature rise,request-7-1-1
global temperature rise,altered ocean circulation patterns,request-7-1-2
altered ocean circulation patterns,ocean acidification,request-7-1-3
fossil fuel co2 emissions,higher levels of co2 in the atmosphere,request-7-2-0
higher levels of co2 in the atmosphere,increased partial pressure of co2 in seawater,request-7-2-1
increased partial pressure of co2 in seawater,dissolution of more co2 forming bicarbonate ions,request-7-2-2
dissolution of more co2 forming bicarbonate ions,ocean acidification,request-7-2-3
fossil fuel co2 emissions,release of excess carbon dioxide,request-7-3-0
release of excess carbon dioxide,reduction in seawater carbonate ion concentration,request-7-3-1
reduction in seawater carbonate ion concentration,impacts on marine carbonate chemistry,request-7-3-2
impacts on marine carbonate chemistry,ocean acidification,request-7-3-3
melting of glaciers,increased freshwater input into the ocean,request-8-0-0
increased freshwater input into the ocean,changes in ocean salinity,request-8-0-1
changes in ocean salinity,altered ocean density,request-8-0-2
altered ocean density,disruption of ocean currents at intermediate depths,request-8-0-3
melting of glaciers,rising sea levels,request-8-1-0
rising sea levels,changes in coastal ecosystems,request-8-1-1
changes in coastal ecosystems,altered nutrient distribution,request-8-1-2
altered nutrient distribution,disruption of ocean currents at intermediate depths,request-8-1-3
melting of glaciers,increased global temperatures,request-8-2-0
increased global temperatures,enhanced ocean stratification,request-8-2-1
enhanced ocean stratification,reduced ocean mixing,request-8-2-2
reduced ocean mixing,disruption of ocean currents at intermediate depths,request-8-2-3
melting of glaciers,freshwater release into oceans,request-8-3-0
freshwater release into oceans,lower surface water salinity,request-8-3-1
lower surface water salinity,weakening of thermohaline circulation,request-8-3-2
weakening of thermohaline circulation,disruption of ocean currents at intermediate depths,request-8-3-3
melting of glaciers,freshwater input into oceans,request-9-0-0
freshwater input into oceans,alteration of ocean salinity,request-9-0-1
alteration of ocean salinity,disruption of ocean temperature at intermediate depths,request-9-0-2
melting of glaciers,sea-level rise,request-9-1-0
sea-level rise,changes in ocean circulation,request-9-1-1
changes in ocean circulation,disruption of ocean temperature at intermediate depths,request-9-1-2
melting of glaciers,increased freshwater on surface,request-9-2-0
increased freshwater on surface,enhanced stratification of ocean layers,request-9-2-1
enhanced stratification of ocean layers,reduced mixing to intermediate depths,request-9-2-2
reduced mixing to intermediate depths,disruption of ocean temperature at intermediate depths,request-9-2-3
melting of glaciers,thermal runoff,request-9-3-0
thermal runoff,altered heat distribution in ocean,request-9-3-1
altered heat distribution in ocean,disruption of ocean temperature at intermediate depths,request-9-3-2
melting of glaciers,increase in meltwater,request-9-4-0
increase in meltwater,changes in thermohaline circulation,request-9-4-1
changes in thermohaline circulation,disruption of ocean temperature at intermediate depths,request-9-4-2
climate change,increased global temperatures,request-10-0-0
increased global temperatures,reduced glacier mass,request-10-0-1
reduced glacier mass,melting of glaciers,request-10-0-2
climate change,altered precipitation patterns,request-10-1-0
altered precipitation patterns,decreased snowfall,request-10-1-1
decreased snowfall,melting of glaciers,request-10-1-2
climate change,ocean warming,request-10-2-0
ocean warming,increased air temperatures above glaciers,request-10-2-1
increased air temperatures above glaciers,melting of glaciers,request-10-2-2
climate change,increased greenhouse gases,request-10-3-0
increased greenhouse gases,enhanced greenhouse effect,request-10-3-1
enhanced greenhouse effect,melting of glaciers,request-10-3-2
climate change,ice-albedo feedback,request-10-4-0
ice-albedo feedback,acceleration of glacier melting,request-10-4-1
acceleration of glacier melting,melting of glaciers,request-10-4-2
climate change,changing wind patterns,request-10-5-0
changing wind patterns,increased heat transport to polar regions,request-10-5-1
increased heat transport to polar regions,melting of glaciers,request-10-5-2
climate change,increased frequency of extreme weather events,request-10-6-0
increased frequency of extreme weather events,stress on glaciers,request-10-6-1
stress on glaciers,melting of glaciers,request-10-6-2
meltwater-induced weakening of ocean circulation,reduced thermohaline circulation,request-11-0-0
reduced thermohaline circulation,decreased vertical mixing,request-11-0-1
decreased vertical mixing,warming of intermediate-depth waters,request-11-0-2
meltwater-induced weakening of ocean circulation,slower ocean heat transport,request-11-1-0
slower ocean heat transport,increased heat retention at intermediate depths,request-11-1-1
increased heat retention at intermediate depths,warming of intermediate-depth waters,request-11-1-2
meltwater-induced weakening of ocean circulation,altered current patterns,request-11-2-0
altered current patterns,reduced cooling of intermediate-depth waters,request-11-2-1
reduced cooling of intermediate-depth waters,warming of intermediate-depth waters,request-11-2-2
meltwater-induced weakening of ocean circulation,stratification of ocean layers,request-11-3-0
stratification of ocean layers,limited heat dissipation,request-11-3-1
limited heat dissipation,warming of intermediate-depth waters,request-11-3-2
meltwater-induced weakening of ocean circulation,decreased upwelling,request-11-4-0
decreased upwelling,accumulation of heat in intermediate depths,request-11-4-1
accumulation of heat in intermediate depths,warming of intermediate-depth waters,request-11-4-2
warming of intermediate-depth waters,increase in temperature of surrounding seawater,request-12-0-0
increase in temperature of surrounding seawater,elevated thermal stress on methane hydrate stability,request-12-0-1
elevated thermal stress on methane hydrate stability,destabilization of shallow subsurface methane hydrates,request-12-0-2
warming of intermediate-depth waters,altered ocean current patterns,request-12-1-0
altered ocean current patterns,reduced heat dissipation in sediment layers,request-12-1-1
reduced heat dissipation in sediment layers,destabilization of shallow subsurface methane hydrates,request-12-1-2
warming of intermediate-depth waters,enhanced microbial activity in sediments,request-12-2-0
enhanced microbial activity in sediments,increased consumption of stabilizing compounds,request-12-2-1
increased consumption of stabilizing compounds,destabilization of shallow subsurface methane hydrates,request-12-2-2
warming of intermediate-depth waters,decreased hydrostatic pressure on sediment layers,request-12-3-0
decreased hydrostatic pressure on sediment layers,lower pressure stability for methane hydrates,request-12-3-1
lower pressure stability for methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-3-2
warming of intermediate-depth waters,changes in sediment chemistry,request-12-4-0
changes in sediment chemistry,chemical destabilization of methane hydrates,request-12-4-1
chemical destabilization of methane hydrates,destabilization of shallow subsurface methane hydrates,request-12-4-2
warming of intermediate-depth waters,increased water temperature reduces solubility of methane,request-13-0-0
increased water temperature reduces solubility of methane,higher methane concentrations in water column,request-13-0-1
higher methane concentrations in water column,destabilization of methane hydrates,request-13-0-2
destabilization of methane hydrates,release of methane,request-13-0-3
warming of intermediate-depth waters,enhanced thermal stress on marine sediments,request-13-1-0
enhanced thermal stress on marine sediments,fracturing of sediment structures,request-13-1-1
fracturing of sediment structures,liberation of trapped methane,request-13-1-2
liberation of trapped methane,release of methane,request-13-1-3
warming of intermediate-depth waters,altered ocean circulation patterns,request-13-2-0
altered ocean circulation patterns,reduced methane oxidation rates,request-13-2-1
reduced methane oxidation rates,accumulation of methane in ocean depths,request-13-2-2
accumulation of methane in ocean depths,release of methane,request-13-2-3
warming of intermediate-depth waters,increased stratification of water layers,request-13-3-0
increased stratification of water layers,decreased ventilation of deep waters,request-13-3-1
decreased ventilation of deep waters,buildup of methane in deep sediments,request-13-3-2
buildup of methane in deep sediments,release of methane,request-13-3-3
warming of intermediate-depth waters,melting of methane clathrates,request-13-4-0
melting of methane clathrates,destabilization of methane storage,request-13-4-1
destabilization of methane storage,emission of methane into the ocean and atmosphere,request-13-4-2
emission of methane into the ocean and atmosphere,release of methane,request-13-4-3
warming of intermediate-depth waters,enhanced microbial decomposition of organic matter,request-13-5-0
enhanced microbial decomposition of organic matter,increased production of biogenic methane,request-13-5-1
increased production of biogenic methane,saturation of methane in sediments,request-13-5-2
saturation of methane in sediments,release of methane,request-13-5-3
warming of intermediate-depth waters,thermal expansion of seawater,request-13-6-0
thermal expansion of seawater,increased pressure on methane hydrates,request-13-6-1
increased pressure on methane hydrates,dissociation of methane hydrates,request-13-6-2
dissociation of methane hydrates,release of methane,request-13-6-3
shutdown of energy production,reduced energy supply,request-14-0-0
reduced energy supply,increased energy prices,request-14-0-1
increased energy prices,higher production costs,request-14-0-2
higher production costs,increased consumer prices,request-14-0-3
increased consumer prices,inflation,request-14-0-4
shutdown of energy production,decreased industrial output,request-14-1-0
decreased industrial output,lower economic growth,request-14-1-1
lower economic growth,higher unemployment,request-14-1-2
higher unemployment,increased government debt,request-14-1-3
increased government debt,currency devaluation,request-14-1-4
currency devaluation,inflation,request-14-1-5
shutdown of energy production,energy scarcity,request-14-2-0
energy scarcity,increased transportation costs,request-14-2-1
increased transportation costs,higher cost of goods,request-14-2-2
higher cost of goods,inflation,request-14-2-3
shutdown of energy production,reduced energy exports,request-14-3-0
reduced energy exports,trade deficit,request-14-3-1
trade deficit,currency depreciation,request-14-3-2
currency depreciation,higher import prices,request-14-3-3
higher import prices,inflation,request-14-3-4
shutdown of energy production,increased production costs,request-14-4-0
increased production costs,reduced supply of goods,request-14-4-1
reduced supply of goods,demand-pull inflation,request-14-4-2
shutdown of energy production,businesses passing higher costs to consumers,request-14-5-0
businesses passing higher costs to consumers,higher consumer prices,request-14-5-1
higher consumer prices,inflation,request-14-5-2
shutdown of energy production,reliance on expensive alternative energy sources,request-14-6-0
reliance on expensive alternative energy sources,increased energy costs,request-14-6-1
increased energy costs,overall price level rises,request-14-6-2
overall price level rises,inflation,request-14-6-3
shutdown of energy production,reduced energy supply,request-15-0-0
reduced energy supply,decreased manufacturing output,request-15-0-1
decreased manufacturing output,shortages,request-15-0-2
shutdown of energy production,disruption of power-dependent infrastructure,request-15-1-0
disruption of power-dependent infrastructure,impaired distribution systems,request-15-1-1
impaired distribution systems,shortages,request-15-1-2
shutdown of energy production,increased energy costs,request-15-2-0
increased energy costs,higher production costs,request-15-2-1
higher production costs,reduced production levels,request-15-2-2
reduced production levels,shortages,request-15-2-3
shutdown of energy production,loss of power in storage facilities,request-15-3-0
loss of power in storage facilities,decreased inventory levels,request-15-3-1
decreased inventory levels,shortages,request-15-3-2
"**chain 1:**
shutdown of energy production",decrease in energy supply,request-16-0-0
decrease in energy supply,increase in energy prices,request-16-0-1
increase in energy prices,higher production costs,request-16-0-2
higher production costs,increased consumer prices,request-16-0-3
increased consumer prices,"inflation

**chain 2:**
shutdown of energy production",request-16-0-4
"inflation

**chain 2:**
shutdown of energy production",reduced industrial output,request-16-0-5
reduced industrial output,lower supply of goods,request-16-0-6
lower supply of goods,demand outpaces supply,request-16-0-7
demand outpaces supply,rising prices,request-16-0-8
rising prices,"inflation

**chain 3:**
shutdown of energy production",request-16-0-9
"inflation

**chain 3:**
shutdown of energy production",reduced energy exports,request-16-0-10
reduced energy exports,decrease in national revenue,request-16-0-11
decrease in national revenue,fiscal deficits,request-16-0-12
fiscal deficits,monetary expansion,request-16-0-13
monetary expansion,"inflation

**chain 4:**
shutdown of energy production",request-16-0-14
"inflation

**chain 4:**
shutdown of energy production",job losses in energy sector,request-16-0-15
job losses in energy sector,decreased consumer spending,request-16-0-16
decreased consumer spending,economic slowdown,request-16-0-17
economic slowdown,currency devaluation,request-16-0-18
currency devaluation,"inflation

**chain 5:**
shutdown of energy production",request-16-0-19
"inflation

**chain 5:**
shutdown of energy production",increased transportation costs,request-16-0-20
increased transportation costs,higher costs for businesses,request-16-0-21
higher costs for businesses,pass-through to consumer prices,request-16-0-22
pass-through to consumer prices,"inflation

**chain 6:**
shutdown of energy production",request-16-0-23
"inflation

**chain 6:**
shutdown of energy production",supply chain disruptions,request-16-0-24
supply chain disruptions,shortages of essential goods,request-16-0-25
shortages of essential goods,price increases,request-16-0-26
price increases,"inflation

**chain 7:**
shutdown of energy production",request-16-0-27
"inflation

**chain 7:**
shutdown of energy production",rise in alternative energy demand,request-16-0-28
rise in alternative energy demand,investment shortages in other sectors,request-16-0-29
investment shortages in other sectors,reduced economic productivity,request-16-0-30
reduced economic productivity,"inflation

**chain 8:**
shutdown of energy production",request-16-0-31
"inflation

**chain 8:**
shutdown of energy production",increased reliance on imports,request-16-0-32
increased reliance on imports,weaker trade balance,request-16-0-33
weaker trade balance,pressure on domestic currency,request-16-0-34
pressure on domestic currency,"inflation

**chain 9:**
shutdown of energy production",request-16-0-35
"inflation

**chain 9:**
shutdown of energy production",increased government spending to mitigate shutdown effects,request-16-0-36
increased government spending to mitigate shutdown effects,higher public debt,request-16-0-37
higher public debt,"inflationary pressure from debt financing

**chain 10:**
shutdown of energy production",request-16-0-38
"inflationary pressure from debt financing

**chain 10:**
shutdown of energy production",reduced tax revenues,request-16-0-39
reduced tax revenues,government borrowing,request-16-0-40
government borrowing,increased money supply,request-16-0-41
increased money supply,inflation,request-16-0-42
shutdown of energy production,decreased electricity supply,request-17-0-0
decreased electricity supply,reduced manufacturing output,request-17-0-1
reduced manufacturing output,product shortages,request-17-0-2
shutdown of energy production,increased energy costs,request-17-1-0
increased energy costs,higher production expenses,request-17-1-1
higher production expenses,limited goods production,request-17-1-2
limited goods production,shortages,request-17-1-3
shutdown of energy production,disrupted transportation systems,request-17-2-0
disrupted transportation systems,delayed distribution of goods,request-17-2-1
delayed distribution of goods,shortages,request-17-2-2
shutdown of energy production,impaired refrigeration systems,request-17-3-0
impaired refrigeration systems,food spoilage,request-17-3-1
food spoilage,food shortages,request-17-3-2
shutdown of energy production,reduced heating and cooling,request-17-4-0
reduced heating and cooling,lower operational efficiency,request-17-4-1
lower operational efficiency,shortages,request-17-4-2
russia's sanctions,reduced energy exports,request-18-0-0
reduced energy exports,increased energy prices,request-18-0-1
increased energy prices,inflation,request-18-0-2
russia's invasion of ukraine,disrupted global supply chains,request-18-1-0
disrupted global supply chains,scarcity of goods,request-18-1-1
scarcity of goods,inflation,request-18-1-2
russia's energy policies,higher oil prices,request-18-2-0
higher oil prices,increased production costs,request-18-2-1
increased production costs,inflation,request-18-2-2
russia's trade restrictions,decreased imports,request-18-3-0
decreased imports,higher import prices,request-18-3-1
higher import prices,inflation,request-18-3-2
russia's export restrictions on commodities,limited supply of raw materials,request-18-4-0
limited supply of raw materials,increased manufacturing costs,request-18-4-1
increased manufacturing costs,inflation,request-18-4-2
russia's geopolitical tensions,reduced foreign investment,request-18-5-0
reduced foreign investment,currency depreciation,request-18-5-1
currency depreciation,higher import costs,request-18-5-2
higher import costs,inflation,request-18-5-3
russia's currency manipulation,weaker ruble,request-18-6-0
weaker ruble,more expensive imports,request-18-6-1
more expensive imports,inflation,request-18-6-2
russia,imposition of sanctions,request-19-0-0
imposition of sanctions,reduction in exports,request-19-0-1
reduction in exports,decreased availability of essential goods,request-19-0-2
decreased availability of essential goods,shortages,request-19-0-3
russia,disruption of energy supplies,request-19-1-0
disruption of energy supplies,increased energy costs,request-19-1-1
increased energy costs,higher production costs for goods,request-19-1-2
higher production costs for goods,shortages,request-19-1-3
russia,restriction on raw material exports,request-19-2-0
restriction on raw material exports,decline in manufacturing output,request-19-2-1
decline in manufacturing output,limited consumer products,request-19-2-2
limited consumer products,shortages,request-19-2-3
russia,interruption of supply chains,request-19-3-0
interruption of supply chains,delays in goods distribution,request-19-3-1
delays in goods distribution,reduced market inventory,request-19-3-2
reduced market inventory,shortages,request-19-3-3
russia,economic instability,request-19-4-0
economic instability,decreased domestic production,request-19-4-1
decreased domestic production,lower availability of goods,request-19-4-2
lower availability of goods,shortages,request-19-4-3
united states policies,fiscal stimulus,request-20-0-0
fiscal stimulus,increased government spending,request-20-0-1
increased government spending,higher aggregate demand,request-20-0-2
higher aggregate demand,upward pressure on prices,request-20-0-3
upward pressure on prices,inflation,request-20-0-4
united states policies,tax cuts,request-20-1-0
tax cuts,increased disposable income,request-20-1-1
increased disposable income,higher consumer spending,request-20-1-2
higher consumer spending,increased demand for goods and services,request-20-1-3
increased demand for goods and services,rising prices,request-20-1-4
rising prices,inflation,request-20-1-5
united states policies,monetary expansion,request-20-2-0
monetary expansion,increased money supply,request-20-2-1
increased money supply,lower interest rates,request-20-2-2
lower interest rates,enhanced borrowing and spending,request-20-2-3
enhanced borrowing and spending,higher demand outpacing supply,request-20-2-4
higher demand outpacing supply,inflation,request-20-2-5
united states policies,trade tariffs,request-20-3-0
trade tariffs,increased import costs,request-20-3-1
increased import costs,higher production costs for businesses,request-20-3-2
higher production costs for businesses,price increases for goods and services,request-20-3-3
price increases for goods and services,inflation,request-20-3-4
united states policies,deregulation,request-20-4-0
deregulation,increased business investment,request-20-4-1
increased business investment,higher demand for labor and resources,request-20-4-2
higher demand for labor and resources,upward pressure on wages and prices,request-20-4-3
upward pressure on wages and prices,inflation,request-20-4-4
united states policies,trade restrictions,request-21-0-0
trade restrictions,decreased imports,request-21-0-1
decreased imports,supply reduction,request-21-0-2
supply reduction,shortages,request-21-0-3
united states policies,regulatory changes,request-21-1-0
regulatory changes,increased production costs,request-21-1-1
increased production costs,reduced manufacturing,request-21-1-2
reduced manufacturing,shortages,request-21-1-3
united states policies,fiscal policies,request-21-2-0
fiscal policies,reduced government spending,request-21-2-1
reduced government spending,economic slowdown,request-21-2-2
economic slowdown,shortages,request-21-2-3
united states policies,environmental regulations,request-21-3-0
environmental regulations,limited resource extraction,request-21-3-1
limited resource extraction,reduced supply,request-21-3-2
reduced supply,shortages,request-21-3-3
united states policies,monetary policies,request-21-4-0
monetary policies,inflation increase,request-21-4-1
inflation increase,decreased purchasing power,request-21-4-2
decreased purchasing power,shortages,request-21-4-3
democratic party of the united states,enactment of stimulus packages,request-22-0-0
enactment of stimulus packages,increased government spending,request-22-0-1
increased government spending,higher aggregate demand,request-22-0-2
higher aggregate demand,inflation,request-22-0-3
democratic party of the united states,implementation of increased minimum wage laws,request-22-1-0
implementation of increased minimum wage laws,increased labor costs,request-22-1-1
increased labor costs,higher prices for goods and services,request-22-1-2
higher prices for goods and services,inflation,request-22-1-3
democratic party of the united states,support for expansive fiscal policies,request-22-2-0
support for expansive fiscal policies,budget deficits,request-22-2-1
budget deficits,increased borrowing costs,request-22-2-2
increased borrowing costs,inflation,request-22-2-3
democratic party of the united states,introduction of environmental regulations,request-22-3-0
introduction of environmental regulations,increased production costs,request-22-3-1
increased production costs,higher consumer prices,request-22-3-2
higher consumer prices,inflation,request-22-3-3
democratic party of the united states,expansion of social welfare programs,request-22-4-0
expansion of social welfare programs,greater demand for goods and services,request-22-4-1
greater demand for goods and services,supply shortages,request-22-4-2
supply shortages,inflation,request-22-4-3
people from balochistan,use of fossil fuels for energy,request-23-0-0
use of fossil fuels for energy,emission of greenhouse gases,request-23-0-1
emission of greenhouse gases,climate change,request-23-0-2
people from balochistan,deforestation practices,request-23-1-0
deforestation practices,reduction in carbon sequestration,request-23-1-1
reduction in carbon sequestration,climate change,request-23-1-2
people from balochistan,expansion of industrial activities,request-23-2-0
expansion of industrial activities,industrial emissions,request-23-2-1
industrial emissions,climate change,request-23-2-2
people from balochistan,overgrazing livestock,request-23-3-0
overgrazing livestock,soil degradation,request-23-3-1
soil degradation,climate change,request-23-3-2
people from balochistan,increased agricultural practices,request-23-4-0
increased agricultural practices,methane emissions,request-23-4-1
methane emissions,climate change,request-23-4-2
rich countries,high energy consumption,request-24-0-0
high energy consumption,burning fossil fuels,request-24-0-1
burning fossil fuels,greenhouse gas emissions,request-24-0-2
greenhouse gas emissions,increased atmospheric co₂,request-24-0-3
increased atmospheric co₂,global warming,request-24-0-4
global warming,climate change,request-24-0-5
rich countries,industrialization,request-24-1-0
industrialization,deforestation,request-24-1-1
deforestation,reduced carbon sequestration,request-24-1-2
reduced carbon sequestration,higher atmospheric co₂,request-24-1-3
higher atmospheric co₂,climate change,request-24-1-4
rich countries,transportation expansion,request-24-2-0
transportation expansion,vehicle emissions,request-24-2-1
vehicle emissions,air pollution,request-24-2-2
air pollution,enhanced greenhouse effect,request-24-2-3
enhanced greenhouse effect,climate change,request-24-2-4
rich countries,agricultural practices,request-24-3-0
agricultural practices,methane emissions,request-24-3-1
methane emissions,greenhouse gas increase,request-24-3-2
greenhouse gas increase,climate change,request-24-3-3
rich countries,manufacturing processes,request-24-4-0
manufacturing processes,release of pollutants,request-24-4-1
release of pollutants,atmospheric degradation,request-24-4-2
atmospheric degradation,climate change,request-24-4-3
rich countries,consumption patterns,request-24-5-0
consumption patterns,waste generation,request-24-5-1
waste generation,landfill methane release,request-24-5-2
landfill methane release,climate change,request-24-5-3
rich countries,technological development,request-24-6-0
technological development,increased resource extraction,request-24-6-1
increased resource extraction,environmental degradation,request-24-6-2
environmental degradation,climate change,request-24-6-3
rich countries,economic growth,request-24-7-0
economic growth,increased energy demand,request-24-7-1
increased energy demand,fossil fuel dependency,request-24-7-2
fossil fuel dependency,climate change,request-24-7-3
climate change,rising sea levels,request-25-0-0
rising sea levels,flooding of coastal areas,request-25-0-1
flooding of coastal areas,displacement of communities,request-25-0-2
displacement of communities,impacts on poor regions,request-25-0-3
climate change,increased frequency of extreme weather events,request-25-1-0
increased frequency of extreme weather events,damage to infrastructure,request-25-1-1
damage to infrastructure,economic losses,request-25-1-2
economic losses,impacts on poor regions,request-25-1-3
climate change,altered agricultural patterns,request-25-2-0
altered agricultural patterns,reduced crop yields,request-25-2-1
reduced crop yields,food insecurity,request-25-2-2
food insecurity,impacts on poor regions,request-25-2-3
climate change,increased temperatures,request-25-3-0
increased temperatures,water scarcity,request-25-3-1
water scarcity,health problems,request-25-3-2
