cause,effect,custom_id
industrialization,deforestation,request-4-0-1
deforestation,habitat destruction,request-4-0-2
habitat destruction,degradation of nature,request-4-0-3
business,resource extraction,request-4-1-0
resource extraction,environmental pollution,request-4-1-1
environmental pollution,ecosystem disruption,request-4-1-2
ecosystem disruption,degradation of nature,request-4-1-3
business,factory construction,request-4-2-0
factory construction,industrial waste production,request-4-2-1
industrial waste production,water pollution,request-4-2-2
water pollution,degradation of nature,request-4-2-3
business,overconsumption of resources,request-4-3-0
overconsumption of resources,unsustainable practices,request-4-3-1
unsustainable practices,climate change,request-4-3-2
climate change,degradation of nature,request-4-3-3
business,chemical usage,request-4-4-0
chemical usage,soil contamination,request-4-4-1
soil contamination,loss of biodiversity,request-4-4-2
loss of biodiversity,degradation of nature,request-4-4-3
business,land acquisition,request-4-5-0
land acquisition,displacement of wildlife,request-4-5-1
displacement of wildlife,ecosystem imbalance,request-4-5-2
ecosystem imbalance,degradation of nature,request-4-5-3
business,energy production,request-4-6-0
energy production,greenhouse gas emissions,request-4-6-1
greenhouse gas emissions,global warming,request-4-6-2
global warming,degradation of nature,request-4-6-3
heat from gas emissions absorbed by oceans,increase in ocean temperature,request-5-0-0
increase in ocean temperature,thermal expansion of ocean water,request-5-0-1
thermal expansion of ocean water,increase in ocean stratification,request-5-0-2
increase in ocean stratification,slowing of ocean vertical mixing,request-5-0-3
heat from gas emissions absorbed by oceans,increase in ocean temperature,request-5-1-0
increase in ocean temperature,changes in ocean density,request-5-1-1
changes in ocean density,increase in ocean stratification,request-5-1-2
increase in ocean stratification,slowing of ocean vertical mixing,request-5-1-3
heat from gas emissions absorbed by oceans,increase in ocean temperature,request-5-2-0
increase in ocean temperature,alteration of ocean circulation patterns,request-5-2-1
alteration of ocean circulation patterns,weakening of ocean overturning circulation,request-5-2-2
weakening of ocean overturning circulation,slowing of ocean vertical mixing,request-5-2-3
heat from gas emissions absorbed by oceans,increase in ocean temperature,request-5-3-0
increase in ocean temperature,changes in ocean buoyancy,request-5-3-1
changes in ocean buoyancy,increase in ocean stratification,request-5-3-2
increase in ocean stratification,slowing of ocean vertical mixing,request-5-3-3
slowing of ocean vertical mixing,,request-5-3-4
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-0-0
increased ocean temperature,thermal expansion of ocean water,request-6-0-1
thermal expansion of ocean water,reduced ocean oxygen solubility,request-6-0-2
reduced ocean oxygen solubility,ocean deoxygenation,request-6-0-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-1-0
increased ocean temperature,changes in ocean circulation patterns,request-6-1-1
changes in ocean circulation patterns,reduced ocean oxygen transport,request-6-1-2
reduced ocean oxygen transport,ocean deoxygenation,request-6-1-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-2-0
increased ocean temperature,enhanced microbial respiration,request-6-2-1
enhanced microbial respiration,increased oxygen consumption,request-6-2-2
increased oxygen consumption,ocean deoxygenation,request-6-2-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-3-0
increased ocean temperature,shifts in marine ecosystem composition,request-6-3-1
shifts in marine ecosystem composition,changes in oxygenproducing phytoplankton,request-6-3-2
changes in oxygenproducing phytoplankton,ocean deoxygenation,request-6-3-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-4-0
increased ocean temperature,increased stratification of ocean waters,request-6-4-1
increased stratification of ocean waters,reduced mixing of oxygenrich surface waters,request-6-4-2
reduced mixing of oxygenrich surface waters,ocean deoxygenation,request-6-4-3
fossil fuel co2 emissions,atmospheric co2 increase,request-7-0-0
atmospheric co2 increase,ocean co2 absorption,request-7-0-1
ocean co2 absorption,ocean acidification,request-7-0-2
fossil fuel co2 emissions,atmospheric co2 increase,request-7-1-0
atmospheric co2 increase,ocean carbonate chemistry disruption,request-7-1-1
ocean carbonate chemistry disruption,ocean acidification,request-7-1-2
fossil fuel co2 emissions,atmospheric co2 increase,request-7-2-0
atmospheric co2 increase,ocean ph decrease,request-7-2-1
ocean ph decrease,ocean acidification,request-7-2-2
fossil fuel co2 emissions,atmospheric co2 increase,request-7-3-0
atmospheric co2 increase,seawater chemistry change,request-7-3-1
seawater chemistry change,ocean acidification,request-7-3-2
fossil fuel co2 emissions,atmospheric co2 increase,request-7-4-0
atmospheric co2 increase,increased hydrogen ion concentration,request-7-4-1
increased hydrogen ion concentration,ocean acidification,request-7-4-2
melting of glaciers,increased freshwater input into the ocean,request-8-0-0
increased freshwater input into the ocean,changes in ocean salinity and density,request-8-0-1
changes in ocean salinity and density,disruption of ocean currents at intermediate depths,request-8-0-2
melting of glaciers,rise in sea level,request-8-1-0
rise in sea level,increased ocean volume and pressure,request-8-1-1
increased ocean volume and pressure,changes in ocean circulation patterns,request-8-1-2
changes in ocean circulation patterns,disruption of ocean currents at intermediate depths,request-8-1-3
melting of glaciers,increased freshwater input into the ocean,request-8-2-0
increased freshwater input into the ocean,changes in ocean temperature and stratification,request-8-2-1
changes in ocean temperature and stratification,alterations in ocean circulation patterns,request-8-2-2
alterations in ocean circulation patterns,disruption of ocean currents at intermediate depths,request-8-2-3
melting of glaciers,shift in global weather patterns,request-8-3-0
shift in global weather patterns,changes in wind patterns and oceanatmosphere interactions,request-8-3-1
changes in wind patterns and oceanatmosphere interactions,alterations in ocean circulation patterns,request-8-3-2
alterations in ocean circulation patterns,disruption of ocean currents at intermediate depths,request-8-3-3
melting of glaciers,freshwater influx into the ocean,request-9-0-0
freshwater influx into the ocean,changes in ocean salinity,request-9-0-1
changes in ocean salinity,disruption of ocean temperature at intermediate depths,request-9-0-2
melting of glaciers,increased freshwater flow into the ocean,request-9-1-0
increased freshwater flow into the ocean,alteration of ocean currents,request-9-1-1
alteration of ocean currents,disruption of ocean temperature at intermediate depths,request-9-1-2
melting of glaciers,rise in sea level,request-9-2-0
rise in sea level,increased pressure on ocean floor,request-9-2-1
increased pressure on ocean floor,disruption of ocean temperature at intermediate depths,request-9-2-2
melting of glaciers,changes in ocean chemistry,request-9-3-0
changes in ocean chemistry,impact on marine ecosystems,request-9-3-1
impact on marine ecosystems,disruption of ocean temperature at intermediate depths,request-9-3-2
melting of glaciers,altered ocean circulation patterns,request-9-4-0
altered ocean circulation patterns,changes in heat transfer,request-9-4-1
changes in heat transfer,disruption of ocean temperature at intermediate depths,request-9-4-2
climate change,rise in global temperature,request-10-0-0
rise in global temperature,increase in atmospheric heat,request-10-0-1
increase in atmospheric heat,melting of glaciers,request-10-0-2
climate change,increase in greenhouse gases,request-10-1-0
increase in greenhouse gases,trapping of heat in atmosphere,request-10-1-1
trapping of heat in atmosphere,rise in global temperature,request-10-1-2
rise in global temperature,melting of glaciers,request-10-1-3
climate change,shift in global weather patterns,request-10-2-0
shift in global weather patterns,changes in ocean currents,request-10-2-1
changes in ocean currents,rise in sea surface temperature,request-10-2-2
rise in sea surface temperature,melting of glaciers,request-10-2-3
climate change,increase in human activities,request-10-3-0
increase in human activities,release of pollutants into atmosphere,request-10-3-1
release of pollutants into atmosphere,formation of acid rain,request-10-3-2
formation of acid rain,weakening of glacial ice,request-10-3-3
weakening of glacial ice,melting of glaciers,request-10-3-4
climate change,disruption of natural carbon cycle,request-10-4-0
disruption of natural carbon cycle,excess carbon dioxide in atmosphere,request-10-4-1
excess carbon dioxide in atmosphere,trapping of heat in atmosphere,request-10-4-2
trapping of heat in atmosphere,rise in global temperature,request-10-4-3
rise in global temperature,melting of glaciers,request-10-4-4
meltwaterinduced weakening of ocean circulation,reduced heat transport to high latitudes,request-11-0-0
reduced heat transport to high latitudes,increased heat retention in low latitudes,request-11-0-1
increased heat retention in low latitudes,warmer surface waters,request-11-0-2
warmer surface waters,increased heat flux to intermediatedepth waters,request-11-0-3
increased heat flux to intermediatedepth waters,warming of intermediatedepth waters,request-11-0-4
meltwaterinduced weakening of ocean circulation,slowed down ocean currents,request-11-1-0
slowed down ocean currents,decreased upwelling of cold deep waters,request-11-1-1
decreased upwelling of cold deep waters,increased stratification of ocean layers,request-11-1-2
increased stratification of ocean layers,trapped heat in intermediatedepth waters,request-11-1-3
trapped heat in intermediatedepth waters,warming of intermediatedepth waters,request-11-1-4
meltwaterinduced weakening of ocean circulation,changes in ocean mixing patterns,request-11-2-0
changes in ocean mixing patterns,increased vertical heat transfer,request-11-2-1
increased vertical heat transfer,warmer intermediatedepth waters,request-11-2-2
warmer intermediatedepth waters,warming of intermediatedepth waters,request-11-2-3
meltwaterinduced weakening of ocean circulation,shift in ocean gyre circulation,request-11-3-0
shift in ocean gyre circulation,altered ocean heat transport pathways,request-11-3-1
altered ocean heat transport pathways,increased heat input to intermediatedepth waters,request-11-3-2
increased heat input to intermediatedepth waters,warming of intermediatedepth waters,request-11-3-3
warming of intermediatedepth waters,increase in ocean temperature,request-12-0-0
increase in ocean temperature,thermal expansion of seawater,request-12-0-1
thermal expansion of seawater,rise in sea level,request-12-0-2
rise in sea level,increased pressure on seafloor sediments,request-12-0-3
increased pressure on seafloor sediments,destabilization of shallow subsurface methane hydrates,request-12-0-4
warming of intermediatedepth waters,changes in ocean circulation patterns,request-12-1-0
changes in ocean circulation patterns,redistribution of heat around the ocean,request-12-1-1
redistribution of heat around the ocean,warm water intrusion into shallow subsurface areas,request-12-1-2
warm water intrusion into shallow subsurface areas,increase in temperature of shallow subsurface sediments,request-12-1-3
increase in temperature of shallow subsurface sediments,destabilization of shallow subsurface methane hydrates,request-12-1-4
warming of intermediatedepth waters,release of methane from deepsea sediments,request-12-2-0
release of methane from deepsea sediments,increase in methane concentration in seawater,request-12-2-1
increase in methane concentration in seawater,changes in seawater chemistry,request-12-2-2
changes in seawater chemistry,alteration of seafloor sediment stability,request-12-2-3
alteration of seafloor sediment stability,destabilization of shallow subsurface methane hydrates,request-12-2-4
warming of intermediatedepth waters,changes in ocean chemistry,request-12-3-0
changes in ocean chemistry,decrease in ph levels,request-12-3-1
decrease in ph levels,weakening of methane hydrate structures,request-12-3-2
weakening of methane hydrate structures,destabilization of shallow subsurface methane hydrates,request-12-3-3
destabilization of shallow subsurface methane hydrates,,request-12-3-4
warming of intermediatedepth waters,thawing of methane hydrates,request-13-0-0
thawing of methane hydrates,release of methane,request-13-0-1
warming of intermediatedepth waters,increase in microbial activity,request-13-1-0
increase in microbial activity,breakdown of organic matter,request-13-1-1
breakdown of organic matter,production of methane,request-13-1-2
production of methane,release of methane,request-13-1-3
warming of intermediatedepth waters,changes in ocean circulation patterns,request-13-2-0
changes in ocean circulation patterns,upwelling of methanerich sediments,request-13-2-1
upwelling of methanerich sediments,release of methane,request-13-2-2
warming of intermediatedepth waters,melting of arctic ice sheets,request-13-3-0
melting of arctic ice sheets,exposure of methanerich permafrost,request-13-3-1
exposure of methanerich permafrost,thawing of methane hydrates,request-13-3-2
thawing of methane hydrates,release of methane,request-13-3-3
warming of intermediatedepth waters,increase in ocean temperatures,request-13-4-0
increase in ocean temperatures,expansion of ocean water,request-13-4-1
expansion of ocean water,reduction in ocean pressure,request-13-4-2
reduction in ocean pressure,release of methane from seafloor sediments,request-13-4-3
shutdown of energy production,shortage of energy supply,request-14-0-0
shortage of energy supply,disruption of industrial production,request-14-0-1
disruption of industrial production,scarcity of goods and services,request-14-0-2
scarcity of goods and services,increased demand and prices,request-14-0-3
increased demand and prices,inflation,request-14-0-4
shutdown of energy production,reduced economic output,request-14-1-0
reduced economic output,decreased gdp,request-14-1-1
decreased gdp,increased unemployment,request-14-1-2
increased unemployment,reduced purchasing power,request-14-1-3
reduced purchasing power,increased prices,request-14-1-4
increased prices,inflation,request-14-1-5
shutdown of energy production,increased energy costs,request-14-2-0
increased energy costs,higher production costs,request-14-2-1
higher production costs,increased prices of goods and services,request-14-2-2
increased prices of goods and services,reduced consumer spending,request-14-2-3
reduced consumer spending,increased prices,request-14-2-4
increased prices,inflation,request-14-2-5
shutdown of energy production,disruption of supply chain,request-14-3-0
disruption of supply chain,delayed delivery of goods,request-14-3-1
delayed delivery of goods,increased transportation costs,request-14-3-2
increased transportation costs,higher prices of goods and services,request-14-3-3
higher prices of goods and services,inflation,request-14-3-4
shutdown of energy production,reduced availability of raw materials,request-14-4-0
reduced availability of raw materials,increased cost of raw materials,request-14-4-1
increased cost of raw materials,higher production costs,request-14-4-2
higher production costs,increased prices of goods and services,request-14-4-3
increased prices of goods and services,inflation,request-14-4-4
shutdown of energy production,reduced energy supply,request-15-0-0
reduced energy supply,increased energy demand,request-15-0-1
increased energy demand,price surge,request-15-0-2
price surge,shortages,request-15-0-3
shutdown of energy production,disruption of industrial operations,request-15-1-0
disruption of industrial operations,reduced manufacturing output,request-15-1-1
reduced manufacturing output,supply chain disruptions,request-15-1-2
supply chain disruptions,shortages,request-15-1-3
shutdown of energy production,blackouts,request-15-2-0
blackouts,disruption of transportation systems,request-15-2-1
disruption of transportation systems,delays in delivery of goods,request-15-2-2
delays in delivery of goods,shortages,request-15-2-3
shutdown of energy production,loss of refrigeration,request-15-3-0
loss of refrigeration,spoilage of perishable goods,request-15-3-1
spoilage of perishable goods,reduced inventory,request-15-3-2
reduced inventory,shortages,request-15-3-3
shutdown of energy production,closure of businesses,request-15-4-0
closure of businesses,reduced economic activity,request-15-4-1
reduced economic activity,decreased availability of goods,request-15-4-2
decreased availability of goods,shortages,request-15-4-3
shutdown of energy production,shortage of energy supply,request-16-0-0
shortage of energy supply,disruption of industrial production,request-16-0-1
disruption of industrial production,scarcity of goods and services,request-16-0-2
scarcity of goods and services,increased demand and prices,request-16-0-3
increased demand and prices,inflation,request-16-0-4
shutdown of energy production,reduction in economic output,request-16-1-0
reduction in economic output,decrease in gdp,request-16-1-1
decrease in gdp,increased cost of living,request-16-1-2
increased cost of living,higher prices for goods and services,request-16-1-3
higher prices for goods and services,inflation,request-16-1-4
shutdown of energy production,increased energy import costs,request-16-2-0
increased energy import costs,higher production costs for businesses,request-16-2-1
higher production costs for businesses,increased prices for goods and services,request-16-2-2
increased prices for goods and services,reduced purchasing power,request-16-2-3
reduced purchasing power,inflation,request-16-2-4
shutdown of energy production,loss of jobs in energy sector,request-16-3-0
loss of jobs in energy sector,reduced consumer spending,request-16-3-1
reduced consumer spending,decreased economic activity,request-16-3-2
decreased economic activity,increased prices for goods and services,request-16-3-3
increased prices for goods and services,inflation,request-16-3-4
shutdown of energy production,disruption of transportation systems,request-16-4-0
disruption of transportation systems,delayed delivery of goods,request-16-4-1
delayed delivery of goods,shortage of essential goods,request-16-4-2
shortage of essential goods,price increases for essential goods,request-16-4-3
price increases for essential goods,inflation,request-16-4-4
shutdown of energy production,reduced energy supply,request-17-0-0
reduced energy supply,increased energy demand,request-17-0-1
increased energy demand,price surge,request-17-0-2
price surge,shortages,request-17-0-3
shutdown of energy production,disruption of industrial operations,request-17-1-0
disruption of industrial operations,reduced manufacturing output,request-17-1-1
reduced manufacturing output,supply chain disruptions,request-17-1-2
supply chain disruptions,shortages,request-17-1-3
shutdown of energy production,loss of power for transportation,request-17-2-0
loss of power for transportation,disruption of transportation systems,request-17-2-1
disruption of transportation systems,delays in delivery of goods,request-17-2-2
delays in delivery of goods,shortages,request-17-2-3
shutdown of energy production,reduced water treatment capacity,request-17-3-0
reduced water treatment capacity,water scarcity,request-17-3-1
water scarcity,shortages of essential goods,request-17-3-2
shortages of essential goods,shortages,request-17-3-3
shutdown of energy production,communication disruptions,request-17-4-0
communication disruptions,disruption of emergency services,request-17-4-1
disruption of emergency services,increased demand for essential goods,request-17-4-2
increased demand for essential goods,shortages,request-17-4-3
russia,sanctions,request-18-0-0
sanctions,economic downturn,request-18-0-1
economic downturn,reduced production,request-18-0-2
reduced production,shortages,request-18-0-3
shortages,price increases,request-18-0-4
price increases,inflation,request-18-0-5
russia,oil export reduction,request-18-1-0
oil export reduction,global oil price increase,request-18-1-1
global oil price increase,increased production costs,request-18-1-2
increased production costs,higher prices for goods,request-18-1-3
higher prices for goods,inflation,request-18-1-4
russia,military conflict,request-18-2-0
military conflict,disruption of global supply chains,request-18-2-1
disruption of global supply chains,shortages of essential goods,request-18-2-2
shortages of essential goods,price increases,request-18-2-3
price increases,inflation,request-18-2-4
russia,currency devaluation,request-18-3-0
currency devaluation,increased import costs,request-18-3-1
increased import costs,higher prices for goods,request-18-3-2
higher prices for goods,inflation,request-18-3-3
russia,trade war,request-18-4-0
trade war,tariffs on imports,request-18-4-1
tariffs on imports,increased costs for businesses,request-18-4-2
increased costs for businesses,higher prices for goods,request-18-4-3
higher prices for goods,inflation,request-18-4-4
inflation,,request-18-4-5
russia,economic sanctions,request-19-0-0
economic sanctions,reduced trade,request-19-0-1
reduced trade,shortages,request-19-0-2
russia,invasion of ukraine,request-19-1-0
invasion of ukraine,international condemnation,request-19-1-1
international condemnation,economic sanctions,request-19-1-2
economic sanctions,reduced trade,request-19-1-3
reduced trade,shortages,request-19-1-4
russia,oil embargo,request-19-2-0
oil embargo,increased energy costs,request-19-2-1
increased energy costs,inflation,request-19-2-2
inflation,reduced consumer spending,request-19-2-3
reduced consumer spending,shortages,request-19-2-4
russia,cyber attacks,request-19-3-0
cyber attacks,disrupted supply chains,request-19-3-1
disrupted supply chains,delayed deliveries,request-19-3-2
delayed deliveries,shortages,request-19-3-3
russia,political unrest,request-19-4-0
political unrest,social unrest,request-19-4-1
social unrest,labor strikes,request-19-4-2
labor strikes,disrupted production,request-19-4-3
disrupted production,shortages,request-19-4-4
russia,military aggression,request-19-5-0
military aggression,refugee crisis,request-19-5-1
refugee crisis,overwhelmed infrastructure,request-19-5-2
overwhelmed infrastructure,shortages,request-19-5-3
united states policies,increased government spending,request-20-0-0
increased government spending,higher demand for goods and services,request-20-0-1
higher demand for goods and services,increased production costs,request-20-0-2
increased production costs,inflation,request-20-0-3
united states policies,tax cuts,request-20-1-0
tax cuts,increased consumer spending,request-20-1-1
increased consumer spending,higher demand for goods and services,request-20-1-2
higher demand for goods and services,increased production costs,request-20-1-3
increased production costs,inflation,request-20-1-4
united states policies,monetary policy easing,request-20-2-0
monetary policy easing,lower interest rates,request-20-2-1
lower interest rates,increased borrowing and spending,request-20-2-2
increased borrowing and spending,higher demand for goods and services,request-20-2-3
higher demand for goods and services,increased production costs,request-20-2-4
increased production costs,inflation,request-20-2-5
united states policies,trade wars and tariffs,request-20-3-0
trade wars and tariffs,increased import costs,request-20-3-1
increased import costs,higher production costs,request-20-3-2
higher production costs,inflation,request-20-3-3
united states policies,fiscal stimulus packages,request-20-4-0
fiscal stimulus packages,increased government expenditure,request-20-4-1
increased government expenditure,higher demand for goods and services,request-20-4-2
higher demand for goods and services,increased production costs,request-20-4-3
increased production costs,inflation,request-20-4-4
united states policies,deregulation,request-20-5-0
deregulation,increased economic activity,request-20-5-1
increased economic activity,higher demand for goods and services,request-20-5-2
higher demand for goods and services,increased production costs,request-20-5-3
increased production costs,inflation,request-20-5-4
united states policies,labor market regulations,request-20-6-0
labor market regulations,increased labor costs,request-20-6-1
increased labor costs,higher production costs,request-20-6-2
higher production costs,inflation,request-20-6-3
united states policies,energy policy,request-20-7-0
energy policy,increased energy costs,request-20-7-1
increased energy costs,higher production costs,request-20-7-2
higher production costs,inflation,request-20-7-3
united states policies,trade restrictions,request-21-0-0
trade restrictions,reduced imports,request-21-0-1
reduced imports,shortages,request-21-0-2
united states policies,tariffs imposed,request-21-1-0
tariffs imposed,increased production costs,request-21-1-1
increased production costs,reduced supply,request-21-1-2
reduced supply,shortages,request-21-1-3
united states policies,regulatory changes,request-21-2-0
regulatory changes,industry disruption,request-21-2-1
industry disruption,supply chain disruptions,request-21-2-2
supply chain disruptions,shortages,request-21-2-3
united states policies,fiscal policies,request-21-3-0
fiscal policies,economic downturn,request-21-3-1
economic downturn,reduced demand,request-21-3-2
reduced demand,overproduction,request-21-3-3
overproduction,shortages,request-21-3-4
united states policies,environmental regulations,request-21-4-0
environmental regulations,increased operating costs,request-21-4-1
increased operating costs,business closures,request-21-4-2
business closures,shortages,request-21-4-3
united states policies,labor laws,request-21-5-0
labor laws,workforce reductions,request-21-5-1
workforce reductions,production delays,request-21-5-2
production delays,shortages,request-21-5-3
democratic party of the united states,increase in government spending,request-22-0-0
increase in government spending,expansion of monetary policy,request-22-0-1
expansion of monetary policy,increase in money supply,request-22-0-2
increase in money supply,inflation,request-22-0-3
democratic party of the united states,implementation of progressive economic policies,request-22-1-0
implementation of progressive economic policies,increase in minimum wage,request-22-1-1
increase in minimum wage,increase in labor costs,request-22-1-2
increase in labor costs,increase in prices,request-22-1-3
increase in prices,inflation,request-22-1-4
democratic party of the united states,passage of stimulus packages,request-22-2-0
passage of stimulus packages,injection of liquidity into the economy,request-22-2-1
injection of liquidity into the economy,boost in aggregate demand,request-22-2-2
boost in aggregate demand,increase in prices,request-22-2-3
increase in prices,inflation,request-22-2-4
democratic party of the united states,regulatory policies favoring labor unions,request-22-3-0
regulatory policies favoring labor unions,increase in union bargaining power,request-22-3-1
increase in union bargaining power,increase in wages,request-22-3-2
increase in wages,increase in production costs,request-22-3-3
increase in production costs,inflation,request-22-3-4
democratic party of the united states,increase in government borrowing,request-22-4-0
increase in government borrowing,increase in national debt,request-22-4-1
increase in national debt,monetary policy accommodation,request-22-4-2
monetary policy accommodation,increase in money supply,request-22-4-3
increase in money supply,inflation,request-22-4-4
democratic party of the united states,expansion of social welfare programs,request-22-5-0
expansion of social welfare programs,increase in government expenditures,request-22-5-1
increase in government expenditures,increase in fiscal deficit,request-22-5-2
increase in fiscal deficit,monetary policy accommodation,request-22-5-3
monetary policy accommodation,inflation,request-22-5-4
people from balochistan,migration to urban areas,request-23-0-0
migration to urban areas,increased energy consumption,request-23-0-1
increased energy consumption,greenhouse gas emissions,request-23-0-2
greenhouse gas emissions,climate change,request-23-0-3
people from balochistan,deforestation for agriculture,request-23-1-0
deforestation for agriculture,loss of carbon sequestration,request-23-1-1
loss of carbon sequestration,increased co2 levels,request-23-1-2
increased co2 levels,climate change,request-23-1-3
people from balochistan,overgrazing,request-23-2-0
overgrazing,land degradation,request-23-2-1
land degradation,increased desertification,request-23-2-2
increased desertification,climate change,request-23-2-3
people from balochistan,unregulated industrial activities,request-23-3-0
unregulated industrial activities,air pollution,request-23-3-1
air pollution,ozone layer depletion,request-23-3-2
ozone layer depletion,climate change,request-23-3-3
people from balochistan,population growth,request-23-4-0
population growth,increased resource consumption,request-23-4-1
increased resource consumption,environmental degradation,request-23-4-2
environmental degradation,climate change,request-23-4-3
people from balochistan,traditional farming practices,request-23-5-0
traditional farming practices,soil erosion,request-23-5-1
soil erosion,decreased agricultural productivity,request-23-5-2
decreased agricultural productivity,increased use of synthetic fertilizers,request-23-5-3
increased use of synthetic fertilizers,nitrous oxide emissions,request-23-5-4
nitrous oxide emissions,climate change,request-23-5-5
people from balochistan,water scarcity,request-23-6-0
water scarcity,increased use of fossil fuels for water pumping,request-23-6-1
increased use of fossil fuels for water pumping,greenhouse gas emissions,request-23-6-2
greenhouse gas emissions,climate change,request-23-6-3
people from balochistan,livestock farming,request-23-7-0
livestock farming,methane emissions from livestock,request-23-7-1
methane emissions from livestock,climate change,request-23-7-2
rich countries,high levels of industrialization,request-24-0-0
high levels of industrialization,increased greenhouse gas emissions,request-24-0-1
increased greenhouse gas emissions,global warming,request-24-0-2
global warming,climate change,request-24-0-3
rich countries,high consumption of fossil fuels,request-24-1-0
high consumption of fossil fuels,rise in carbon dioxide levels,request-24-1-1
rise in carbon dioxide levels,global warming,request-24-1-2
global warming,climate change,request-24-1-3
rich countries,deforestation for urbanization and agriculture,request-24-2-0
deforestation for urbanization and agriculture,loss of carbon sinks,request-24-2-1
loss of carbon sinks,increased greenhouse gas emissions,request-24-2-2
increased greenhouse gas emissions,global warming,request-24-2-3
global warming,climate change,request-24-2-4
rich countries,high demand for meat and dairy products,request-24-3-0
high demand for meat and dairy products,increased livestock farming,request-24-3-1
increased livestock farming,methane emissions,request-24-3-2
