cause,effect,custom_id
increased energy demand,fossil fuel consumption,request-2-0-2
fossil fuel consumption,greenhouse gas emissions,request-2-0-3
greenhouse gas emissions,climate change,request-2-0-4
business,deforestation,request-2-1-0
deforestation,loss of carbon sinks,request-2-1-1
loss of carbon sinks,increased atmospheric co2,request-2-1-2
increased atmospheric co2,climate change,request-2-1-3
business,urbanization,request-2-2-0
urbanization,infrastructure development,request-2-2-1
infrastructure development,landuse changes,request-2-2-2
landuse changes,altered local climates,request-2-2-3
altered local climates,climate change,request-2-2-4
business,consumerism,request-2-3-0
consumerism,increased production,request-2-3-1
increased production,resource extraction,request-2-3-2
resource extraction,environmental degradation,request-2-3-3
environmental degradation,climate change,request-2-3-4
business,transportation,request-2-4-0
transportation,emissions from vehicles,request-2-4-1
emissions from vehicles,air pollution,request-2-4-2
air pollution,climate change,request-2-4-3
business,agriculture,request-2-5-0
agriculture,livestock farming,request-2-5-1
livestock farming,methane emissions,request-2-5-2
methane emissions,climate change,request-2-5-3
business,manufacturing,request-2-6-0
manufacturing,industrial processes,request-2-6-1
industrial processes,emissions of fluorinated gases,request-2-6-2
emissions of fluorinated gases,climate change,request-2-6-3
business,waste generation,request-2-7-0
waste generation,landfill emissions,request-2-7-1
landfill emissions,methane release,request-2-7-2
methane release,climate change,request-2-7-3
business,global trade,request-2-8-0
global trade,increased shipping,request-2-8-1
increased shipping,maritime emissions,request-2-8-2
maritime emissions,climate change,request-2-8-3
business,digitalization,request-2-9-0
digitalization,energyintensive data centers,request-2-9-1
energyintensive data centers,high electricity demand,request-2-9-2
high electricity demand,fossil fuel power generation,request-2-9-3
fossil fuel power generation,climate change,request-2-9-4
business,expansion of industrial activities,request-3-0-0
expansion of industrial activities,deforestation and habitat destruction,request-3-0-1
deforestation and habitat destruction,displacement of native species,request-3-0-2
displacement of native species,loss of biodiversity,request-3-0-3
business,increased resource extraction,request-3-1-0
increased resource extraction,pollution of ecosystems,request-3-1-1
pollution of ecosystems,death of wildlife and degradation of habitats,request-3-1-2
death of wildlife and degradation of habitats,loss of biodiversity,request-3-1-3
business,intensive agriculture practices,request-3-2-0
intensive agriculture practices,overuse of pesticides and fertilizers,request-3-2-1
overuse of pesticides and fertilizers,soil degradation and water pollution,request-3-2-2
soil degradation and water pollution,decline in pollinator populations,request-3-2-3
decline in pollinator populations,loss of biodiversity,request-3-2-4
business,climate change through greenhouse gas emissions,request-3-3-0
climate change through greenhouse gas emissions,rising global temperatures,request-3-3-1
rising global temperatures,disruption of ecosystems and species migration,request-3-3-2
disruption of ecosystems and species migration,extinction of temperaturesensitive species,request-3-3-3
extinction of temperaturesensitive species,loss of biodiversity,request-3-3-4
business,overfishing and destructive fishing practices,request-3-4-0
overfishing and destructive fishing practices,depletion of fish stocks,request-3-4-1
depletion of fish stocks,collapse of marine ecosystems,request-3-4-2
collapse of marine ecosystems,loss of marine biodiversity,request-3-4-3
business,urbanization and infrastructure development,request-3-5-0
urbanization and infrastructure development,fragmentation of habitats,request-3-5-1
fragmentation of habitats,isolation of wildlife populations,request-3-5-2
isolation of wildlife populations,reduced genetic diversity,request-3-5-3
reduced genetic diversity,loss of biodiversity,request-3-5-4
business,production and disposal of plastic waste,request-3-6-0
production and disposal of plastic waste,pollution of oceans and waterways,request-3-6-1
pollution of oceans and waterways,harm to aquatic life,request-3-6-2
harm to aquatic life,disruption of food chains,request-3-6-3
disruption of food chains,loss of biodiversity,request-3-6-4
business,unsustainable logging practices,request-3-7-0
unsustainable logging practices,destruction of forests,request-3-7-1
destruction of forests,loss of habitat for forest species,request-3-7-2
loss of habitat for forest species,extinction of endemic species,request-3-7-3
extinction of endemic species,loss of biodiversity,request-3-7-4
business,economic growth,request-4-0-0
economic growth,increased resource consumption,request-4-0-1
increased resource consumption,resource depletion,request-4-0-2
resource depletion,degradation of nature,request-4-0-3
business,industrialization,request-4-1-0
industrialization,pollution,request-4-1-1
pollution,environmental damage,request-4-1-2
environmental damage,degradation of nature,request-4-1-3
business,deforestation,request-4-2-0
deforestation,loss of biodiversity,request-4-2-1
loss of biodiversity,ecosystem disruption,request-4-2-2
ecosystem disruption,degradation of nature,request-4-2-3
business,climate change,request-4-3-0
climate change,rising temperatures,request-4-3-1
rising temperatures,extreme weather events,request-4-3-2
extreme weather events,degradation of nature,request-4-3-3
business,waste generation,request-4-4-0
waste generation,improper disposal,request-4-4-1
improper disposal,soil contamination,request-4-4-2
soil contamination,degradation of nature,request-4-4-3
business,overfishing,request-4-5-0
overfishing,ocean ecosystem imbalance,request-4-5-1
ocean ecosystem imbalance,marine life decline,request-4-5-2
marine life decline,degradation of nature,request-4-5-3
business,urbanization,request-4-6-0
urbanization,habitat destruction,request-4-6-1
habitat destruction,species extinction,request-4-6-2
species extinction,degradation of nature,request-4-6-3
business,fossil fuel dependence,request-4-7-0
fossil fuel dependence,greenhouse gas emissions,request-4-7-1
greenhouse gas emissions,global warming,request-4-7-2
global warming,degradation of nature,request-4-7-3
business,unsustainable practices,request-4-8-0
unsustainable practices,longterm environmental harm,request-4-8-1
longterm environmental harm,irreversible damage,request-4-8-2
irreversible damage,degradation of nature,request-4-8-3
business,consumerism,request-4-9-0
consumerism,excessive consumption,request-4-9-1
excessive consumption,waste and pollution,request-4-9-2
waste and pollution,degradation of nature,request-4-9-3
business,neglect of sustainable alternatives,request-4-10-0
neglect of sustainable alternatives,continued environmental exploitation,request-4-10-1
continued environmental exploitation,resource exhaustion,request-4-10-2
resource exhaustion,degradation of nature,request-4-10-3
business,lack of regulation,request-4-11-0
lack of regulation,uncontrolled industrial activities,request-4-11-1
uncontrolled industrial activities,environmental degradation,request-4-11-2
environmental degradation,degradation of nature,request-4-11-3
business,prioritization of profit,request-4-12-0
prioritization of profit,neglect of environmental concerns,request-4-12-1
neglect of environmental concerns,environmental neglect,request-4-12-2
environmental neglect,degradation of nature,request-4-12-3
business,inefficient use of resources,request-4-13-0
inefficient use of resources,increased waste,request-4-13-1
increased waste,pollution of natural habitats,request-4-13-2
pollution of natural habitats,degradation of nature,request-4-13-3
business,disregard for biodiversity,request-4-14-0
disregard for biodiversity,ecosystem service disruption,request-4-14-1
ecosystem service disruption,loss of natural balance,request-4-14-2
loss of natural balance,degradation of nature,request-4-14-3
business,support for unsustainable policies,request-4-15-0
support for unsustainable policies,delayed environmental action,request-4-15-1
delayed environmental action,escalating environmental issues,request-4-15-2
escalating environmental issues,degradation of nature,request-4-15-3
business,investment in polluting technologies,request-4-16-0
investment in polluting technologies,increased emissions,request-4-16-1
increased emissions,air and water pollution,request-4-16-2
air and water pollution,degradation of nature,request-4-16-3
business,exploitation of natural resources,request-4-17-0
exploitation of natural resources,overconsumption of raw materials,request-4-17-1
overconsumption of raw materials,depletion of natural resources,request-4-17-2
depletion of natural resources,degradation of nature,request-4-17-3
business,generation of hazardous waste,request-4-18-0
generation of hazardous waste,contamination of soil and water,request-4-18-1
contamination of soil and water,destruction of ecosystems,request-4-18-2
destruction of ecosystems,degradation of nature,request-4-18-3
business,contribution to climate change,request-4-19-0
contribution to climate change,alteration of natural climate patterns,request-4-19-1
alteration of natural climate patterns,disruption of natural systems,request-4-19-2
disruption of natural systems,degradation of nature,request-4-19-3
business,destruction of natural habitats,request-4-20-0
destruction of natural habitats,loss of species,request-4-20-1
loss of species,disruption of food chains,request-4-20-2
disruption of food chains,degradation of nature,request-4-20-3
business,pollution of oceans,request-4-21-0
pollution of oceans,harm to marine life,request-4-21-1
harm to marine life,collapse of fisheries,request-4-21-2
collapse of fisheries,degradation of nature,request-4-21-3
business,release of toxic substances,request-4-22-0
release of toxic substances,bioaccumulation in wildlife,request-4-22-1
bioaccumulation in wildlife,decline in wildlife populations,request-4-22-2
decline in wildlife populations,degradation of nature,request-4-22-3
business,land degradation,request-4-23-0
land degradation,soil erosion,request-4-23-1
soil erosion,reduced fertility,request-4-23-2
reduced fertility,degradation of nature,request-4-23-3
business,water pollution,request-4-24-0
water pollution,contamination of water sources,request-4-24-1
contamination of water sources,loss of aquatic life,request-4-24-2
loss of aquatic life,degradation of nature,request-4-24-3
business,air pollution,request-4-25-0
air pollution,respiratory problems in wildlife,request-4-25-1
respiratory problems in wildlife,decline in species health,request-4-25-2
decline in species health,degradation of nature,request-4-25-3
business,light pollution,request-4-26-0
light pollution,disruption of natural light cycles,request-4-26-1
disruption of natural light cycles,impact on nocturnal species,request-4-26-2
impact on nocturnal species,degradation of nature,request-4-26-3
business,noise pollution,request-4-27-0
noise pollution,disturbance of natural habitats,request-4-27-1
disturbance of natural habitats,stress on wildlife,request-4-27-2
stress on wildlife,degradation of nature,request-4-27-3
business,plastic pollution,request-4-28-0
plastic pollution,ingestion by marine life,request-4-28-1
ingestion by marine life,death of marine animals,request-4-28-2
death of marine animals,degradation of nature,request-4-28-3
business,chemical runoff,request-4-29-0
chemical runoff,eutrophication of water bodies,request-4-29-1
eutrophication of water bodies,dead zones,request-4-29-2
dead zones,degradation of nature,request-4-29-3
business,overhunting,request-4-30-0
overhunting,reduction in wildlife populations,request-4-30-1
reduction in wildlife populations,imbalance in ecosystems,request-4-30-2
imbalance in ecosystems,degradation of nature,request-4-30-3
business,introduction of invasive species,request-4-31-0
introduction of invasive species,outcompetition of native species,request-4-31-1
outcompetition of native species,loss of biodiversity,request-4-31-2
loss of biodiversity,degradation of nature,request-4-31-3
business,climate change denial,request-4-32-0
climate change denial,lack of mitigation efforts,request-4-32-1
lack of mitigation efforts,accelerated environmental damage,request-4-32-2
accelerated environmental damage,degradation of nature,request-4-32-3
business,greenwashing,request-4-33-0
greenwashing,misleading environmental claims,request-4-33-1
misleading environmental claims,continued harmful practices,request-4-33-2
continued harmful practices,degradation of nature,request-4-33-3
business,lobbying against environmental regulations,request-4-34-0
lobbying against environmental regulations,weak environmental laws,request-4-34-1
weak environmental laws,unrestricted environmental harm,request-4-34-2
unrestricted environmental harm,degradation of nature,request-4-34-3
business,extraction of fossil fuels,request-4-35-0
extraction of fossil fuels,environmental destruction from extraction,request-4-35-1
environmental destruction from extraction,pollution and habitat loss,request-4-35-2
pollution and habitat loss,degradation of nature,request-4-35-3
business,agricultural expansion,request-4-36-0
agricultural expansion,clearing of forests,request-4-36-1
clearing of forests,loss of carbon sinks,request-4-36-2
loss of carbon sinks,degradation of nature,request-4-36-3
business,urban sprawl,request-4-37-0
urban sprawl,fragmentation of habitats,request-4-37-1
fragmentation of habitats,isolation of species,request-4-37-2
isolation of species,degradation of nature,request-4-37-3
business,mining activities,request-4-38-0
mining activities,release of heavy metals,request-4-38-1
release of heavy metals,contamination of land and water,request-4-38-2
contamination of land and water,degradation of nature,request-4-38-3
business,drilling for oil,request-4-39-0
drilling for oil,oil spills,request-4-39-1
oil spills,destruction of coastal ecosystems,request-4-39-2
destruction of coastal ecosystems,degradation of nature,request-4-39-3
business,use of pesticides,request-4-40-0
use of pesticides,killing of beneficial insects,request-4-40-1
killing of beneficial insects,decline in pollinator populations,request-4-40-2
decline in pollinator populations,degradation of nature,request-4-40-3
business,intensive farming,request-4-41-0
intensive farming,soil degradation,request-4-41-1
soil degradation,reduced crop yields,request-4-41-2
reduced crop yields,degradation of nature,request-4-41-3
business,overgrazing,request-4-42-0
overgrazing,desertification,request-4-42-1
desertification,loss of productive land,request-4-42-2
loss of productive land,degradation of nature,request-4-42-3
business,illegal logging,request-4-43-0
illegal logging,destruction of forest ecosystems,request-4-43-1
destruction of forest ecosystems,loss of habitat,request-4-43-2
loss of habitat,degradation of nature,request-4-43-3
business,poaching,request-4-44-0
poaching,reduction in endangered species,request-4-44-1
reduction in endangered species,imbalance in ecosystems,request-4-44-2
imbalance in ecosystems,degradation of nature,request-4-44-3
business,unregulated fishing,request-4-45-0
unregulated fishing,depletion of fish stocks,request-4-45-1
depletion of fish stocks,collapse of marine ecosystems,request-4-45-2
collapse of marine ecosystems,degradation of nature,request-4-45-3
business,construction of dams,request-4-46-0
construction of dams,disruption of river ecosystems,request-4-46-1
disruption of river ecosystems,loss of biodiversity,request-4-46-2
loss of biodiversity,degradation of nature,request-4-46-3
business,emission of greenhouse gases,request-4-47-0
emission of greenhouse gases,ocean acidification,request-4-47-1
ocean acidification,coral reef bleaching,request-4-47-2
coral reef bleaching,degradation of nature,request-4-47-3
business,use of singleuse plastics,request-4-48-0
use of singleuse plastics,accumulation in oceans,request-4-48-1
accumulation in oceans,harm to marine ecosystems,request-4-48-2
harm to marine ecosystems,degradation of nature,request-4-48-3
business,neglect of circular economy practices,request-4-49-0
neglect of circular economy practices,continuous resource extraction,request-4-49-1
continuous resource extraction,environmental degradation,request-4-49-2
environmental degradation,degradation of nature,request-4-49-3
business,focus on shortterm gains,request-4-50-0
focus on shortterm gains,ignoring longterm sustainability,request-4-50-1
ignoring longterm sustainability,environmental consequences,request-4-50-2
environmental consequences,degradation of nature,request-4-50-3
business,investment in unsustainable infrastructure,request-4-51-0
investment in unsustainable infrastructure,longterm environmental damage,request-4-51-1
longterm environmental damage,irreversible degradation,request-4-51-2
irreversible degradation,degradation of nature,request-4-51-3
business,lack of environmental impact assessments,request-4-52-0
lack of environmental impact assessments,unanticipated environmental harm,request-4-52-1
unanticipated environmental harm,escalating degradation,request-4-52-2
escalating degradation,degradation of nature,request-4-52-3
business,noncompliance with environmental standards,request-4-53-0
noncompliance with environmental standards,increased pollution,request-4-53-1
increased pollution,environmental deterioration,request-4-53-2
environmental deterioration,degradation of nature,request-4-53-3
business,exploitation of cheap labor,request-4-54-0
exploitation of cheap labor,increased production,request-4-54-1
increased production,greater resource use,request-4-54-2
greater resource use,degradation of nature,request-4-54-3
business,planned obsolescence,request-4-55-0
planned obsolescence,increased waste generation,request-4-55-1
increased waste generation,environmental pollution,request-4-55-2
environmental pollution,degradation of nature,request-4-55-3
business,disinvestment in sustainable technologies,request-4-56-0
disinvestment in sustainable technologies,continued reliance on fossil fuels,request-4-56-1
continued reliance on fossil fuels,environmental damage,request-4-56-2
environmental damage,degradation of nature,request-4-56-3
business,support for destructive policies,request-4-57-0
support for destructive policies,removal of environmental protections,request-4-57-1
removal of environmental protections,increased exploitation,request-4-57-2
increased exploitation,degradation of nature,request-4-57-3
business,financing of environmentally harmful projects,request-4-58-0
financing of environmentally harmful projects,direct contribution to degradation,request-4-58-1
direct contribution to degradation,accelerated damage,request-4-58-2
accelerated damage,degradation of nature,request-4-58-3
business,marketing of unsustainable products,request-4-59-0
marketing of unsustainable products,encouragement of overconsumption,request-4-59-1
encouragement of overconsumption,increased waste,request-4-59-2
increased waste,degradation of nature,request-4-59-3
business,opposition to renewable energy,request-4-60-0
opposition to renewable energy,delayed transition to clean energy,request-4-60-1
delayed transition to clean energy,prolonged environmental harm,request-4-60-2
prolonged environmental harm,degradation of nature,request-4-60-3
business,lack of transparency in supply chains,request-4-61-0
lack of transparency in supply chains,unregulated environmental impact,request-4-61-1
unregulated environmental impact,hidden degradation,request-4-61-2
hidden degradation,degradation of nature,request-4-61-3
business,excessive packaging,request-4-62-0
excessive packaging,increased plastic waste,request-4-62-1
increased plastic waste,pollution of natural environments,request-4-62-2
pollution of natural environments,degradation of nature,request-4-62-3
business,unsustainable sourcing,request-4-63-0
unsustainable sourcing,depletion of rare resources,request-4-63-1
depletion of rare resources,loss of natural capital,request-4-63-2
loss of natural capital,degradation of nature,request-4-63-3
business,disregard for animal welfare,request-4-64-0
disregard for animal welfare,cruel treatment of animals,request-4-64-1
cruel treatment of animals,disruption of natural behaviors,request-4-64-2
disruption of natural behaviors,degradation of nature,request-4-64-3
business,destruction of wetlands,request-4-65-0
destruction of wetlands,loss of water filtration,request-4-65-1
loss of water filtration,decreased water quality,request-4-65-2
decreased water quality,degradation of nature,request-4-65-3
business,contribution to light pollution,request-4-66-0
contribution to light pollution,disruption of animal migration,request-4-66-1
disruption of animal migration,negative impact on ecosystems,request-4-66-2
negative impact on ecosystems,degradation of nature,request-4-66-3
business,generation of electronic waste,request-4-67-0
generation of electronic waste,toxic chemical leaks,request-4-67-1
toxic chemical leaks,contamination of soil and groundwater,request-4-67-2
contamination of soil and groundwater,degradation of nature,request-4-67-3
business,overtourism,request-4-68-0
overtourism,degradation of natural attractions,request-4-68-1
degradation of natural attractions,loss of local biodiversity,request-4-68-2
loss of local biodiversity,degradation of nature,request-4-68-3
business,use of chemical fertilizers,request-4-69-0
use of chemical fertilizers,water pollution from runoff,request-4-69-1
water pollution from runoff,dead zones in water bodies,request-4-69-2
dead zones in water bodies,degradation of nature,request-4-69-3
business,engagement in illegal wildlife trade,request-4-70-0
engagement in illegal wildlife trade,reduction in species populations,request-4-70-1
reduction in species populations,imbalance in ecosystems,request-4-70-2
imbalance in ecosystems,degradation of nature,request-4-70-3
business,construction of infrastructure,request-4-71-0
construction of infrastructure,fragmentation of natural habitats,request-4-71-1
fragmentation of natural habitats,isolation of species,request-4-71-2
isolation of species,degradation of nature,request-4-71-3
business,investment in unsustainable agriculture,request-4-72-0
investment in unsustainable agriculture,soil degradation,request-4-72-1
soil degradation,loss of fertile land,request-4-72-2
loss of fertile land,degradation of nature,request-4-72-3
business,support for fracking,request-4-73-0
support for fracking,contamination of groundwater,request-4-73-1
contamination of groundwater,destruction of local ecosystems,request-4-73-2
destruction of local ecosystems,degradation of nature,request-4-73-3
business,discharge of untreated wastewater,request-4-74-0
discharge of untreated wastewater,pollution of rivers and lakes,request-4-74-1
pollution of rivers and lakes,death of aquatic life,request-4-74-2
death of aquatic life,degradation of nature,request-4-74-3
business,clearing of land for development,request-4-75-0
clearing of land for development,habitat loss,request-4-75-1
habitat loss,reduction in species diversity,request-4-75-2
reduction in species diversity,degradation of nature,request-4-75-3
business,emission of particulate matter,request-4-76-0
emission of particulate matter,air quality deterioration,request-4-76-1
air quality deterioration,negative health effects on wildlife,request-4-76-2
negative health effects on wildlife,degradation of nature,request-4-76-3
business,use of endangered species products,request-4-77-0
use of endangered species products,increased demand for illicit trade,request-4-77-1
increased demand for illicit trade,further decline of species,request-4-77-2
further decline of species,degradation of nature,request-4-77-3
business,disruption of natural water flows,request-4-78-0
disruption of natural water flows,alteration of river ecosystems,request-4-78-1
alteration of river ecosystems,loss of aquatic biodiversity,request-4-78-2
loss of aquatic biodiversity,degradation of nature,request-4-78-3
business,creation of waste landfills,request-4-79-0
creation of waste landfills,leaching of toxins,request-4-79-1
leaching of toxins,groundwater pollution,request-4-79-2
groundwater pollution,degradation of nature,request-4-79-3
business,emission of ozonedepleting substances,request-4-80-0
emission of ozonedepleting substances,thinning of the ozone layer,request-4-80-1
thinning of the ozone layer,increased uv radiation,request-4-80-2
increased uv radiation,degradation of nature,request-4-80-3
business,landfilling of organic waste,request-4-81-0
landfilling of organic waste,production of methane,request-4-81-1
production of methane,contribution to climate change,request-4-81-2
contribution to climate change,degradation of nature,request-4-81-3
business,use of antibiotics in farming,request-4-82-0
use of antibiotics in farming,development of antibioticresistant bacteria,request-4-82-1
development of antibioticresistant bacteria,spread to natural environments,request-4-82-2
spread to natural environments,degradation of nature,request-4-82-3
business,discharge of industrial effluents,request-4-83-0
discharge of industrial effluents,contamination of surface water,request-4-83-1
contamination of surface water,harm to aquatic life,request-4-83-2
harm to aquatic life,degradation of nature,request-4-83-3
business,contribution to noise pollution,request-4-84-0
contribution to noise pollution,disruption of animal communication,request-4-84-1
disruption of animal communication,behavioral changes in wildlife,request-4-84-2
behavioral changes in wildlife,degradation of nature,request-4-84-3
business,generation of construction waste,request-4-85-0
generation of construction waste,illegal dumping,request-4-85-1
illegal dumping,destruction of natural areas,request-4-85-2
destruction of natural areas,degradation of nature,request-4-85-3
business,use of invasive species in landscaping,request-4-86-0
use of invasive species in landscaping,spread of invasive species,request-4-86-1
spread of invasive species,outcompetition of native flora,request-4-86-2
outcompetition of native flora,degradation of nature,request-4-86-3
business,investment in palm oil plantations,request-4-87-0
investment in palm oil plantations,clearing of rainforests,request-4-87-1
clearing of rainforests,loss of biodiverse ecosystems,request-4-87-2
loss of biodiverse ecosystems,degradation of nature,request-4-87-3
business,support for unsustainable fishing,request-4-88-0
support for unsustainable fishing,bycatch of nontarget species,request-4-88-1
bycatch of nontarget species,decline in marine biodiversity,request-4-88-2
decline in marine biodiversity,degradation of nature,request-4-88-3
business,disregard for sustainable forestry,request-4-89-0
disregard for sustainable forestry,overharvesting of timber,request-4-89-1
overharvesting of timber,destruction of forest habitats,request-4-89-2
destruction of forest habitats,degradation of nature,request-4-89-3
business,emission of volatile organic compounds,request-4-90-0
emission of volatile organic compounds,formation of groundlevel ozone,request-4-90-1
formation of groundlevel ozone,damage to vegetation,request-4-90-2
damage to vegetation,degradation of nature,request-4-90-3
business,use of heavy metals in products,request-4-91-0
use of heavy metals in products,release into environment,request-4-91-1
release into environment,bioaccumulation in food chains,request-4-91-2
bioaccumulation in food chains,degradation of nature,request-4-91-3
business,investment in coal mining,request-4-92-0
investment in coal mining,release of methane,request-4-92-1
release of methane,contribution to climate change,request-4-92-2
contribution to climate change,degradation of nature,request-4-92-3
business,destruction of mangroves,request-4-93-0
destruction of mangroves,loss of coastal protection,request-4-93-1
loss of coastal protection,increased vulnerability to storms,request-4-93-2
increased vulnerability to storms,degradation of nature,request-4-93-3
business,overextraction of groundwater,request-4-94-0
overextraction of groundwater,land subsidence,request-4-94-1
land subsidence,alteration of natural hydrology,request-4-94-2
alteration of natural hydrology,degradation of nature,request-4-94-3
business,use of chemical pesticides,request-4-95-0
use of chemical pesticides,killing of nontarget species,request-4-95-1
killing of nontarget species,disruption of ecosystem balance,request-4-95-2
disruption of ecosystem balance,degradation of nature,request-4-95-3
business,investment in tar sands,request-4-96-0
investment in tar sands,destruction of boreal forests,request-4-96-1
destruction of boreal forests,release of stored carbon,request-4-96-2
release of stored carbon,degradation of nature,request-4-96-3
business,support for mountaintop removal mining,request-4-97-0
support for mountaintop removal mining,destruction of mountain ecosystems,request-4-97-1
destruction of mountain ecosystems,pollution of waterways,request-4-97-2
pollution of waterways,degradation of nature,request-4-97-3
business,discharge of plastic microbeads,request-4-98-0
discharge of plastic microbeads,ingestion by small marine life,request-4-98-1
ingestion by small marine life,entry into food chain,request-4-98-2
entry into food chain,degradation of nature,request-4-98-3
business,use of chlorofluorocarbons,request-4-99-0
use of chlorofluorocarbons,depletion of ozone layer,request-4-99-1
depletion of ozone layer,increased uvb radiation,request-4-99-2
increased uvb radiation,degradation of nature,request-4-99-3
business,investment in hydraulic fracturing,request-4-100-0
investment in hydraulic fracturing,contamination of groundwater,request-4-100-1
contamination of groundwater,destruction of local ecosystems,request-4-100-2
destruction of local ecosystems,degradation of nature,request-4-100-3
business,support for whaling,request-4-101-0
support for whaling,reduction in whale populations,request-4-101-1
reduction in whale populations,disruption of marine ecosystems,request-4-101-2
disruption of marine ecosystems,degradation of nature,request-4-101-3
business,destruction of coral reefs,request-4-102-0
destruction of coral reefs,loss of marine biodiversity,request-4-102-1
loss of marine biodiversity,decline in fisheries,request-4-102-2
decline in fisheries,degradation of nature,request-4-102-3
business,use of lead in products,request-4-103-0
use of lead in products,release of lead into environment,request-4-103-1
release of lead into environment,poisoning of wildlife,request-4-103-2
poisoning of wildlife,degradation of nature,request-4-103-3
business,investment in nuclear power,request-4-104-0
investment in nuclear power,generation of radioactive waste,request-4-104-1
generation of radioactive waste,contamination of natural environments,request-4-104-2
contamination of natural environments,degradation of nature,request-4-104-3
business,support for elephant poaching,request-4-105-0
support for elephant poaching,decline in elephant populations,request-4-105-1
decline in elephant populations,disruption of ecosystems,request-4-105-2
disruption of ecosystems,degradation of nature,request-4-105-3
business,discharge of radioactive materials,request-4-106-0
discharge of radioactive materials,longterm environmental contamination,request-4-106-1
longterm environmental contamination,mutation of species,request-4-106-2
mutation of species,degradation of nature,request-4-106-3
business,use of mercury in mining,request-4-107-0
use of mercury in mining,release of mercury into water,request-4-107-1
release of mercury into water,bioaccumulation in fish,request-4-107-2
bioaccumulation in fish,degradation of nature,request-4-107-3
business,investment in oil sands,request-4-108-0
