custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-4-8-2,habitat destruction,loss of biodiversity,yes,no
request-4-8-3,loss of biodiversity,degradation of nature,yes,yes
request-4-9-0,business,construction,yes,yes
request-4-9-1,construction,habitat destruction,yes,no
request-4-9-2,habitat destruction,loss of biodiversity,yes,no
request-4-9-3,loss of biodiversity,degradation of nature,yes,yes
request-5-0-0,heat from gas emissions absorbed by oceans,increased ocean surface temperatures,yes,yes
request-5-0-1,increased ocean surface temperatures,changes in ocean density and salinity,yes,no
request-5-0-2,changes in ocean density and salinity,disruption of thermohaline circulation,yes,yes
request-5-0-3,disruption of thermohaline circulation,slowing of ocean vertical mixing,yes,yes
request-5-1-0,heat from gas emissions absorbed by oceans,increased ocean surface temperatures,yes,yes
request-5-1-1,increased ocean surface temperatures,melting of polar ice caps,yes,no
request-5-1-2,melting of polar ice caps,increased freshwater input into oceans,yes,no
request-5-1-3,increased freshwater input into oceans,changes in ocean density and salinity,yes,no
request-5-1-4,changes in ocean density and salinity,disruption of thermohaline circulation,yes,yes
request-5-1-5,disruption of thermohaline circulation,slowing of ocean vertical mixing,yes,yes
request-5-2-0,heat from gas emissions absorbed by oceans,increased ocean surface temperatures,yes,yes
request-5-2-1,increased ocean surface temperatures,changes in ocean currents,yes,yes
request-5-2-2,changes in ocean currents,alteration of upwelling and sinking patterns,yes,yes
request-5-2-3,alteration of upwelling and sinking patterns,slowing of ocean vertical mixing,yes,yes
request-5-3-0,heat from gas emissions absorbed by oceans,increased ocean surface temperatures,yes,yes
request-5-3-1,increased ocean surface temperatures,changes in ocean biology and chemistry,yes,no
request-5-3-2,changes in ocean biology and chemistry,alteration of nutrient availability,yes,yes
request-5-3-3,alteration of nutrient availability,changes in phytoplankton and zooplankton populations,yes,yes
request-5-3-4,changes in phytoplankton and zooplankton populations,slowing of ocean vertical mixing,yes,yes
request-6-0-0,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-6-0-1,increased ocean temperature,decreased oxygen solubility in warmer water,yes,no
request-6-0-2,decreased oxygen solubility in warmer water,reduced oxygen concentration in ocean water,yes,no
request-6-0-3,reduced oxygen concentration in ocean water,ocean deoxygenation,yes,yes
request-6-1-0,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-6-1-1,increased ocean temperature,accelerated growth of oxygenconsuming microorganisms,yes,no
request-6-1-2,accelerated growth of oxygenconsuming microorganisms,increased oxygen consumption in ocean water,yes,yes
request-6-1-3,increased oxygen consumption in ocean water,ocean deoxygenation,no,no
request-6-2-0,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-6-2-1,increased ocean temperature,changes in ocean circulation patterns,yes,yes
request-6-2-2,changes in ocean circulation patterns,reduced oxygen transport to deeper ocean layers,yes,yes
request-6-2-3,reduced oxygen transport to deeper ocean layers,ocean deoxygenation,yes,yes
request-6-3-0,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-6-3-1,increased ocean temperature,increased thermal stratification of ocean layers,yes,no
request-6-3-2,increased thermal stratification of ocean layers,reduced vertical mixing of oxygenrich surface water with deeper layers,yes,yes
request-6-3-3,reduced vertical mixing of oxygenrich surface water with deeper layers,ocean deoxygenation,yes,yes
request-6-4-0,heat from gas emissions absorbed by oceans,increased ocean temperature,yes,yes
request-6-4-1,increased ocean temperature,melting of sea ice and ice sheets,yes,no
request-6-4-2,melting of sea ice and ice sheets,changes in ocean salinity and density,yes,no
request-6-4-3,changes in ocean salinity and density,alterations in ocean circulation patterns,yes,yes
request-6-4-4,alterations in ocean circulation patterns,reduced oxygen transport to deeper ocean layers,yes,yes
request-6-4-5,reduced oxygen transport to deeper ocean layers,ocean deoxygenation,yes,yes
request-7-0-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-0-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-0-2,increased atmospheric co2 concentration,atmospheric co2 dissolves in ocean water,yes,no
request-7-0-3,atmospheric co2 dissolves in ocean water,formation of carbonic acid,yes,yes
request-7-0-4,formation of carbonic acid,increased ocean acidity,yes,yes
request-7-0-5,increased ocean acidity,ocean acidification,yes,yes
request-7-1-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-1-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-1-2,increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,yes,no
request-7-1-3,atmospheric co2 absorption by ocean,increased carbonic acid formation,yes,yes
request-7-1-4,increased carbonic acid formation,increased ocean acidity,yes,yes
request-7-1-5,increased ocean acidity,ocean acidification,yes,yes
request-7-2-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-2-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-2-2,increased atmospheric co2 concentration,atmospheric co2 dissolution in ocean,yes,no
request-7-2-3,atmospheric co2 dissolution in ocean,increased hydrogen ion concentration,yes,no
request-7-2-4,increased hydrogen ion concentration,decreased ocean ph,yes,yes
request-7-2-5,decreased ocean ph,ocean acidification,yes,yes
request-7-3-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-3-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-3-2,increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,yes,no
request-7-3-3,atmospheric co2 absorption by ocean,increased hydrogen ion concentration,yes,no
request-7-3-4,increased hydrogen ion concentration,decreased ocean ph,yes,yes
request-7-3-5,decreased ocean ph,ocean acidification,yes,yes
request-7-4-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-4-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-4-2,increased atmospheric co2 concentration,atmospheric co2 dissolution in ocean,yes,no
request-7-4-3,atmospheric co2 dissolution in ocean,increased carbonate ion depletion,yes,no
request-7-4-4,increased carbonate ion depletion,decreased calcium carbonate saturation,yes,yes
request-7-4-5,decreased calcium carbonate saturation,ocean acidification,yes,yes
request-7-5-0,fossil fuel combustion,release of co2 into the atmosphere,yes,no
request-7-5-1,release of co2 into the atmosphere,increased atmospheric co2 concentration,yes,no
request-7-5-2,increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,yes,no
request-7-5-3,atmospheric co2 absorption by ocean,increased carbonate ion depletion,yes,no
request-7-5-4,increased carbonate ion depletion,decreased calcium carbonate saturation,yes,yes
request-7-5-5,decreased calcium carbonate saturation,ocean acidification,yes,yes
request-8-0-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-0-1,increased freshwater input into the ocean,changes in water density and salinity,yes,no
request-8-0-2,changes in water density and salinity,alteration of water column stratification,yes,yes
request-8-0-3,alteration of water column stratification,disruption of ocean currents at intermediate depths,yes,yes
request-8-1-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-1-1,increased freshwater input into the ocean,changes in water temperature,no,yes
request-8-1-2,changes in water temperature,alteration of water column stratification,yes,yes
request-8-1-3,alteration of water column stratification,disruption of ocean currents at intermediate depths,yes,yes
request-8-2-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-2-1,increased freshwater input into the ocean,"changes in water density, salinity, and temperature",yes,yes
request-8-2-2,"changes in water density, salinity, and temperature",alteration of water column stratification,yes,yes
request-8-2-3,alteration of water column stratification,disruption of ocean currents at intermediate depths,yes,yes
request-8-3-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-3-1,increased freshwater input into the ocean,changes in sea level,yes,yes
request-8-3-2,changes in sea level,alteration of coastal currents and circulation patterns,yes,yes
request-8-3-3,alteration of coastal currents and circulation patterns,disruption of ocean currents at intermediate depths,yes,yes
request-8-4-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-4-1,increased freshwater input into the ocean,changes in water temperature and circulation patterns,yes,yes
request-8-4-2,changes in water temperature and circulation patterns,alteration of water column stratification,yes,yes
request-8-4-3,alteration of water column stratification,disruption of ocean currents at intermediate depths,yes,yes
request-8-5-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-8-5-1,increased freshwater input into the ocean,"changes in water density, salinity, temperature, and circulation patterns",yes,no
request-8-5-2,"changes in water density, salinity, temperature, and circulation patterns",alteration of water column stratification,yes,yes
request-8-5-3,alteration of water column stratification,disruption of ocean currents at intermediate depths,yes,yes
request-9-0-0,melting of glaciers,increased freshwater inflow into the ocean,yes,no
request-9-0-1,increased freshwater inflow into the ocean,changes in ocean salinity levels,yes,no
request-9-0-2,changes in ocean salinity levels,alterations in water density and circulation patterns,yes,yes
request-9-0-3,alterations in water density and circulation patterns,disruption of ocean temperature at intermediate depths,yes,yes
request-9-1-0,melting of glaciers,increased freshwater inflow into the ocean,yes,no
request-9-1-1,increased freshwater inflow into the ocean,changes in ocean salinity levels,yes,no
request-9-1-2,changes in ocean salinity levels,alterations in water density and circulation patterns,yes,yes
request-9-1-3,alterations in water density and circulation patterns,reduction in heat transport from equatorial regions,yes,yes
request-9-1-4,reduction in heat transport from equatorial regions,disruption of ocean temperature at intermediate depths,yes,yes
request-9-2-0,melting of glaciers,increased freshwater inflow into the ocean,yes,no
request-9-2-1,increased freshwater inflow into the ocean,changes in ocean salinity levels,yes,no
request-9-2-2,changes in ocean salinity levels,alterations in water density and circulation patterns,yes,yes
request-9-2-3,alterations in water density and circulation patterns,changes in the strength and position of ocean currents,yes,yes
request-9-2-4,changes in the strength and position of ocean currents,disruption of ocean temperature at intermediate depths,yes,yes
request-9-3-0,melting of glaciers,increased freshwater inflow into the ocean,yes,no
request-9-3-1,increased freshwater inflow into the ocean,changes in ocean salinity levels,yes,no
request-9-3-2,changes in ocean salinity levels,alterations in water density and circulation patterns,yes,yes
request-9-3-3,alterations in water density and circulation patterns,changes in nutrient distribution and availability,yes,yes
request-9-3-4,changes in nutrient distribution and availability,alterations in marine ecosystems and food webs,yes,yes
request-9-3-5,alterations in marine ecosystems and food webs,disruption of ocean temperature at intermediate depths,no,yes
request-9-4-0,melting of glaciers,increased freshwater inflow into the ocean,yes,no
request-9-4-1,increased freshwater inflow into the ocean,changes in ocean salinity levels,yes,no
request-9-4-2,changes in ocean salinity levels,alterations in water density and circulation patterns,yes,yes
request-9-4-3,alterations in water density and circulation patterns,changes in sea level rise,yes,yes
request-9-4-4,changes in sea level rise,changes in coastal ecosystems and oceanic processes,yes,yes
request-9-4-5,changes in coastal ecosystems and oceanic processes,disruption of ocean temperature at intermediate depths,yes,yes
request-10-0-0,climate change,increase in global temperatures,yes,yes
request-10-0-1,increase in global temperatures,warming of ocean waters,yes,yes
request-10-0-2,warming of ocean waters,heat absorption by glaciers,no,yes
request-10-0-3,heat absorption by glaciers,melting of glaciers,yes,no
request-10-1-0,climate change,increase in greenhouse gas emissions,no,yes
request-10-1-1,increase in greenhouse gas emissions,enhanced greenhouse effect,yes,no
request-10-1-2,enhanced greenhouse effect,increase in global temperatures,yes,yes
request-10-1-3,increase in global temperatures,warming of ocean waters,yes,yes
request-10-1-4,warming of ocean waters,heat absorption by glaciers,no,yes
request-10-1-5,heat absorption by glaciers,melting of glaciers,yes,no
request-10-2-0,climate change,increase in atmospheric temperatures,yes,yes
request-10-2-1,increase in atmospheric temperatures,warming of air surrounding glaciers,yes,yes
request-10-2-2,warming of air surrounding glaciers,heat absorption by glaciers,yes,yes
request-10-2-3,heat absorption by glaciers,melting of glaciers,yes,no
request-10-3-0,climate change,changes in precipitation patterns,yes,no
request-10-3-1,changes in precipitation patterns,decrease in snowfall on glaciers,yes,yes
request-10-3-2,decrease in snowfall on glaciers,reduced reflectivity of glaciers,yes,no
request-10-3-3,reduced reflectivity of glaciers,increased heat absorption by glaciers,yes,yes
request-10-3-4,increased heat absorption by glaciers,melting of glaciers,yes,no
request-10-4-0,climate change,rising sea levels,yes,no
request-10-4-1,rising sea levels,increased ocean temperatures,no,yes
request-10-4-2,increased ocean temperatures,heat absorption by glaciers,no,no
request-10-4-3,heat absorption by glaciers,melting of glaciers,yes,no
request-11-0-0,meltwaterinduced weakening of ocean circulation,"reduced transport of cold, dense water",yes,yes
request-11-0-1,"reduced transport of cold, dense water",decreased mixing of surface and deep waters,yes,yes
request-11-0-2,decreased mixing of surface and deep waters,reduced heat transfer to the deep ocean,yes,yes
request-11-0-3,reduced heat transfer to the deep ocean,warming of intermediatedepth waters,yes,yes
request-11-1-0,meltwaterinduced weakening of ocean circulation,alteration of thermohaline circulation,yes,yes
request-11-1-1,alteration of thermohaline circulation,disruption of global heat transport,yes,yes
request-11-1-2,disruption of global heat transport,increased heat retention in upper ocean layers,yes,yes
request-11-1-3,increased heat retention in upper ocean layers,warming of intermediatedepth waters,yes,yes
request-11-2-0,meltwaterinduced weakening of ocean circulation,"reduced flow of cold, dense water into the deep ocean",yes,yes
request-11-2-1,"reduced flow of cold, dense water into the deep ocean",decreased vertical mixing of water masses,yes,yes
request-11-2-2,decreased vertical mixing of water masses,trapping of heat in the upper ocean,yes,yes
request-11-2-3,trapping of heat in the upper ocean,warming of intermediatedepth waters,yes,yes
request-11-3-0,meltwaterinduced weakening of ocean circulation,slowing of meridional overturning circulation,yes,yes
request-11-3-1,slowing of meridional overturning circulation,"reduced upwelling of cold, deep water",yes,yes
request-11-3-2,"reduced upwelling of cold, deep water",increased stratification of ocean layers,yes,yes
request-11-3-3,increased stratification of ocean layers,warming of intermediatedepth waters,yes,yes
request-12-0-0,warming of intermediatedepth waters,increased heat transfer to shallow subsurface waters,yes,yes
request-12-0-1,increased heat transfer to shallow subsurface waters,rising temperatures in shallow subsurface waters,yes,yes
request-12-0-2,rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,yes,yes
request-12-0-3,warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,yes,no
request-12-1-0,warming of intermediatedepth waters,changes in ocean circulation patterns,yes,yes
request-12-1-1,changes in ocean circulation patterns,increased heat transfer to shallow subsurface waters,yes,yes
request-12-1-2,increased heat transfer to shallow subsurface waters,rising temperatures in shallow subsurface waters,yes,yes
request-12-1-3,rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,yes,yes
request-12-1-4,warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,yes,no
request-12-2-0,warming of intermediatedepth waters,changes in ocean chemistry,yes,no
request-12-2-1,changes in ocean chemistry,increased dissolution of methane hydrates,yes,yes
request-12-2-2,increased dissolution of methane hydrates,release of methane gas,yes,yes
request-12-2-3,release of methane gas,increased pressure in shallow subsurface waters,yes,yes
request-12-2-4,increased pressure in shallow subsurface waters,destabilization of shallow subsurface methane hydrates,yes,yes
request-12-3-0,warming of intermediatedepth waters,changes in ocean currents,yes,yes
request-12-3-1,changes in ocean currents,increased turbulence in shallow subsurface waters,yes,yes
request-12-3-2,increased turbulence in shallow subsurface waters,enhanced mixing of methane hydrates with surrounding water,yes,yes
request-12-3-3,enhanced mixing of methane hydrates with surrounding water,warming of shallow subsurface methane hydrates,yes,yes
request-12-3-4,warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,yes,no
request-12-4-0,warming of intermediatedepth waters,changes in ocean circulation patterns,yes,yes
request-12-4-1,changes in ocean circulation patterns,increased upwelling of warm water,no,yes
request-12-4-2,increased upwelling of warm water,rising temperatures in shallow subsurface waters,no,yes
request-12-4-3,rising temperatures in shallow subsurface waters,warming of shallow subsurface methane hydrates,yes,yes
request-12-4-4,warming of shallow subsurface methane hydrates,destabilization of shallow subsurface methane hydrates,yes,no
request-13-0-0,warming of intermediatedepth waters,increased temperatures in ocean sediments,yes,yes
request-13-0-1,increased temperatures in ocean sediments,thawing of methane hydrates,yes,yes
request-13-0-2,thawing of methane hydrates,release of methane,yes,no
request-13-1-0,warming of intermediatedepth waters,changes in ocean currents and circulation patterns,yes,yes
request-13-1-1,changes in ocean currents and circulation patterns,increased upwelling of nutrientrich waters,yes,yes
request-13-1-2,increased upwelling of nutrientrich waters,stimulation of methaneproducing microorganisms,yes,no
request-13-1-3,stimulation of methaneproducing microorganisms,release of methane,yes,yes
request-13-2-0,warming of intermediatedepth waters,changes in ocean chemistry,yes,yes
request-13-2-1,changes in ocean chemistry,increased acidification of seawater,yes,yes
request-13-2-2,increased acidification of seawater,dissolution of carbonate rocks containing methane hydrates,yes,no
request-13-2-3,dissolution of carbonate rocks containing methane hydrates,release of methane,yes,yes
request-13-3-0,warming of intermediatedepth waters,changes in ocean ecosystems,yes,yes
request-13-3-1,changes in ocean ecosystems,increased abundance of methaneproducing organisms,yes,yes
request-13-3-2,increased abundance of methaneproducing organisms,release of methane,yes,yes
request-13-4-0,warming of intermediatedepth waters,changes in ocean currents and circulation patterns,yes,yes
request-13-4-1,changes in ocean currents and circulation patterns,increased mixing of water layers,yes,yes
request-13-4-2,increased mixing of water layers,enhanced transport of methane from deep ocean reservoirs,yes,yes
request-13-4-3,enhanced transport of methane from deep ocean reservoirs,release of methane,yes,yes
request-14-0-0,shutdown of energy production,shortage of energy supply,yes,no
request-14-0-1,shortage of energy supply,increase in energy prices,yes,no
request-14-0-2,increase in energy prices,rise in production costs,yes,yes
request-14-0-3,rise in production costs,increase in consumer prices,yes,yes
request-14-0-4,increase in consumer prices,inflation,yes,yes
request-14-1-0,shutdown of energy production,shortage of energy supply,yes,no
request-14-1-1,shortage of energy supply,decrease in industrial productivity,yes,no
request-14-1-2,decrease in industrial productivity,rise in production costs,yes,yes
request-14-1-3,rise in production costs,increase in consumer prices,yes,yes
request-14-1-4,increase in consumer prices,inflation,yes,yes
request-14-2-0,shutdown of energy production,shortage of energy supply,yes,no
request-14-2-1,shortage of energy supply,decrease in industrial productivity,yes,no
request-14-2-2,decrease in industrial productivity,reduction in economic growth,yes,yes
request-14-2-3,reduction in economic growth,increase in unemployment,yes,yes
request-14-2-4,increase in unemployment,decrease in consumer spending,yes,yes
request-14-2-5,decrease in consumer spending,decrease in demand for goods and services,yes,yes
request-14-2-6,decrease in demand for goods and services,decrease in production,yes,no
request-14-2-7,decrease in production,increase in production costs,yes,yes
request-14-2-8,increase in production costs,increase in consumer prices,yes,yes
request-14-2-9,increase in consumer prices,inflation,yes,yes
request-14-3-0,shutdown of energy production,shortage of energy supply,yes,no
request-14-3-1,shortage of energy supply,decrease in industrial productivity,yes,no
request-14-3-2,decrease in industrial productivity,reduction in economic growth,yes,yes
request-14-3-3,reduction in economic growth,decrease in tax revenue,yes,no
request-14-3-4,decrease in tax revenue,increase in government borrowing,yes,no
request-14-3-5,increase in government borrowing,increase in money supply,yes,no
request-14-3-6,increase in money supply,inflation,yes,yes
request-15-0-0,shutdown of energy production,reduction in energy supply,yes,no
request-15-0-1,reduction in energy supply,inability to meet energy demands,yes,yes
request-15-0-2,inability to meet energy demands,shortages,yes,yes
request-15-1-0,shutdown of energy production,increase in energy prices,yes,no
request-15-1-1,increase in energy prices,inability of consumers to afford energy,yes,no
request-15-1-2,inability of consumers to afford energy,shortages,yes,yes
