custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-8-2,disruption of ecosystems,reduced carbon sequestration,yes,yes,yes,yes
request-1-8-3,reduced carbon sequestration,increased greenhouse gas levels,yes,yes,yes,no
request-1-8-4,increased greenhouse gas levels,changes in the climate,yes,no,yes,no
request-2-0-0,buying from companies that mess the climate,providing revenue to climatedamaging companies,yes,yes,yes,yes
request-2-0-1,providing revenue to climatedamaging companies,enabling operations of climatedamaging companies,yes,yes,yes,yes
request-2-0-2,enabling operations of climatedamaging companies,sustaining climatedamaging companies,yes,yes,yes,yes
request-2-0-3,sustaining climatedamaging companies,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-1-0,buying from companies that mess the climate,increasing demand for climatedamaging companies' products,yes,yes,yes,yes
request-2-1-1,increasing demand for climatedamaging companies' products,encouraging production by climatedamaging companies,yes,yes,yes,no
request-2-1-2,encouraging production by climatedamaging companies,strengthening climatedamaging companies,yes,yes,yes,yes
request-2-1-3,strengthening climatedamaging companies,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-2-0,buying from companies that mess the climate,normalizing purchases from climatedamaging companies,yes,yes,yes,yes
request-2-2-1,normalizing purchases from climatedamaging companies,reducing pressure on climatedamaging companies to change,yes,yes,yes,yes
request-2-2-2,reducing pressure on climatedamaging companies to change,allowing climatedamaging companies to continue harmful practices,yes,yes,yes,yes
request-2-2-3,allowing climatedamaging companies to continue harmful practices,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-3-0,buying from companies that mess the climate,supporting business models of climatedamaging companies,yes,yes,yes,yes
request-2-3-1,supporting business models of climatedamaging companies,discouraging transitions to sustainable practices,yes,yes,yes,yes
request-2-3-2,discouraging transitions to sustainable practices,perpetuating harmful practices by climatedamaging companies,yes,yes,yes,yes
request-2-3-3,perpetuating harmful practices by climatedamaging companies,keeping of climatedamaging companies,yes,yes,yes,yes
request-3-0-0,systemic change,policy reform,yes,no,no,yes
request-3-0-1,policy reform,reduced carbon emissions,yes,no,yes,no
request-3-0-2,reduced carbon emissions,decrease in global warming,yes,no,yes,no
request-3-0-3,decrease in global warming,improved environmental conditions,yes,yes,yes,yes
request-3-0-4,improved environmental conditions,progress in climate change,no,no,no,no
request-3-1-0,systemic change,technological innovation,no,yes,no,yes
request-3-1-1,technological innovation,development of renewable energy,yes,yes,yes,no
request-3-1-2,development of renewable energy,reduced dependence on fossil fuels,yes,yes,yes,yes
request-3-1-3,reduced dependence on fossil fuels,decrease in global warming,yes,no,yes,no
request-3-1-4,decrease in global warming,progress in climate change,no,yes,no,no
request-3-2-0,systemic change,public awareness campaigns,no,no,no,no
request-3-2-1,public awareness campaigns,changes in individual behavior,yes,no,yes,no
request-3-2-2,changes in individual behavior,lower energy consumption,yes,no,yes,no
request-3-2-3,lower energy consumption,reduced carbon emissions,yes,no,yes,no
request-3-2-4,reduced carbon emissions,progress in climate change,yes,yes,yes,no
request-3-3-0,systemic change,shifts in economic priorities,yes,yes,yes,yes
request-3-3-1,shifts in economic priorities,increased investment in green infrastructure,yes,yes,yes,yes
request-3-3-2,increased investment in green infrastructure,enhanced renewable energy adoption,yes,yes,yes,yes
request-3-3-3,enhanced renewable energy adoption,reduced greenhouse gas emissions,yes,no,yes,no
request-3-3-4,reduced greenhouse gas emissions,progress in climate change,yes,yes,yes,no
request-3-4-0,systemic change,international cooperation,no,yes,yes,yes
request-3-4-1,international cooperation,implementation of global climate agreements,yes,yes,yes,yes
request-3-4-2,implementation of global climate agreements,coordinated reduction in emissions,yes,no,yes,yes
request-3-4-3,coordinated reduction in emissions,mitigation of climaterelated risks,yes,yes,yes,no
request-3-4-4,mitigation of climaterelated risks,progress in climate change,no,yes,yes,no
request-3-5-0,systemic change,financial incentives for sustainability,yes,no,no,no
request-3-5-1,financial incentives for sustainability,transition to ecofriendly industries,yes,yes,yes,yes
request-3-5-2,transition to ecofriendly industries,reduction in industrial pollution,yes,no,yes,no
request-3-5-3,reduction in industrial pollution,decreased environmental degradation,yes,yes,yes,no
request-3-5-4,decreased environmental degradation,progress in climate change,yes,yes,yes,yes
request-4-0-0,ultra wealthy people,high disposable income,no,no,no,no
request-4-0-1,high disposable income,frequent luxury consumption,no,no,yes,no
request-4-0-2,frequent luxury consumption,increased production of luxury goods,yes,no,no,no
request-4-0-3,increased production of luxury goods,higher energy consumption and resource use,yes,yes,yes,yes
request-4-0-4,higher energy consumption and resource use,more carbon footprint,yes,no,yes,yes
request-4-1-0,ultra wealthy people,ownership of multiple properties,yes,no,no,no
request-4-1-1,ownership of multiple properties,high energy use for maintenance and operation,yes,no,yes,no
request-4-1-2,high energy use for maintenance and operation,increased carbon emissions from energy consumption,yes,no,yes,yes
request-4-1-3,increased carbon emissions from energy consumption,more carbon footprint,yes,yes,yes,yes
request-4-2-0,ultra wealthy people,frequent use of private jets,yes,no,yes,no
request-4-2-1,frequent use of private jets,high fossil fuel consumption,yes,no,yes,yes
request-4-2-2,high fossil fuel consumption,increased greenhouse gas emissions,yes,no,yes,no
request-4-2-3,increased greenhouse gas emissions,more carbon footprint,yes,yes,yes,yes
request-4-3-0,ultra wealthy people,purchase of luxury vehicles,yes,no,no,no
request-4-3-1,purchase of luxury vehicles,higher fuel consumption,no,no,no,no
request-4-3-2,higher fuel consumption,increased greenhouse gas emissions,yes,no,yes,no
request-4-3-3,increased greenhouse gas emissions,more carbon footprint,yes,yes,yes,yes
request-4-4-0,ultra wealthy people,demand for resourceintensive products,yes,no,no,no
request-4-4-1,demand for resourceintensive products,increased industrial production,yes,yes,yes,yes
request-4-4-2,increased industrial production,higher energy usage and emissions from factories,yes,no,yes,yes
request-4-4-3,higher energy usage and emissions from factories,more carbon footprint,yes,yes,yes,yes
request-4-5-0,ultra wealthy people,indulging in exclusive highenergy activities,yes,no,no,no
request-4-5-1,indulging in exclusive highenergy activities,excessive fuel burning,yes,no,yes,no
request-4-5-2,excessive fuel burning,increased greenhouse gas emissions,yes,no,yes,no
request-4-5-3,increased greenhouse gas emissions,more carbon footprint,yes,yes,yes,yes
request-4-6-0,ultra wealthy people,influence on setting consumer trends,yes,no,yes,yes
request-4-6-1,influence on setting consumer trends,popularization of resourceintensive lifestyles,yes,yes,yes,yes
request-4-6-2,popularization of resourceintensive lifestyles,increased demand for highemission goods and services,yes,yes,yes,yes
request-4-6-3,increased demand for highemission goods and services,more carbon footprint,yes,no,yes,no
request-4-7-0,ultra wealthy people,investments in highemission industries,yes,no,no,no
request-4-7-1,investments in highemission industries,funding of fossil fuelbased infrastructure,yes,yes,yes,no
request-4-7-2,funding of fossil fuelbased infrastructure,perpetuation of high carbon emitting systems,yes,yes,yes,yes
request-4-7-3,perpetuation of high carbon emitting systems,more carbon footprint,yes,yes,yes,yes
request-5-0-0,porks craddling into pools that often break loose,the pools breaking loose,no,no,no,no
request-5-0-1,the pools breaking loose,the release of contaminants into the surrounding environment,yes,no,yes,no
request-5-0-2,the release of contaminants into the surrounding environment,the contamination of water bodies and soil,yes,yes,yes,yes
request-5-0-3,the contamination of water bodies and soil,the disruption of ecosystems,yes,yes,yes,yes
request-5-0-4,the disruption of ecosystems,massive environmental damage,yes,yes,yes,yes
request-5-1-0,porks craddling into pools that often break loose,the pools breaking loose,no,no,no,no
request-5-1-1,the pools breaking loose,flooding from the pools spreading waste,yes,no,no,yes
request-5-1-2,flooding from the pools spreading waste,high levels of toxins affecting nearby habitats,yes,no,yes,yes
request-5-1-3,high levels of toxins affecting nearby habitats,the death of plant and animal species,yes,yes,yes,yes
request-5-1-4,the death of plant and animal species,massive environmental damage,yes,yes,yes,yes
request-5-2-0,porks craddling into pools that often break loose,the pools breaking loose,no,no,no,no
request-5-2-1,the pools breaking loose,harmful waste entering rivers and streams,yes,no,no,no
request-5-2-2,harmful waste entering rivers and streams,pollution reaching agricultural lands,yes,yes,yes,yes
request-5-2-3,pollution reaching agricultural lands,reduced soil fertility and poisoning of food crops,yes,yes,yes,yes
request-5-2-4,reduced soil fertility and poisoning of food crops,massive environmental damage,yes,yes,yes,yes
request-5-3-0,porks craddling into pools that often break loose,the pools breaking loose,no,no,no,no
request-5-3-1,the pools breaking loose,the spread of pathogens and bacteria into natural water systems,yes,no,yes,yes
request-5-3-2,the spread of pathogens and bacteria into natural water systems,waterborne diseases affecting wildlife and humans,yes,yes,yes,yes
request-5-3-3,waterborne diseases affecting wildlife and humans,the collapse of ecosystems,yes,yes,yes,yes
request-5-3-4,the collapse of ecosystems,massive environmental damage,yes,yes,yes,yes
request-6-0-0,having fewer children,lower population growth,yes,no,yes,no
request-6-0-1,lower population growth,reduced demand for resources,yes,no,yes,no
request-6-0-2,reduced demand for resources,lower energy consumption,yes,yes,yes,yes
request-6-0-3,lower energy consumption,reduced greenhouse gas emissions,yes,no,yes,no
request-6-0-4,reduced greenhouse gas emissions,lower carbon footprint,yes,yes,yes,yes
request-6-1-0,having fewer children,lower population growth,yes,no,yes,yes
request-6-1-1,lower population growth,reduced urban expansion,yes,no,yes,no
request-6-1-2,reduced urban expansion,preservation of natural ecosystems,yes,yes,yes,yes
request-6-1-3,preservation of natural ecosystems,increased carbon absorption,yes,yes,yes,yes
request-6-1-4,increased carbon absorption,lower carbon footprint,yes,no,yes,no
request-6-2-0,having fewer children,lower population growth,yes,no,yes,no
request-6-2-1,lower population growth,reduced transportation needs,yes,no,yes,no
request-6-2-2,reduced transportation needs,reduced fuel consumption,yes,no,yes,no
request-6-2-3,reduced fuel consumption,lower greenhouse gas emissions,yes,yes,yes,no
request-6-2-4,lower greenhouse gas emissions,lower carbon footprint,yes,yes,yes,yes
request-6-3-0,having fewer children,lower household energy usage,yes,no,no,no
request-6-3-1,lower household energy usage,reduced electricity demand,yes,yes,yes,yes
request-6-3-2,reduced electricity demand,lower dependence on fossil fuels,yes,no,no,no
request-6-3-3,lower dependence on fossil fuels,reduced greenhouse gas emissions,yes,yes,yes,no
request-6-3-4,reduced greenhouse gas emissions,lower carbon footprint,yes,yes,yes,yes
request-6-4-0,having fewer children,reduced consumption of goods,no,no,no,no
request-6-4-1,reduced consumption of goods,lower industrial production,yes,yes,yes,no
request-6-4-2,lower industrial production,lower greenhouse gas emissions,yes,no,yes,no
request-6-4-3,lower greenhouse gas emissions,lower carbon footprint,yes,yes,yes,yes
request-6-5-0,having fewer children,reduced waste generation,yes,no,yes,no
request-6-5-1,reduced waste generation,lower methane emissions from landfills,yes,no,yes,yes
request-6-5-2,lower methane emissions from landfills,lower carbon footprint  ,yes,yes,yes,no
request-7-0-0,climate change,increased atmospheric greenhouse gas concentration,no,yes,no,yes
request-7-0-1,increased atmospheric greenhouse gas concentration,higher global temperatures,yes,no,yes,no
request-7-0-2,higher global temperatures,warmer ocean temperatures,yes,yes,yes,yes
request-7-0-3,warmer ocean temperatures,increased evaporation and moisture in the atmosphere,yes,no,yes,no
request-7-0-4,increased evaporation and moisture in the atmosphere,stronger hurricanes,yes,yes,yes,no
request-7-0-5,stronger hurricanes,increased rainfall during hurricane harvey,yes,no,no,no
request-7-0-6,increased rainfall during hurricane harvey,overwhelmed drainage systems in houston,yes,no,yes,no
request-7-0-7,overwhelmed drainage systems in houston,widespread flooding in houston,yes,yes,yes,yes
request-7-0-8,widespread flooding in houston,doubling of flooded houston homes in hurricane harvey,yes,yes,yes,no
request-7-1-0,climate change,melting polar ice caps and glaciers,yes,no,yes,no
request-7-1-1,melting polar ice caps and glaciers,rising sea levels,yes,no,yes,no
request-7-1-2,rising sea levels,higher baseline water levels in houston's coastal areas,yes,no,yes,yes
request-7-1-3,higher baseline water levels in houston's coastal areas,reduced capacity to absorb heavy rainfall,yes,yes,yes,no
request-7-1-4,reduced capacity to absorb heavy rainfall,increased flooding during hurricane harvey,yes,yes,yes,yes
request-7-1-5,increased flooding during hurricane harvey,doubling of flooded houston homes in hurricane harvey,yes,no,yes,no
request-7-2-0,climate change,warmer atmospheric conditions,yes,yes,yes,yes
request-7-2-1,warmer atmospheric conditions,increased intensity and frequency of hurricanes,yes,no,yes,no
request-7-2-2,increased intensity and frequency of hurricanes,more severe storms including hurricane harvey,yes,no,yes,yes
request-7-2-3,more severe storms including hurricane harvey,greater precipitation during hurricane harvey,yes,no,yes,no
request-7-2-4,greater precipitation during hurricane harvey,widespread flooding in houston,yes,no,yes,no
request-7-2-5,widespread flooding in houston,doubling of flooded houston homes in hurricane harvey,yes,yes,yes,no
request-7-3-0,climate change,warmer air temperatures,yes,no,yes,yes
request-7-3-1,warmer air temperatures,increased air's capacity to hold water vapor,yes,no,yes,no
request-7-3-2,increased air's capacity to hold water vapor,heavier downpours during hurricane harvey,yes,no,yes,yes
request-7-3-3,heavier downpours during hurricane harvey,overwhelmed houston's infrastructure,yes,no,yes,no
request-7-3-4,overwhelmed houston's infrastructure,flooding of residential areas,yes,yes,yes,yes
request-7-3-5,flooding of residential areas,doubling of flooded houston homes in hurricane harvey,yes,yes,yes,yes
request-8-0-0,methane,greenhouse effect,yes,no,yes,no
request-8-0-1,greenhouse effect,global warming,yes,no,yes,no
request-8-0-2,global warming,air pollution,no,yes,no,yes
request-8-1-0,methane,greenhouse gases,yes,no,yes,no
request-8-1-1,greenhouse gases,rising temperatures,yes,no,yes,no
request-8-1-2,rising temperatures,air pollution,no,yes,no,yes
request-8-2-0,methane,atmospheric heating,yes,no,yes,no
request-8-2-1,atmospheric heating,climate change,yes,yes,yes,yes
request-8-2-2,climate change,environmental pollution,no,yes,no,yes
request-8-3-0,methane,carbon emissions,no,no,yes,no
request-8-3-1,carbon emissions,degraded air quality,yes,no,yes,no
request-8-3-2,degraded air quality,pollution,no,yes,yes,yes
request-8-4-0,methane,increased radiative forcing,yes,no,yes,yes
request-8-4-1,increased radiative forcing,altered ecosystems,yes,yes,yes,yes
request-8-4-2,altered ecosystems,pollution,no,yes,yes,yes
request-9-0-0,melting of antarctic ice,exposure of methane pockets,yes,no,yes,no
request-9-0-1,exposure of methane pockets,methane pockets unabsorbed by microorganisms,yes,yes,no,yes
request-9-0-2,methane pockets unabsorbed by microorganisms,release of methane into the atmosphere,yes,yes,yes,no
request-9-1-0,melting of antarctic ice,destabilization of methane clathrates,yes,no,yes,no
request-9-1-1,destabilization of methane clathrates,methane pockets unabsorbed by microorganisms,yes,yes,yes,no
request-9-1-2,methane pockets unabsorbed by microorganisms,release of methane into the atmosphere,yes,yes,yes,no
request-10-0-0,lunar wobble,changes in moon's gravitational pull,no,yes,yes,no
request-10-0-1,changes in moon's gravitational pull,alteration in tidal patterns,yes,no,yes,no
request-10-0-2,alteration in tidal patterns,increase in tidal range,yes,yes,yes,no
request-10-0-3,increase in tidal range,more frequent high tides,no,no,no,no
request-10-0-4,more frequent high tides,increased stress on coastal defenses,yes,no,yes,no
request-10-0-5,increased stress on coastal defenses,coastal flooding in the 2030s,yes,yes,yes,yes
request-10-0-6,coastal flooding in the 2030s,changes in the coastline,yes,yes,"i can't predict future events, so i cannot answer this question definitively",no
request-10-1-0,lunar wobble,changes in moon's gravitational pull,no,yes,yes,no
request-10-1-1,changes in moon's gravitational pull,alteration in tidal patterns,yes,no,yes,no
request-10-1-2,alteration in tidal patterns,increase in tidal range,yes,yes,yes,no
request-10-1-3,increase in tidal range,more frequent high tides,no,no,no,no
request-10-1-4,more frequent high tides,erosion of natural coastal barriers,yes,no,no,no
request-10-1-5,erosion of natural coastal barriers,coastal flooding in the 2030s,yes,yes,yes,no
request-10-1-6,coastal flooding in the 2030s,changes in the coastline,yes,yes,i'm unable to predict the events of the 2030s,no
request-10-2-0,lunar wobble,changes in moon's gravitational pull,no,yes,yes,no
request-10-2-1,changes in moon's gravitational pull,alteration in tidal patterns,yes,no,yes,no
request-10-2-2,alteration in tidal patterns,increase in tidal range,yes,yes,yes,no
request-10-2-3,increase in tidal range,more frequent low tides,no,no,no,no
request-10-2-4,more frequent low tides,disruption of sediment deposition,yes,no,no,no
request-10-2-5,disruption of sediment deposition,weakening of natural coastal barriers,yes,yes,yes,yes
request-10-2-6,weakening of natural coastal barriers,coastal flooding in the 2030s,yes,yes,yes,no
request-10-2-7,coastal flooding in the 2030s,changes in the coastline,yes,yes,"i'm unable to predict future events, including coastline changes in the 2030s",no
request-10-3-0,lunar wobble,changes in moon's gravitational pull,no,yes,yes,no
request-10-3-1,changes in moon's gravitational pull,alteration in tidal patterns,yes,no,yes,no
request-10-3-2,alteration in tidal patterns,increase in tidal range,yes,yes,yes,no
request-10-3-3,increase in tidal range,more extreme tidal cycles,yes,yes,yes,yes
request-10-3-4,more extreme tidal cycles,stress on human coastal infrastructure,yes,no,yes,no
request-10-3-5,stress on human coastal infrastructure,coastal flooding in the 2030s,yes,yes,yes,yes
request-10-3-6,coastal flooding in the 2030s,changes in the coastline,yes,yes,"i'm sorry, but i can't predict events or conditions in the 2030s",no
request-10-4-0,lunar wobble,changes in moon's gravitational pull,no,yes,yes,no
request-10-4-1,changes in moon's gravitational pull,alteration in tidal patterns,yes,no,yes,no
request-10-4-2,alteration in tidal patterns,increase in tidal range,yes,yes,yes,no
request-10-4-3,increase in tidal range,amplification of storm surges,yes,no,yes,yes
request-10-4-4,amplification of storm surges,severe coastal inundation,yes,no,yes,no
request-10-4-5,severe coastal inundation,coastal flooding in the 2030s,yes,i'm unable to predict specific events or provide definitive answers about the future,yes,i'm unable to predict specific events or confirm future outcomes
request-10-4-6,coastal flooding in the 2030s,changes in the coastline,yes,yes,"i can't predict future events, including specific changes in the coastline in the 2030s",no
request-11-0-0,drought,water scarcity,yes,no,yes,no
request-11-0-1,water scarcity,decreased agricultural productivity,yes,no,yes,no
request-11-0-2,decreased agricultural productivity,food shortages,yes,no,yes,no
request-11-0-3,food shortages,human migration,yes,no,yes,no
request-11-0-4,human migration,population redistribution,yes,yes,yes,yes
request-11-0-5,population redistribution,updates to population boundaries,yes,yes,yes,no
request-11-0-6,updates to population boundaries,changes in geography maps,yes,yes,yes,no
request-11-1-0,drought,water scarcity,yes,no,yes,no
request-11-1-1,water scarcity,decreased water availability for ecosystems,yes,yes,yes,yes
request-11-1-2,decreased water availability for ecosystems,loss of vegetation,yes,yes,yes,yes
request-11-1-3,loss of vegetation,desertification,yes,yes,yes,yes
request-11-1-4,desertification,shifts in land use,yes,yes,yes,yes
request-11-1-5,shifts in land use,updates to land use areas,yes,yes,yes,yes
request-11-1-6,updates to land use areas,changes in geography maps,yes,yes,yes,yes
request-11-2-0,drought,water scarcity,yes,no,yes,no
request-11-2-1,water scarcity,reduction of river flow,yes,yes,yes,yes
request-11-2-2,reduction of river flow,changes in river courses,yes,yes,yes,yes
request-11-2-3,changes in river courses,updates to river boundaries,yes,yes,yes,no
request-11-2-4,updates to river boundaries,changes in geography maps,yes,yes,yes,yes
request-11-3-0,drought,water scarcity,yes,no,yes,no
request-11-3-1,water scarcity,loss of vegetation,yes,yes,yes,yes
request-11-3-2,loss of vegetation,increased soil erosion,yes,yes,yes,yes
request-11-3-3,increased soil erosion,alterations in landforms,yes,yes,yes,yes
request-11-3-4,alterations in landforms,updates to terrain features,yes,yes,yes,yes
request-11-3-5,updates to terrain features,changes in geography maps,yes,yes,yes,yes
request-11-4-0,drought,water scarcity,yes,no,yes,no
request-11-4-1,water scarcity,increased reliance on groundwater,yes,yes,yes,yes
request-11-4-2,increased reliance on groundwater,depletion of aquifers,yes,yes,yes,yes
request-11-4-3,depletion of aquifers,sinking land surfaces,yes,no,yes,no
request-11-4-4,sinking land surfaces,changes in elevation data,yes,no,yes,yes
request-11-4-5,changes in elevation data,changes in geography maps  ,yes,no,yes,yes
request-12-0-0,changes in geographical maps,changes in territorial boundaries,no,yes,no,yes
request-12-0-1,changes in territorial boundaries,political disputes,yes,yes,yes,yes
request-12-0-2,political disputes,decreased political stability,yes,yes,yes,yes
request-12-0-3,decreased political stability,increased conflict,yes,yes,yes,yes
request-12-0-4,increased conflict,displacement of populations,yes,yes,yes,yes
request-12-0-5,displacement of populations,migration issues,yes,yes,yes,yes
request-12-1-0,changes in geographical maps,alteration of resource distribution,yes,yes,yes,yes
request-12-1-1,alteration of resource distribution,economic hardship in certain regions,yes,yes,yes,yes
request-12-1-2,economic hardship in certain regions,reduced livelihood opportunities,yes,yes,yes,yes
request-12-1-3,reduced livelihood opportunities,forced relocation,yes,yes,yes,yes
request-12-1-4,forced relocation,migration issues,yes,yes,yes,yes
request-12-2-0,changes in geographical maps,reconfiguration of infrastructure routes,yes,yes,yes,yes
request-12-2-1,reconfiguration of infrastructure routes,disruption in transportation networks,yes,yes,yes,yes
request-12-2-2,disruption in transportation networks,reduced access to essential services,yes,yes,yes,yes
request-12-2-3,reduced access to essential services,population displacement,yes,yes,yes,yes
request-12-2-4,population displacement,migration issues,yes,yes,yes,yes
request-12-3-0,changes in geographical maps,modifications of regional classifications,yes,yes,no,yes
request-12-3-1,modifications of regional classifications,changes in government policies,yes,yes,no,yes
request-12-3-2,changes in government policies,restriction of movement,yes,yes,yes,no
request-12-3-3,restriction of movement,increased population pressure,yes,yes,no,yes
request-12-3-4,increased population pressure,migration issues,yes,yes,yes,yes
request-12-4-0,changes in geographical maps,shifts in land ownership,no,yes,no,yes
request-12-4-1,shifts in land ownership,land disputes,yes,yes,yes,yes
request-12-4-2,land disputes,evictions of communities,yes,yes,yes,yes
request-12-4-3,evictions of communities,forced population movement,yes,yes,yes,yes
request-12-4-4,forced population movement,migration issues  ,yes,yes,yes,no
request-13-0-0,methane production,methane release into the atmosphere,yes,no,yes,no
request-13-0-1,methane release into the atmosphere,increase in greenhouse gases,yes,yes,yes,no
request-13-0-2,increase in greenhouse gases,enhanced greenhouse effect,yes,no,yes,yes
request-13-0-3,enhanced greenhouse effect,global warming,yes,yes,yes,no
request-13-0-4,global warming,environmental changes,yes,no,yes,yes
request-13-0-5,environmental changes,pollution,no,yes,no,yes
request-13-1-0,methane leakage from natural gas systems,release of methane into the atmosphere,yes,no,yes,yes
request-13-1-1,release of methane into the atmosphere,contribution to greenhouse gas accumulation,yes,yes,yes,yes
request-13-1-2,contribution to greenhouse gas accumulation,increase in atmospheric temperatures,yes,yes,yes,no
request-13-1-3,increase in atmospheric temperatures,climate disruption,yes,yes,yes,yes
request-13-1-4,climate disruption,pollution,no,yes,no,yes
request-13-2-0,methane emissions from agriculture,methane release into the atmosphere,yes,no,yes,yes
request-13-2-1,methane release into the atmosphere,amplification of greenhouse gas effects,yes,yes,yes,no
request-13-2-2,amplification of greenhouse gas effects,rising global temperatures,yes,yes,yes,yes
request-13-2-3,rising global temperatures,ecosystem disturbances,yes,no,yes,yes
request-13-2-4,ecosystem disturbances,pollution,no,yes,yes,yes
request-14-0-0,methane release into arctic ocean sediments and waters,methane increases in arctic ocean,yes,yes,yes,no
request-14-0-1,methane increases in arctic ocean,methane contributes to warming water temperatures,yes,yes,yes,yes
request-14-0-2,methane contributes to warming water temperatures,warming water temperatures heat subsea permafrost,yes,yes,yes,yes
request-14-0-3,warming water temperatures heat subsea permafrost,the thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,no
request-14-1-0,methane release into arctic ocean sediments and waters,methane increases atmospheric greenhouse effect,yes,yes,yes,no
request-14-1-1,methane increases atmospheric greenhouse effect,increased greenhouse effect contributes to global warming,yes,yes,yes,yes
request-14-1-2,increased greenhouse effect contributes to global warming,global warming,yes,yes,yes,yes
request-14-1-3,global warming,warming arctic ocean melts subsea permafrost,yes,yes,yes,no
request-14-1-4,warming arctic ocean melts subsea permafrost,the thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,yes
request-14-2-0,methane release into arctic ocean sediments and waters,methane bubbles rise to the surface,yes,yes,yes,yes
request-14-2-1,methane bubbles rise to the surface,methane enters the atmosphere and amplifies global warming,yes,yes,yes,yes
request-14-2-2,methane enters the atmosphere and amplifies global warming,"global warming increases atmospheric heat, warming the ocean",yes,yes,yes,yes
request-14-2-3,"global warming increases atmospheric heat, warming the ocean",warming ocean accelerates the thawing of subsea permafrost,yes,yes,yes,yes
request-14-2-4,warming ocean accelerates the thawing of subsea permafrost,the thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,no
request-15-0-0,methane,greenhouse gas emissions,yes,no,yes,yes
request-15-0-1,greenhouse gas emissions,global warming,yes,no,yes,no
request-15-0-2,global warming,increase in ocean temperatures,yes,no,yes,no
request-15-0-3,increase in ocean temperatures,destabilization of methane hydrates in ocean sediments,yes,no,yes,no
request-15-0-4,destabilization of methane hydrates in ocean sediments,the release of ancient carbon from sediment into the atmosphere,yes,yes,yes,yes
request-15-1-0,methane,greenhouse gas emissions,yes,no,yes,yes
request-15-1-1,greenhouse gas emissions,global warming,yes,no,yes,no
