custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-3-1-3,clean energy transition,fossil fuel displacement,yes,yes,yes,yes
request-3-1-4,fossil fuel displacement,emission reduction,yes,yes,yes,yes
request-3-1-5,emission reduction,climate stabilization,yes,yes,yes,no
request-3-1-6,climate stabilization,progress in climate change,no,no,no,no
request-3-2-0,systemic change,technological innovation,yes,yes,yes,yes
request-3-2-1,technological innovation,clean technology development,yes,yes,yes,no
request-3-2-2,clean technology development,widespread adoption,no,yes,no,no
request-3-2-3,widespread adoption,energy decarbonization,no,no,no,no
request-3-2-4,energy decarbonization,emission reduction,yes,yes,yes,yes
request-3-2-5,emission reduction,temperature rise mitigation,yes,yes,yes,no
request-3-2-6,temperature rise mitigation,progress in climate change,yes,no,no,no
request-3-3-0,systemic change,public awareness growth,yes,yes,no,yes
request-3-3-1,public awareness growth,behavioral shifts,yes,yes,yes,yes
request-3-3-2,behavioral shifts,sustainable practices adoption,yes,yes,yes,yes
request-3-3-3,sustainable practices adoption,resource consumption decline,yes,yes,yes,no
request-3-3-4,resource consumption decline,emission reduction,yes,no,yes,no
request-3-3-5,emission reduction,environmental impact decrease,yes,yes,yes,yes
request-3-3-6,environmental impact decrease,progress in climate change,no,no,no,no
request-3-4-0,systemic change,corporate governance overhaul,yes,yes,yes,yes
request-3-4-1,corporate governance overhaul,sustainability commitments,yes,yes,no,no
request-3-4-2,sustainability commitments,supply chain decarbonization,yes,no,yes,no
request-3-4-3,supply chain decarbonization,operational emission cuts,yes,yes,no,yes
request-3-4-4,operational emission cuts,sectorwide reductions,yes,yes,yes,yes
request-3-4-5,sectorwide reductions,economywide impact,yes,yes,yes,yes
request-3-4-6,economywide impact,progress in climate change,no,yes,yes,yes
request-3-5-0,systemic change,international cooperation,no,yes,no,yes
request-3-5-1,international cooperation,global climate agreements,yes,yes,yes,no
request-3-5-2,global climate agreements,national policy alignment,yes,no,no,no
request-3-5-3,national policy alignment,emission target enforcement,no,yes,no,no
request-3-5-4,emission target enforcement,collective action scaling,yes,no,no,no
request-3-5-5,collective action scaling,global emission peak,yes,yes,yes,no
request-3-5-6,global emission peak,progress in climate change,yes,no,no,no
request-3-6-0,systemic change,ecological conservation,no,yes,no,no
request-3-6-1,ecological conservation,ecosystem restoration,yes,yes,yes,no
request-3-6-2,ecosystem restoration,carbon sequestration enhancement,yes,yes,yes,no
request-3-6-3,carbon sequestration enhancement,atmospheric co2 removal,yes,yes,yes,yes
request-3-6-4,atmospheric co2 removal,climate system recovery,yes,yes,no,no
request-3-6-5,climate system recovery,biodiversity resilience boost,yes,yes,no,no
request-3-6-6,biodiversity resilience boost,progress in climate change,yes,no,no,no
request-3-7-0,systemic change,educational system integration,yes,yes,yes,no
request-3-7-1,educational system integration,climate literacy expansion,yes,yes,yes,no
request-3-7-2,climate literacy expansion,societal value shift,yes,yes,yes,yes
request-3-7-3,societal value shift,proenvironmental advocacy,yes,yes,yes,yes
request-3-7-4,proenvironmental advocacy,policy maker pressure,yes,no,yes,no
request-3-7-5,policy maker pressure,legislative action acceleration,yes,yes,yes,yes
request-3-7-6,legislative action acceleration,progress in climate change,yes,yes,no,no
request-3-8-0,systemic change,financial system reform,yes,yes,yes,yes
request-3-8-1,financial system reform,green financing mechanisms,yes,yes,yes,no
request-3-8-2,green financing mechanisms,lowcarbon project funding,yes,yes,yes,yes
request-3-8-3,lowcarbon project funding,clean infrastructure development,yes,yes,yes,yes
request-3-8-4,clean infrastructure development,emissionintensive sector phaseout,yes,yes,yes,no
request-3-8-5,emissionintensive sector phaseout,netzero trajectory achievement,yes,no,no,yes
request-3-8-6,netzero trajectory achievement,progress in climate change,yes,no,no,no
request-3-9-0,systemic change,urban planning transformation,yes,yes,yes,yes
request-3-9-1,urban planning transformation,sustainable city design,yes,yes,yes,yes
request-3-9-2,sustainable city design,energyefficient infrastructure,yes,yes,yes,yes
request-3-9-3,energyefficient infrastructure,urban emission decrease,yes,no,yes,no
request-3-9-4,urban emission decrease,quality of life improvement,yes,yes,yes,no
request-3-9-5,quality of life improvement,replicable model creation,no,yes,no,yes
request-3-9-6,replicable model creation,progress in climate change,yes,yes,no,no
request-4-0-0,<ultra wealthy people>,ownership of multiple properties,yes,no,yes,no
request-4-0-1,ownership of multiple properties,high energy consumption,yes,no,no,no
request-4-0-2,high energy consumption,more carbon footprint,yes,yes,yes,yes
request-4-1-0,ultra wealthy people>,private jet usage,yes,no,yes,no
request-4-1-1,private jet usage,increased aviation emissions,yes,no,yes,yes
request-4-1-2,increased aviation emissions,more carbon footprint,yes,yes,yes,yes
request-4-2-0,ultra wealthy people>,luxury goods consumption,yes,no,yes,no
request-4-2-1,luxury goods consumption,resourceintensive production,yes,no,yes,no
request-4-2-2,resourceintensive production,higher emissions,yes,yes,yes,yes
request-4-2-3,higher emissions,more carbon footprint,yes,yes,yes,yes
request-4-3-0,ultra wealthy people>,investments in polluting industries,yes,no,yes,no
request-4-3-1,investments in polluting industries,increased industrial emissions,yes,no,yes,no
request-4-3-2,increased industrial emissions,more carbon footprint,yes,yes,yes,yes
request-4-4-0,ultra wealthy people>,social influence on consumption patterns,yes,no,no,no
request-4-4-1,social influence on consumption patterns,widespread highemission behaviors,yes,yes,yes,yes
request-4-4-2,widespread highemission behaviors,more carbon footprint,yes,no,yes,yes
request-4-5-0,ultra wealthy people>,political lobbying against environmental policies,yes,no,yes,no
request-4-5-1,political lobbying against environmental policies,lax emissions regulations,yes,yes,yes,no
request-4-5-2,lax emissions regulations,increased industrial emissions,yes,no,yes,no
request-4-5-3,increased industrial emissions,more carbon footprint,yes,yes,yes,yes
request-4-6-0,ultra wealthy people>,frequent longdistance travel,yes,no,no,no
request-4-6-1,frequent longdistance travel,aviation fuel consumption,yes,no,yes,no
request-4-6-2,aviation fuel consumption,increased emissions,yes,no,yes,no
request-4-6-3,increased emissions,more carbon footprint,yes,yes,yes,yes
request-4-7-0,ultra wealthy people>,ownership of energyintensive assets,yes,no,yes,no
request-4-7-1,ownership of energyintensive assets,high fossil fuel dependency,yes,no,yes,yes
request-4-7-2,high fossil fuel dependency,increased emissions,yes,yes,yes,no
request-4-7-3,increased emissions,more carbon footprint,yes,yes,yes,yes
request-4-8-0,ultra wealthy people>,demand for 24/7 services,yes,no,no,no
request-4-8-1,demand for 24/7 services,energyintensive service operations,yes,yes,yes,no
request-4-8-2,energyintensive service operations,higher emissions,yes,no,yes,yes
request-4-8-3,higher emissions,more carbon footprint,yes,yes,yes,yes
request-4-9-0,ultra wealthy people>,real estate development investments,yes,no,yes,no
request-4-9-1,real estate development investments,deforestation and habitat destruction,yes,no,yes,yes
request-4-9-2,deforestation and habitat destruction,reduced carbon sequestration,yes,no,yes,no
request-4-9-3,reduced carbon sequestration,more carbon footprint,yes,yes,yes,no
request-5-0-0,porks craddling into pools that often break loose,uncontained pigs escape into natural habitats,no,no,no,no
request-5-0-1,uncontained pigs escape into natural habitats,escaped pigs overgraze vegetation,yes,yes,yes,yes
request-5-0-2,escaped pigs overgraze vegetation,vegetation loss destabilizes soil,yes,no,yes,yes
request-5-0-3,vegetation loss destabilizes soil,soil erosion increases sedimentation in waterways,yes,no,yes,yes
request-5-0-4,soil erosion increases sedimentation in waterways,sedimentation smothers aquatic ecosystems,yes,yes,yes,yes
request-5-0-5,sedimentation smothers aquatic ecosystems,ecosystem collapse causes massive environmental damage,yes,yes,yes,no
request-5-1-0,porks craddling into pools that often break loose,manure from ruptured pools contaminates groundwater,yes,no,no,yes
request-5-1-1,manure from ruptured pools contaminates groundwater,nutrientrich runoff triggers algal blooms,yes,yes,yes,no
request-5-1-2,nutrientrich runoff triggers algal blooms,algal blooms deplete oxygen in water,yes,yes,yes,yes
request-5-1-3,algal blooms deplete oxygen in water,hypoxic zones kill aquatic life,yes,yes,yes,yes
request-5-1-4,hypoxic zones kill aquatic life,biodiversity loss disrupts food chains,yes,yes,yes,no
request-5-1-5,biodiversity loss disrupts food chains,cascading extinctions result in massive environmental damage,yes,yes,yes,yes
request-5-2-0,porks craddling into pools that often break loose,feral pig populations expand uncontrollably,no,no,no,no
request-5-2-1,feral pig populations expand uncontrollably,pigs uproot soil in search of food,no,yes,yes,no
request-5-2-2,pigs uproot soil in search of food,widespread root destruction weakens landscapes,yes,yes,yes,no
request-5-2-3,widespread root destruction weakens landscapes,landslides and erosion degrade habitats,yes,yes,yes,yes
request-5-2-4,landslides and erosion degrade habitats,habitat fragmentation isolates wildlife,yes,no,yes,no
request-5-2-5,habitat fragmentation isolates wildlife,ecosystem degradation culminates in massive environmental damage,yes,yes,yes,yes
request-6-0-0,having fewer children,slower population growth,yes,yes,yes,no
request-6-0-1,slower population growth,lower resource consumption,no,yes,yes,no
request-6-0-2,lower resource consumption,reduced carbon footprint,yes,no,yes,no
request-6-1-0,having fewer children,smaller family size,yes,no,yes,no
request-6-1-1,smaller family size,reduced household energy consumption,yes,no,yes,no
request-6-1-2,reduced household energy consumption,reduced carbon footprint,yes,no,yes,no
request-6-2-0,having fewer children,increased investment in education,yes,yes,no,no
request-6-2-1,increased investment in education,higher environmental awareness,yes,no,yes,no
request-6-2-2,higher environmental awareness,adoption of sustainable practices,yes,yes,yes,no
request-6-2-3,adoption of sustainable practices,reduced carbon footprint,yes,no,yes,no
request-6-3-0,having fewer children,reduced demand for housing and infrastructure,yes,no,yes,no
request-6-3-1,reduced demand for housing and infrastructure,decreased industrial activity,yes,yes,yes,yes
request-6-3-2,decreased industrial activity,lower emissions,yes,no,yes,no
request-6-3-3,lower emissions,reduced carbon footprint,yes,yes,yes,yes
request-6-4-0,having fewer children,reduced future population,yes,no,yes,no
request-6-4-1,reduced future population,decreased cumulative emissions,yes,no,yes,yes
request-6-4-2,decreased cumulative emissions,reduced carbon footprint,yes,yes,yes,yes
request-6-5-0,having fewer children,direct reduction in descendants' carbon emissions,no,yes,yes,no
request-6-5-1,direct reduction in descendants' carbon emissions,reduced carbon footprint,yes,no,no,no
request-6-6-0,having fewer children,aging population,yes,no,yes,no
request-6-6-1,aging population,policy focus on sustainability,yes,no,no,no
request-6-6-2,policy focus on sustainability,renewable energy adoption,yes,yes,yes,no
request-6-6-3,renewable energy adoption,reduced carbon footprint,yes,no,yes,yes
request-6-7-0,having fewer children,changes in consumption patterns,yes,yes,yes,no
request-6-7-1,changes in consumption patterns,reduced waste and emissions,yes,yes,yes,no
request-6-7-2,reduced waste and emissions,reduced carbon footprint,yes,yes,yes,no
request-6-8-0,having fewer children,lower food demand,yes,no,yes,no
request-6-8-1,lower food demand,reduced agricultural activity,yes,no,yes,no
request-6-8-2,reduced agricultural activity,lower methane emissions,yes,no,yes,yes
request-6-8-3,lower methane emissions,reduced carbon footprint,yes,yes,yes,no
request-6-9-0,having fewer children,reduced family transportation needs,yes,no,yes,no
request-6-9-1,reduced family transportation needs,lower vehicle emissions,yes,no,no,no
request-6-9-2,lower vehicle emissions,reduced carbon footprint,yes,no,yes,no
request-6-10-0,having fewer children,smaller housing needs,yes,no,yes,no
request-6-10-1,smaller housing needs,reduced energy consumption,yes,yes,yes,no
request-6-10-2,reduced energy consumption,reduced carbon footprint,yes,no,yes,no
request-7-0-0,climate change,warmer oceans,yes,yes,yes,no
request-7-0-1,warmer oceans,stronger hurricanes,yes,no,yes,yes
request-7-0-2,stronger hurricanes,more rainfall,yes,yes,yes,no
request-7-0-3,more rainfall,flooding,yes,no,yes,yes
request-7-0-4,flooding,doubling of flooded homes,no,no,yes,no
request-7-1-0,climate change,warmer atmosphere,yes,yes,yes,no
request-7-1-1,warmer atmosphere,higher atmospheric moisture,yes,yes,yes,no
request-7-1-2,higher atmospheric moisture,more intense rainfall,yes,no,yes,no
request-7-1-3,more intense rainfall,flooding,yes,no,yes,yes
request-7-1-4,flooding,doubling of flooded homes,no,no,yes,no
request-7-2-0,climate change,arctic warming,yes,yes,yes,no
request-7-2-1,arctic warming,weaker jet stream,yes,no,yes,no
request-7-2-2,weaker jet stream,slowermoving hurricane,yes,no,yes,no
request-7-2-3,slowermoving hurricane,prolonged rainfall,yes,no,yes,no
request-7-2-4,prolonged rainfall,flooding,yes,no,yes,no
request-7-2-5,flooding,doubling of flooded homes,no,no,yes,no
request-7-3-0,climate change,warmer oceans,yes,yes,yes,no
request-7-3-1,warmer oceans,rapid hurricane intensification,yes,no,yes,yes
request-7-3-2,rapid hurricane intensification,stronger hurricane,yes,no,yes,no
request-7-3-3,stronger hurricane,more rainfall,yes,no,yes,no
request-7-3-4,more rainfall,flooding,yes,no,yes,yes
request-7-3-5,flooding,doubling of flooded homes,no,no,yes,no
request-7-4-0,climate change,sea level rise,yes,no,yes,no
request-7-4-1,sea level rise,higher storm surges,yes,no,yes,no
request-7-4-2,higher storm surges,coastal flooding,yes,no,yes,no
request-7-4-3,coastal flooding,doubling of flooded homes,no,no,yes,no
request-7-5-0,climate change,increased extreme precipitation events,yes,no,yes,no
request-7-5-1,increased extreme precipitation events,recordbreaking rainfall,yes,yes,yes,no
request-7-5-2,recordbreaking rainfall,overwhelming drainage systems,yes,no,yes,no
request-7-5-3,overwhelming drainage systems,flooding,yes,yes,yes,no
request-7-5-4,flooding,doubling of flooded homes,no,no,yes,no
request-8-0-0,methane,methane emissions,yes,no,no,no
request-8-0-1,methane emissions,air pollution,yes,no,yes,no
request-8-1-0,methane,methane emissions,yes,no,no,no
request-8-1-1,methane emissions,ozone formation,yes,no,yes,no
request-8-1-2,ozone formation,air pollution,yes,yes,yes,yes
request-8-2-0,methane,methane emissions,yes,no,no,no
request-8-2-1,methane emissions,greenhouse effect,yes,no,yes,no
request-8-2-2,greenhouse effect,global warming,yes,no,yes,no
request-8-2-3,global warming,climate change,yes,yes,yes,no
request-8-2-4,climate change,environmental degradation,yes,yes,yes,no
request-8-2-5,environmental degradation,pollution,yes,yes,no,yes
request-8-3-0,methane,methane emissions,yes,no,no,no
request-8-3-1,methane emissions,greenhouse effect,yes,no,yes,no
request-8-3-2,greenhouse effect,global warming,yes,no,yes,no
request-8-3-3,global warming,extreme weather events,yes,no,yes,no
request-8-3-4,extreme weather events,natural disasters,yes,no,yes,no
request-8-3-5,natural disasters,pollution,yes,no,yes,no
request-8-4-0,methane,methane emissions,yes,no,no,no
request-8-4-1,methane emissions,greenhouse effect,yes,no,yes,no
request-8-4-2,greenhouse effect,global warming,yes,no,yes,no
request-8-4-3,global warming,forest fires,yes,yes,yes,no
request-8-4-4,forest fires,pollution,yes,no,yes,no
request-8-5-0,methane,methane leaks,no,no,no,yes
request-8-5-1,methane leaks,atmospheric contamination,yes,no,yes,no
request-8-5-2,atmospheric contamination,pollution,yes,yes,no,yes
request-8-6-0,methane,methane emissions,yes,no,no,no
request-8-6-1,methane emissions,smog formation,yes,no,yes,no
request-8-6-2,smog formation,pollution,yes,yes,no,yes
request-9-0-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,thawing of ice sheets containing methane hydrates,yes,yes,yes,yes
request-9-0-1,thawing of ice sheets containing methane hydrates,destabilization of methane hydrate structures,yes,yes,yes,yes
request-9-0-2,destabilization of methane hydrate structures,release of methane from hydrates into water,yes,yes,yes,no
request-9-0-3,release of methane from hydrates into water,methane buoyancydriven ascent through ocean layers,yes,no,yes,no
request-9-0-4,methane buoyancydriven ascent through ocean layers,release of methane into the atmosphere,yes,no,yes,no
request-9-1-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,freshwater influx from melting ice altering ocean salinity,yes,no,yes,yes
request-9-1-1,freshwater influx from melting ice altering ocean salinity,disruption of microbial methaneoxidizing communities,yes,no,yes,no
request-9-1-2,disruption of microbial methaneoxidizing communities,reduced methane consumption in marine environments,yes,yes,yes,no
request-9-1-3,reduced methane consumption in marine environments,methane accumulation in surface waters,yes,no,yes,no
request-9-1-4,methane accumulation in surface waters,release of methane into the atmosphere,yes,no,yes,no
request-9-2-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,exposure of subglacial methane reservoirs,yes,yes,yes,yes
request-9-2-1,exposure of subglacial methane reservoirs,fracturing of ice barriers trapping methane,yes,yes,yes,yes
request-9-2-2,fracturing of ice barriers trapping methane,rapid methane efflux through ice crevasses,yes,yes,yes,yes
request-9-2-3,rapid methane efflux through ice crevasses,direct venting of methane into air,yes,yes,yes,yes
request-9-2-4,direct venting of methane into air,release of methane into the atmosphere,yes,yes,yes,yes
request-9-3-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,warming of permafrost beneath ice sheets,yes,yes,no,no
request-9-3-1,warming of permafrost beneath ice sheets,activation of anaerobic methaneproducing archaea,yes,yes,yes,no
request-9-3-2,activation of anaerobic methaneproducing archaea,unchecked methane generation in thawed sediments,yes,no,yes,no
request-9-3-3,unchecked methane generation in thawed sediments,methane diffusion through porous ice,yes,no,no,no
request-9-3-4,methane diffusion through porous ice,release of methane into the atmosphere,yes,no,yes,no
request-9-4-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,collapse of ice shelves reducing pressure on seabed,yes,no,no,no
request-9-4-1,collapse of ice shelves reducing pressure on seabed,seafloor methane seepage intensification,yes,no,yes,no
request-9-4-2,seafloor methane seepage intensification,methane bubble formation bypassing water column absorption,yes,yes,yes,yes
request-9-4-3,methane bubble formation bypassing water column absorption,emission of methaneladen bubbles into air,yes,yes,yes,yes
request-9-4-4,emission of methaneladen bubbles into air,release of methane into the atmosphere,yes,no,yes,yes
request-10-0-0,<lunar wobble>,enhanced tidal variability,yes,no,yes,no
request-10-0-1,enhanced tidal variability,higher hightide levels,yes,no,yes,no
request-10-0-2,higher hightide levels,increased coastal flooding events,yes,no,yes,no
request-10-0-3,increased coastal flooding events,accelerated coastal erosion and inundation,yes,yes,yes,yes
request-10-0-4,accelerated coastal erosion and inundation,changes in coastline by the 2030s,yes,yes,yes,yes
request-10-1-0,<lunar wobble>,amplified tidal resonance in specific regions,yes,yes,yes,no
request-10-1-1,amplified tidal resonance in specific regions,extreme tidal fluctuations,yes,yes,yes,yes
request-10-1-2,extreme tidal fluctuations,more frequent inundation of lowlying areas,yes,no,yes,no
request-10-1-3,more frequent inundation of lowlying areas,saltwater intrusion and soil destabilization,yes,yes,yes,yes
request-10-1-4,saltwater intrusion and soil destabilization,coastline alteration by 2030,yes,yes,no,yes
request-10-2-0,<lunar wobble>,shift in tidal patterns,yes,no,yes,no
request-10-2-1,shift in tidal patterns,overlapping with storm surge events,yes,no,no,no
request-10-2-2,overlapping with storm surge events,compound flooding,yes,yes,yes,yes
request-10-2-3,compound flooding,infrastructure damage and habitat loss,yes,yes,yes,no
request-10-2-4,infrastructure damage and habitat loss,permanent changes to coastal geography by 2030s,yes,yes,yes,yes
request-10-3-0,<lunar wobble>,increased energy in tidal currents,yes,no,no,no
request-10-3-1,increased energy in tidal currents,erosion of coastal sediment deposits,yes,no,yes,no
request-10-3-2,erosion of coastal sediment deposits,loss of natural barriers,yes,yes,yes,yes
request-10-3-3,loss of natural barriers,unmitigated wave action during storms,yes,yes,yes,yes
request-10-3-4,unmitigated wave action during storms,coastline retreat and flooding by 2030,yes,no,yes,no
request-10-4-0,<lunar wobble>,prolonged hightide durations,no,no,no,no
request-10-4-1,prolonged hightide durations,reduced intertidal zone recovery time,yes,no,no,no
request-10-4-2,reduced intertidal zone recovery time,degradation of coastal ecosystems,yes,no,yes,yes
request-10-4-3,degradation of coastal ecosystems,reduced natural flood protection,yes,yes,yes,no
request-10-4-4,reduced natural flood protection,increased vulnerability to flooding and coastline changes,yes,yes,yes,no
request-11-0-0,drought,water scarcity,yes,no,yes,yes
request-11-0-1,water scarcity,crop failure,yes,no,yes,no
request-11-0-2,crop failure,economic decline,yes,no,yes,no
request-11-0-3,economic decline,human migration,yes,no,yes,no
request-11-0-4,human migration,abandoned settlements,yes,no,yes,no
request-11-0-5,abandoned settlements,cartographic updates,yes,no,yes,no
request-11-1-0,drought,soil erosion,yes,no,yes,no
request-11-1-1,soil erosion,landscape degradation,yes,yes,yes,yes
request-11-1-2,landscape degradation,river course alteration,yes,yes,yes,yes
request-11-1-3,river course alteration,topographic revisions,yes,yes,yes,yes
request-11-2-0,drought,wildfire proliferation,yes,no,yes,no
request-11-2-1,wildfire proliferation,vegetation loss,yes,yes,yes,no
request-11-2-2,vegetation loss,increased runoff,yes,yes,yes,yes
request-11-2-3,increased runoff,gully formation,yes,yes,yes,yes
request-11-2-4,gully formation,map feature modifications,yes,no,yes,no
request-11-3-0,drought,groundwater depletion,yes,yes,no,yes
request-11-3-1,groundwater depletion,land subsidence,yes,no,yes,no
request-11-3-2,land subsidence,elevation changes,yes,yes,yes,yes
request-11-3-3,elevation changes,contour line adjustments,yes,no,yes,no
request-11-4-0,drought,reservoir construction,no,no,no,no
request-11-4-1,reservoir construction,infrastructure development,yes,yes,yes,yes
request-11-4-2,infrastructure development,hydrographic feature updates,yes,no,yes,no
request-11-5-0,drought,desertification,yes,no,no,no
request-11-5-1,desertification,habitat loss,yes,yes,yes,yes
request-11-5-2,habitat loss,ecological boundary shifts,yes,yes,yes,yes
request-11-5-3,ecological boundary shifts,thematic map revisions,yes,no,yes,no
request-11-6-0,drought,river desiccation,yes,no,yes,no
request-11-6-1,river desiccation,wetland disappearance,yes,yes,yes,yes
request-11-6-2,wetland disappearance,hydrological feature removal,yes,yes,no,yes
request-11-7-0,drought,agricultural abandonment,yes,no,no,no
request-11-7-1,agricultural abandonment,soil salinization,no,yes,no,yes
request-11-7-2,soil salinization,land use changes,yes,yes,yes,yes
request-11-7-3,land use changes,zoning map updates,yes,yes,yes,yes
request-11-8-0,drought,glacier retreat,yes,yes,no,no
request-11-8-1,glacier retreat,water source reduction,yes,yes,yes,no
