custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-3-0-0,systemic change,policy reforms,yes,yes,yes,yes
request-3-0-1,policy reforms,stricter environmental regulations,yes,yes,yes,no
request-3-0-2,stricter environmental regulations,reduced carbon emissions,yes,yes,yes,yes
request-3-0-3,reduced carbon emissions,slowed global warming,yes,no,yes,no
request-3-0-4,slowed global warming,progress in climate change,no,no,no,no
request-3-1-0,systemic change,renewable energy investments,yes,yes,yes,yes
request-3-1-1,renewable energy investments,technological advancements,yes,yes,yes,yes
request-3-1-2,technological advancements,increased clean energy adoption,yes,yes,yes,yes
request-3-1-3,increased clean energy adoption,fossil fuel displacement,yes,yes,yes,no
request-3-1-4,fossil fuel displacement,progress in climate change,yes,yes,yes,no
request-3-2-0,systemic change,public education campaigns,yes,"assistant
no",no,yes
request-3-2-1,public education campaigns,behavioral shifts,yes,no,yes,yes
request-3-2-2,behavioral shifts,sustainable consumption patterns,yes,yes,yes,yes
request-3-2-3,sustainable consumption patterns,reduced resource depletion,yes,yes,yes,no
request-3-2-4,reduced resource depletion,progress in climate change,yes,no,no,yes
request-3-3-0,systemic change,carbon pricing mechanisms,yes,yes,yes,yes
request-3-3-1,carbon pricing mechanisms,corporate decarbonization,yes,no,yes,no
request-3-3-2,corporate decarbonization,lower industrial emissions,yes,no,yes,no
request-3-3-3,lower industrial emissions,atmospheric co₂ stabilization,no,no,yes,no
request-3-3-4,atmospheric co₂ stabilization,progress in climate change,no,no,no,yes
request-3-4-0,systemic change,international climate agreements,yes,"assistant
yes",no,no
request-3-4-1,international climate agreements,crossborder collaboration,yes,yes,yes,yes
request-3-4-2,crossborder collaboration,coordinated emission cuts,yes,yes,yes,no
request-3-4-3,coordinated emission cuts,mitigated temperature rise,yes,no,yes,yes
request-3-4-4,mitigated temperature rise,progress in climate change,yes,yes,no,yes
request-3-5-0,systemic change,green infrastructure development,yes,yes,yes,yes
request-3-5-1,green infrastructure development,efficient transportation systems,yes,yes,no,no
request-3-5-2,efficient transportation systems,reduced vehicular pollution,yes,no,yes,no
request-3-5-3,reduced vehicular pollution,improved air quality,yes,no,yes,no
request-3-5-4,improved air quality,progress in climate change,no,no,no,no
request-3-6-0,systemic change,agricultural innovation,yes,yes,yes,yes
request-3-6-1,agricultural innovation,sustainable farming practices,yes,yes,yes,yes
request-3-6-2,sustainable farming practices,lower methane output,yes,no,yes,no
request-3-6-3,lower methane output,reduced greenhouse effect,yes,no,yes,yes
request-3-6-4,reduced greenhouse effect,progress in climate change,yes,no,no,no
request-3-7-0,systemic change,circular economy adoption,yes,yes,yes,yes
request-3-7-1,circular economy adoption,waste minimization,yes,no,yes,yes
request-3-7-2,waste minimization,resource efficiency,yes,yes,yes,yes
request-3-7-3,resource efficiency,lowered environmental strain,yes,yes,yes,no
request-3-7-4,lowered environmental strain,progress in climate change,yes,no,no,no
request-4-0-0,ultra wealthy people,ownership of multiple large homes,yes,no,yes,no
request-4-0-1,ownership of multiple large homes,increased energy consumption for heating/cooling,yes,no,yes,yes
request-4-0-2,increased energy consumption for heating/cooling,higher fossil fuel usage,yes,no,yes,no
request-4-0-3,higher fossil fuel usage,more carbon footprint,yes,no,yes,yes
request-4-1-0,ultra wealthy people,frequent private jet travel,yes,no,yes,no
request-4-1-1,frequent private jet travel,high aviation fuel consumption,yes,no,yes,no
request-4-1-2,high aviation fuel consumption,elevated co₂ emissions,yes,no,yes,no
request-4-1-3,elevated co₂ emissions,more carbon footprint,yes,yes,yes,yes
request-4-2-0,ultra wealthy people,investments in carbonintensive industries,yes,yes,yes,no
request-4-2-1,investments in carbonintensive industries,expansion of fossil fuel infrastructure,yes,yes,yes,yes
request-4-2-2,expansion of fossil fuel infrastructure,accelerated greenhouse gas emissions,yes,no,yes,yes
request-4-2-3,accelerated greenhouse gas emissions,more carbon footprint,yes,yes,yes,yes
request-4-3-0,ultra wealthy people,luxury yacht ownership,yes,no,yes,no
request-4-3-1,luxury yacht ownership,high marine fuel consumption,yes,no,yes,no
request-4-3-2,high marine fuel consumption,significant particulate and co₂ emissions,yes,no,yes,no
request-4-3-3,significant particulate and co₂ emissions,more carbon footprint,yes,yes,yes,yes
request-4-4-0,ultra wealthy people,demand for exclusive goods/services,yes,no,yes,no
request-4-4-1,demand for exclusive goods/services,resourceheavy production processes,yes,yes,yes,no
request-4-4-2,resourceheavy production processes,increased industrial emissions,yes,no,yes,no
request-4-4-3,increased industrial emissions,more carbon footprint,yes,no,yes,yes
request-4-5-0,ultra wealthy people,philanthropic funding of antiregulation policies,yes,no,yes,no
request-4-5-1,philanthropic funding of antiregulation policies,weakened environmental protections,yes,no,yes,no
request-4-5-2,weakened environmental protections,unrestricted industrial pollution,yes,yes,yes,yes
request-4-5-3,unrestricted industrial pollution,more carbon footprint,yes,no,yes,yes
request-4-6-0,ultra wealthy people,largescale land acquisitions,yes,yes,yes,no
request-4-6-1,largescale land acquisitions,deforestation for luxury estates,yes,yes,yes,no
request-4-6-2,deforestation for luxury estates,reduced carbon sequestration capacity,yes,no,yes,yes
request-4-6-3,reduced carbon sequestration capacity,more carbon footprint,yes,yes,yes,yes
request-4-7-0,ultra wealthy people,highwaste lifestyles,yes,no,yes,yes
request-4-7-1,highwaste lifestyles,excessive nonrecyclable material disposal,yes,yes,yes,yes
request-4-7-2,excessive nonrecyclable material disposal,methane release from landfills,yes,no,yes,no
request-4-7-3,methane release from landfills,more carbon footprint,yes,yes,yes,yes
request-5-0-0,porcine waste containment pools breaking loose,untreated manure discharge into waterways,yes,no,yes,no
request-5-0-1,untreated manure discharge into waterways,nutrient overload in aquatic ecosystems,yes,no,yes,yes
request-5-0-2,nutrient overload in aquatic ecosystems,algal blooms and eutrophication,yes,no,yes,no
request-5-0-3,algal blooms and eutrophication,oxygen depletion in water bodies,yes,no,yes,no
request-5-0-4,oxygen depletion in water bodies,massive fish kills and biodiversity loss,yes,yes,yes,no
request-5-0-5,massive fish kills and biodiversity loss,collapse of aquatic food chains,yes,yes,yes,yes
request-5-0-6,collapse of aquatic food chains,massive environmental damage,yes,yes,yes,yes
request-5-1-0,porcine waste containment pools breaking loose,manure seepage into groundwater,yes,no,yes,no
request-5-1-1,manure seepage into groundwater,contamination of drinking water sources,yes,no,yes,yes
request-5-1-2,contamination of drinking water sources,toxic nitrate levels in human and animal supplies,yes,yes,yes,yes
request-5-1-3,toxic nitrate levels in human and animal supplies,ecosystemwide health disruptions,yes,yes,yes,yes
request-5-1-4,ecosystemwide health disruptions,longterm habitat degradation,yes,yes,yes,yes
request-5-1-5,longterm habitat degradation,massive environmental damage,yes,yes,yes,yes
request-5-2-0,porcine waste containment pools breaking loose,release of methane and ammonia gases,yes,no,no,no
request-5-2-1,release of methane and ammonia gases,atmospheric pollution and greenhouse gas amplification,yes,yes,yes,no
request-5-2-2,atmospheric pollution and greenhouse gas amplification,accelerated climate change impacts,yes,yes,yes,no
request-5-2-3,accelerated climate change impacts,extreme weather events and habitat destabilization,yes,yes,yes,no
request-5-2-4,extreme weather events and habitat destabilization,massive environmental damage,yes,yes,yes,yes
request-5-3-0,porcine waste containment pools breaking loose,pathogen and antibioticresistant bacteria spread,yes,no,yes,yes
request-5-3-1,pathogen and antibioticresistant bacteria spread,soil and crop contamination,yes,yes,yes,yes
request-5-3-2,soil and crop contamination,disruption of terrestrial ecosystems,yes,yes,yes,yes
request-5-3-3,disruption of terrestrial ecosystems,loss of pollinators and keystone species,yes,yes,yes,yes
request-5-3-4,loss of pollinators and keystone species,ecological imbalance,yes,yes,yes,yes
request-5-3-5,ecological imbalance,massive environmental damage  ,yes,yes,yes,yes
request-6-0-0,having fewer children,reduced population growth,yes,no,yes,no
request-6-0-1,reduced population growth,lower aggregate resource consumption,yes,no,yes,no
request-6-0-2,lower aggregate resource consumption,decreased carbonintensive production,yes,yes,yes,yes
request-6-0-3,decreased carbonintensive production,reduced carbon footprint,yes,yes,yes,no
request-6-1-0,having fewer children,smaller family size,yes,no,yes,no
request-6-1-1,smaller family size,reduced household energy demand,yes,no,yes,no
request-6-1-2,reduced household energy demand,lower fossil fuel combustion,yes,no,yes,no
request-6-1-3,lower fossil fuel combustion,decreased carbon footprint,yes,no,yes,no
request-6-2-0,having fewer children,slower demographic expansion,yes,no,yes,no
request-6-2-1,slower demographic expansion,less urban sprawl,yes,no,yes,no
request-6-2-2,less urban sprawl,preserved carbonsequestering ecosystems,yes,yes,yes,yes
request-6-2-3,preserved carbonsequestering ecosystems,reduced atmospheric co₂ levels,yes,no,yes,no
request-6-2-4,reduced atmospheric co₂ levels,lower carbon footprint,no,yes,no,yes
request-6-3-0,having fewer children,diminished longterm population size,yes,no,yes,no
request-6-3-1,diminished longterm population size,avoided cumulative lifetime emissions,yes,no,yes,no
request-6-3-2,avoided cumulative lifetime emissions,net reduction in anthropogenic greenhouse gases,yes,yes,yes,yes
request-6-3-3,net reduction in anthropogenic greenhouse gases,decreased carbon footprint,yes,yes,yes,yes
request-6-4-0,having fewer children,increased per capita education investment,yes,yes,yes,yes
request-6-4-1,increased per capita education investment,enhanced environmental awareness,yes,yes,yes,no
request-6-4-2,enhanced environmental awareness,widespread adoption of lowcarbon technologies,yes,yes,yes,yes
request-6-4-3,widespread adoption of lowcarbon technologies,reduced carbon footprint,yes,no,yes,no
request-6-5-0,having fewer children,reduced consumer goods demand,yes,no,yes,no
request-6-5-1,reduced consumer goods demand,lower industrial manufacturing output,yes,no,yes,no
request-6-5-2,lower industrial manufacturing output,fewer emissions from production cycles,yes,no,yes,yes
request-6-5-3,fewer emissions from production cycles,decreased carbon footprint,yes,yes,yes,no
request-6-6-0,having fewer children,decreased transportation needs,yes,no,yes,no
request-6-6-1,decreased transportation needs,reduced vehicular emissions,yes,no,yes,no
request-6-6-2,reduced vehicular emissions,lower atmospheric particulate matter,yes,no,yes,yes
request-6-6-3,lower atmospheric particulate matter,indirect mitigation of climate forcing,no,yes,no,yes
request-6-6-4,indirect mitigation of climate forcing,reduced carbon footprint,no,yes,yes,no
request-6-7-0,having fewer children,lower agricultural demand,yes,yes,yes,yes
request-6-7-1,lower agricultural demand,reduced deforestation for farmland,yes,no,yes,yes
request-6-7-2,reduced deforestation for farmland,maintained forest carbon sinks,yes,yes,yes,yes
request-6-7-3,maintained forest carbon sinks,decreased carbon footprint,yes,yes,yes,no
request-6-8-0,having fewer children,delayed infrastructure expansion,no,no,yes,no
request-6-8-1,delayed infrastructure expansion,avoided emissions from construction materials,no,yes,yes,yes
request-6-8-2,avoided emissions from construction materials,reduced embodied carbon in built environments,yes,yes,yes,yes
request-6-8-3,reduced embodied carbon in built environments,lower carbon footprint,yes,no,yes,yes
request-6-9-0,having fewer children,shifted economic priorities,yes,yes,yes,yes
request-6-9-1,shifted economic priorities,increased green policy advocacy,yes,yes,yes,yes
request-6-9-2,increased green policy advocacy,systemic decarbonization initiatives,yes,yes,yes,yes
request-6-9-3,systemic decarbonization initiatives,reduced carbon footprint,yes,no,yes,yes
request-7-0-0,climate change,rising global temperatures,yes,yes,no,no
request-7-0-1,rising global temperatures,warmer ocean waters,yes,no,yes,no
request-7-0-2,warmer ocean waters,increased atmospheric moisture,yes,no,yes,no
request-7-0-3,increased atmospheric moisture,heavier rainfall during storms,yes,no,yes,no
request-7-0-4,heavier rainfall during storms,more intense precipitation events,yes,yes,yes,yes
request-7-0-5,more intense precipitation events,higher rainfall totals during hurricane harvey,yes,no,yes,no
request-7-0-6,higher rainfall totals during hurricane harvey,increased flooding in houston,yes,no,yes,yes
request-7-0-7,increased flooding in houston,doubling of flooded houston homes,no,no,yes,no
request-7-1-0,climate change,rising sea levels,yes,no,yes,no
request-7-1-1,rising sea levels,higher storm surge during hurricanes,yes,no,yes,no
request-7-1-2,higher storm surge during hurricanes,elevated coastal flooding during hurricane harvey,yes,no,no,no
request-7-1-3,elevated coastal flooding during hurricane harvey,compounded inland and coastal flooding,yes,yes,yes,yes
request-7-1-4,compounded inland and coastal flooding,expanded flood zones in houston,yes,yes,yes,no
request-7-1-5,expanded flood zones in houston,doubling of flooded houston homes,no,yes,no,yes
request-7-2-0,climate change,slowermoving atmospheric currents,yes,no,yes,no
request-7-2-1,slowermoving atmospheric currents,hurricane harvey stalling over houston,yes,no,yes,yes
request-7-2-2,hurricane harvey stalling over houston,prolonged rainfall duration,yes,no,yes,no
request-7-2-3,prolonged rainfall duration,saturation of soil and drainage systems,yes,no,yes,no
request-7-2-4,saturation of soil and drainage systems,reduced water absorption capacity,yes,yes,yes,yes
request-7-2-5,reduced water absorption capacity,widespread urban flooding,yes,yes,yes,no
request-7-2-6,widespread urban flooding,doubling of flooded houston homes,no,no,yes,no
request-7-3-0,climate change,warmer ocean waters,yes,no,yes,no
request-7-3-1,warmer ocean waters,increased hurricane intensity,yes,no,yes,yes
request-7-3-2,increased hurricane intensity,stronger winds and rainfall in hurricane harvey,yes,no,yes,no
request-7-3-3,stronger winds and rainfall in hurricane harvey,simultaneous storm surge and flash flooding,yes,no,yes,no
request-7-3-4,simultaneous storm surge and flash flooding,overwhelmed flood defenses,yes,yes,yes,yes
request-7-3-5,overwhelmed flood defenses,doubling of flooded houston homes,yes,no,yes,yes
request-8-0-0,methane,global warming,yes,yes,yes,no
request-8-0-1,global warming,increased wildfire frequency,yes,yes,yes,no
request-8-0-2,increased wildfire frequency,air pollution,yes,no,yes,no
request-8-1-0,methane emissions,livestock farming expansion,no,yes,no,yes
request-8-1-1,livestock farming expansion,manure runoff,yes,no,yes,no
request-8-1-2,manure runoff,water pollution,yes,no,yes,no
request-8-2-0,methane from landfills,soil contamination,no,no,no,no
request-8-2-1,soil contamination,groundwater pollution,yes,yes,yes,yes
request-8-3-0,methane combustion,carbon dioxide emissions,yes,no,yes,no
request-8-3-1,carbon dioxide emissions,air pollution,yes,no,no,yes
request-8-4-0,methaneinduced climate change,extreme weather events,yes,no,yes,no
request-8-4-1,extreme weather events,flooding,yes,no,yes,no
request-8-4-2,flooding,sewage overflow,yes,no,yes,yes
request-8-4-3,sewage overflow,water pollution,yes,no,yes,no
request-8-5-0,methane oxidation,tropospheric ozone formation,yes,yes,yes,no
request-8-5-1,tropospheric ozone formation,air pollution,yes,yes,yes,yes
request-8-6-0,methane leaks from fossil fuels,enhanced smog formation,yes,no,yes,no
request-8-6-1,enhanced smog formation,respiratory health impacts,yes,no,yes,no
request-8-6-2,respiratory health impacts,increased medical waste,yes,yes,yes,yes
request-8-6-3,increased medical waste,environmental pollution,yes,yes,yes,no
request-8-7-0,methane from agriculture,fertilizer overuse,no,no,no,no
request-8-7-1,fertilizer overuse,algal blooms,yes,no,yes,yes
request-8-7-2,algal blooms,eutrophication,no,yes,no,yes
request-8-7-3,eutrophication,water pollution,yes,yes,yes,yes
request-9-0-0,melting of antarctic ice,reduced pressure on subglacial methane reservoirs,yes,yes,yes,no
request-9-0-1,reduced pressure on subglacial methane reservoirs,destabilization of methane hydrates,yes,no,yes,no
request-9-0-2,destabilization of methane hydrates,release of trapped methane gas,yes,yes,yes,no
request-9-0-3,release of trapped methane gas,insufficient microbial activity in thawed environments,no,yes,no,no
request-9-0-4,insufficient microbial activity in thawed environments,methane bypassing microbial oxidation,yes,no,yes,yes
request-9-0-5,methane bypassing microbial oxidation,methane emission into the atmosphere,yes,yes,yes,yes
request-9-1-0,melting of antarctic ice,increased freshwater input into oceans,yes,no,yes,no
request-9-1-1,increased freshwater input into oceans,alteration of microbial habitats,yes,no,yes,yes
request-9-1-2,alteration of microbial habitats,disruption of methanotrophic bacterial communities,yes,yes,yes,yes
request-9-1-3,disruption of methanotrophic bacterial communities,reduced methane consumption,yes,yes,yes,no
request-9-1-4,reduced methane consumption,accumulation of methane in water columns,yes,yes,yes,no
request-9-1-5,accumulation of methane in water columns,methane diffusion into the atmosphere,yes,no,yes,no
request-9-2-0,methane pockets unabsorbed by microorganisms,anaerobic decomposition of organic matter in icefree sediments,no,yes,no,yes
request-9-2-1,anaerobic decomposition of organic matter in icefree sediments,methane production exceeding microbial uptake capacity,yes,no,yes,yes
request-9-2-2,methane production exceeding microbial uptake capacity,methane migration through fissures,yes,yes,yes,yes
request-9-2-3,methane migration through fissures,direct venting of methane into the atmosphere,yes,yes,yes,no
request-9-3-0,melting of antarctic ice,exposure of subglacial organic carbon deposits,yes,no,yes,no
request-9-3-1,exposure of subglacial organic carbon deposits,enhanced microbial methanogenesis in warming soils,yes,no,yes,yes
request-9-3-2,enhanced microbial methanogenesis in warming soils,overwhelmed methanotroph populations,yes,no,yes,yes
request-9-3-3,overwhelmed methanotroph populations,methane evasion from terrestrial ecosystems,yes,yes,yes,no
request-9-3-4,methane evasion from terrestrial ecosystems,atmospheric methane enrichment,yes,no,yes,no
request-9-4-0,methane pockets unabsorbed by microorganisms,icesheet retreat uncovering ancient methane reserves,no,yes,yes,yes
request-9-4-1,icesheet retreat uncovering ancient methane reserves,abiotic methane release from geological fractures,yes,no,yes,yes
request-9-4-2,abiotic methane release from geological fractures,lack of microbial filtration in newly exposed pathways,yes,yes,no,yes
request-9-4-3,lack of microbial filtration in newly exposed pathways,unmitigated methane flux to the atmosphere,yes,yes,yes,no
request-10-0-0,lunar wobble,amplified tidal fluctuations,yes,no,yes,no
request-10-0-1,amplified tidal fluctuations,increased hightide flooding events,yes,no,no,no
request-10-0-2,increased hightide flooding events,accelerated coastal erosion,yes,yes,yes,yes
request-10-0-3,accelerated coastal erosion,permanent changes in coastline morphology,yes,yes,yes,yes
request-10-1-0,lunar wobble,gravitational modulation of ocean tides,yes,no,no,no
request-10-1-1,gravitational modulation of ocean tides,synergistic interaction with sealevel rise,yes,no,yes,no
request-10-1-2,synergistic interaction with sealevel rise,heightened storm surge impacts,yes,yes,yes,yes
request-10-1-3,heightened storm surge impacts,recurrent coastal inundation,yes,yes,yes,yes
request-10-1-4,recurrent coastal inundation,destabilization of coastal infrastructure,yes,no,yes,yes
request-10-1-5,destabilization of coastal infrastructure,altered sediment deposition patterns,yes,yes,yes,yes
request-10-1-6,altered sediment deposition patterns,coastline realignment,yes,yes,yes,yes
request-10-2-0,lunar wobble,prolonged periods of extreme tidal ranges,yes,no,yes,no
request-10-2-1,prolonged periods of extreme tidal ranges,saltwater intrusion into coastal aquifers,yes,no,no,no
request-10-2-2,saltwater intrusion into coastal aquifers,degradation of protective wetlands,yes,yes,yes,yes
request-10-2-3,degradation of protective wetlands,loss of natural flood barriers,yes,yes,yes,yes
request-10-2-4,loss of natural flood barriers,increased shoreline vulnerability,yes,yes,yes,yes
request-10-2-5,increased shoreline vulnerability,rapid coastline retreat,yes,yes,yes,yes
request-10-3-0,lunar wobble,intensified perigean spring tides,yes,no,no,no
request-10-3-1,intensified perigean spring tides,frequent overtopping of seawalls,yes,no,yes,no
request-10-3-2,frequent overtopping of seawalls,chronic coastal flooding,yes,yes,yes,yes
request-10-3-3,chronic coastal flooding,erosion of beachfronts and dunes,yes,yes,yes,yes
request-10-3-4,erosion of beachfronts and dunes,irreversible coastline reshaping,yes,yes,yes,no
request-10-4-0,lunar wobble,altered lunar gravitational pull,no,no,no,no
request-10-4-1,altered lunar gravitational pull,compounding effects on king tides,yes,no,no,no
request-10-4-2,compounding effects on king tides,submergence of lowlying coastal areas,yes,yes,yes,yes
request-10-4-3,submergence of lowlying coastal areas,habitat fragmentation,yes,no,yes,no
request-10-4-4,habitat fragmentation,reduced sediment retention,yes,yes,yes,no
request-10-4-5,reduced sediment retention,dynamic coastline reorganization  ,yes,yes,yes,yes
request-11-0-0,drought,reduced rainfall,no,yes,no,yes
request-11-0-1,reduced rainfall,lower water levels in rivers and lakes,yes,no,yes,yes
request-11-0-2,lower water levels in rivers and lakes,decreased sediment transport,yes,yes,yes,no
request-11-0-3,decreased sediment transport,river delta erosion,yes,no,yes,no
request-11-0-4,river delta erosion,altered coastlines,yes,yes,yes,yes
request-11-0-5,altered coastlines,changes in geography maps,yes,no,yes,no
request-11-1-0,drought,vegetation loss,yes,yes,yes,no
request-11-1-1,vegetation loss,increased soil erosion,yes,yes,yes,yes
request-11-1-2,increased soil erosion,altered land topography,yes,yes,yes,yes
request-11-1-3,altered land topography,changes in geography maps,yes,no,yes,no
request-11-2-0,drought,excessive groundwater pumping,yes,no,yes,no
request-11-2-1,excessive groundwater pumping,land subsidence,yes,no,yes,yes
request-11-2-2,land subsidence,shifts in elevation contours,yes,no,yes,no
request-11-2-3,shifts in elevation contours,changes in geography maps,yes,yes,no,yes
request-11-3-0,drought,wildfires,yes,no,yes,no
request-11-3-1,wildfires,loss of forest cover,yes,no,yes,no
request-11-3-2,loss of forest cover,accelerated soil degradation,yes,yes,yes,no
request-11-3-3,accelerated soil degradation,modified watershed boundaries,yes,yes,yes,yes
request-11-3-4,modified watershed boundaries,changes in geography maps,yes,yes,yes,yes
request-11-4-0,drought,agricultural abandonment,yes,no,yes,no
request-11-4-1,agricultural abandonment,unmanaged land degradation,yes,yes,yes,yes
request-11-4-2,unmanaged land degradation,shifting desert boundaries,yes,yes,yes,no
request-11-4-3,shifting desert boundaries,changes in geography maps,yes,no,yes,no
request-11-5-0,drought,reservoir depletion,yes,no,yes,no
request-11-5-1,reservoir depletion,exposure of submerged landforms,yes,no,yes,no
request-11-5-2,exposure of submerged landforms,updated hydrological features,yes,yes,yes,yes
request-11-5-3,updated hydrological features,changes in geography maps,yes,yes,yes,no
request-11-6-0,drought,human migration,yes,no,yes,no
request-11-6-1,human migration,new settlement patterns,yes,yes,yes,no
request-11-6-2,new settlement patterns,altered landuse designations,yes,yes,yes,yes
request-11-6-3,altered landuse designations,changes in geography maps,yes,yes,yes,yes
request-12-0-0,changes in geographical maps,shifting territorial boundaries,yes,yes,no,yes
request-12-0-1,shifting territorial boundaries,disputed resource ownership,yes,yes,yes,yes
request-12-0-2,disputed resource ownership,conflict over land or water,yes,yes,yes,yes
request-12-0-3,conflict over land or water,forced displacement of populations,yes,yes,yes,yes
request-12-0-4,forced displacement of populations,migration issues,yes,yes,yes,no
request-12-1-0,changes in geographical maps,coastal erosion or submergence,no,yes,no,yes
request-12-1-1,coastal erosion or submergence,loss of habitable land,yes,no,yes,no
request-12-1-2,loss of habitable land,climate refugees,yes,yes,yes,no
request-12-1-3,climate refugees,strain on host regions,yes,yes,yes,yes
request-12-1-4,strain on host regions,migration issues,yes,yes,yes,yes
request-12-2-0,changes in geographical maps,altered river courses,no,yes,no,yes
request-12-2-1,altered river courses,collapse of agricultural systems,yes,yes,yes,yes
request-12-2-2,collapse of agricultural systems,food insecurity,yes,no,yes,no
request-12-2-3,food insecurity,ruraltourban migration,yes,yes,yes,no
request-12-2-4,ruraltourban migration,urban overcrowding,yes,no,yes,no
request-12-2-5,urban overcrowding,migration issues,yes,yes,no,yes
request-12-3-0,changes in geographical maps,newly created trade routes,yes,yes,no,yes
request-12-3-1,newly created trade routes,economic displacement of local industries,yes,yes,yes,yes
