custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-2-5-0,business,manufacturing processes,yes,no
request-2-5-1,manufacturing processes,methane emissions,yes,yes
request-2-5-2,methane emissions,climate change,yes,yes
request-2-6-0,business,agricultural expansion,yes,yes
request-2-6-1,agricultural expansion,nitrous oxide emissions,yes,no
request-2-6-2,nitrous oxide emissions,greenhouse gas build-up,yes,yes
request-2-6-3,greenhouse gas build-up,climate change,yes,yes
request-2-7-0,business,waste generation,yes,no
request-2-7-1,waste generation,landfill methane emissions,yes,no
request-2-7-2,landfill methane emissions,climate change,yes,yes
request-2-8-0,business,overfishing,yes,no
request-2-8-1,overfishing,disruption of oceanic carbon sinks,yes,no
request-2-8-2,disruption of oceanic carbon sinks,elevated co2 levels,yes,yes
request-2-8-3,elevated co2 levels,climate change,no,yes
request-2-9-0,business,cement production,yes,yes
request-2-9-1,cement production,carbon dioxide release,yes,yes
request-2-9-2,carbon dioxide release,climate change,yes,no
request-2-10-0,business,chemical manufacturing,yes,yes
request-2-10-1,chemical manufacturing,fluorinated gas emissions,yes,no
request-2-10-2,fluorinated gas emissions,greenhouse effect enhancement,yes,no
request-2-10-3,greenhouse effect enhancement,climate change,yes,yes
request-2-11-0,business,industrial deforestation,yes,yes
request-2-11-1,industrial deforestation,habitat loss,yes,yes
request-2-11-2,habitat loss,biodiversity decline,yes,yes
request-2-11-3,biodiversity decline,ecosystem imbalance,yes,yes
request-2-11-4,ecosystem imbalance,climate change,no,yes
request-2-12-0,business,increased energy demand,yes,no
request-2-12-1,increased energy demand,reliance on non-renewable resources,yes,yes
request-2-12-2,reliance on non-renewable resources,greenhouse gas emissions,yes,no
request-2-12-3,greenhouse gas emissions,climate change,yes,no
request-2-13-0,business,product distribution,yes,yes
request-2-13-1,product distribution,transportation emissions,yes,yes
request-2-13-2,transportation emissions,global warming,yes,yes
request-2-13-3,global warming,climate change,yes,yes
request-2-14-0,business,technological development,yes,yes
request-2-14-1,technological development,increased electricity usage,yes,yes
request-2-14-2,increased electricity usage,fossil fuel burning,yes,yes
request-2-14-3,fossil fuel burning,climate change,yes,no
request-2-15-0,business,mining activities,yes,yes
request-2-15-1,mining activities,land degradation,yes,no
request-2-15-2,land degradation,altered carbon cycles,yes,yes
request-2-15-3,altered carbon cycles,climate change,yes,yes
request-2-16-0,business,industrial refrigeration,yes,no
request-2-16-1,industrial refrigeration,hydrofluorocarbon emissions,yes,no
request-2-16-2,hydrofluorocarbon emissions,enhanced greenhouse effect,yes,no
request-2-16-3,enhanced greenhouse effect,climate change,yes,yes
request-2-17-0,business,synthetic fertilizer production,yes,yes
request-2-17-1,synthetic fertilizer production,nitrous oxide emissions,yes,yes
request-2-17-2,nitrous oxide emissions,greenhouse gas accumulation,yes,yes
request-2-17-3,greenhouse gas accumulation,climate change,yes,yes
request-2-18-0,business,livestock farming,no,yes
request-2-18-1,livestock farming,methane production,yes,yes
request-2-18-2,methane production,greenhouse gas increase,yes,yes
request-2-18-3,greenhouse gas increase,climate change,yes,yes
request-2-19-0,business,consumerism,yes,yes
request-2-19-1,consumerism,overproduction,yes,no
request-2-19-2,overproduction,resource depletion,yes,no
request-2-19-3,resource depletion,environmental stress,yes,yes
request-2-19-4,environmental stress,climate change,no,yes
request-3-0-0,business,deforestation,yes,no
request-3-0-1,deforestation,habitat loss,yes,yes
request-3-0-2,habitat loss,loss of biodiversity,yes,yes
request-3-1-0,business,industrial pollution,yes,no
request-3-1-1,industrial pollution,environmental degradation,yes,yes
request-3-1-2,environmental degradation,loss of biodiversity,yes,yes
request-3-2-0,business,overfishing,yes,no
request-3-2-1,overfishing,marine species decline,yes,yes
request-3-2-2,marine species decline,loss of biodiversity,yes,yes
request-3-3-0,business,urban expansion,yes,yes
request-3-3-1,urban expansion,habitat fragmentation,yes,no
request-3-3-2,habitat fragmentation,loss of biodiversity,yes,yes
request-3-4-0,business,agricultural intensification,yes,no
request-3-4-1,agricultural intensification,pesticide use,yes,yes
request-3-4-2,pesticide use,species decline,yes,no
request-3-4-3,species decline,loss of biodiversity,yes,yes
request-3-5-0,business,mining operations,yes,yes
request-3-5-1,mining operations,soil erosion,yes,no
request-3-5-2,soil erosion,loss of biodiversity,yes,yes
request-3-6-0,business,climate change emissions,yes,no
request-3-6-1,climate change emissions,global warming,yes,yes
request-3-6-2,global warming,ecosystem disruption,yes,no
request-3-6-3,ecosystem disruption,loss of biodiversity,yes,yes
request-3-7-0,business,invasive species introduction,yes,yes
request-3-7-1,invasive species introduction,native species displacement,yes,no
request-3-7-2,native species displacement,loss of biodiversity,yes,yes
request-3-8-0,business,plastic pollution,yes,no
request-3-8-1,plastic pollution,marine life harm,yes,no
request-3-8-2,marine life harm,loss of biodiversity,yes,yes
request-3-9-0,business,oil spills,yes,yes
request-3-9-1,oil spills,water contamination,yes,no
request-3-9-2,water contamination,loss of biodiversity,yes,no
request-3-10-0,business,logging,yes,no
request-3-10-1,logging,forest degradation,no,no
request-3-10-2,forest degradation,loss of biodiversity,yes,yes
request-3-11-0,business,resource extraction,yes,yes
request-3-11-1,resource extraction,ecosystem imbalance,yes,yes
request-3-11-2,ecosystem imbalance,loss of biodiversity,yes,yes
request-3-12-0,business,chemical waste disposal,yes,no
request-3-12-1,chemical waste disposal,soil contamination,yes,no
request-3-12-2,soil contamination,loss of biodiversity,yes,no
request-3-13-0,business,water extraction,yes,no
request-3-13-1,water extraction,wetland depletion,yes,no
request-3-13-2,wetland depletion,loss of biodiversity,yes,yes
request-3-14-0,business,air pollution,yes,no
request-3-14-1,air pollution,acid rain,yes,no
request-3-14-2,acid rain,forest damage,yes,no
request-3-14-3,forest damage,loss of biodiversity,yes,yes
request-4-0-0,business,industrial activities,yes,no
request-4-0-1,industrial activities,pollution,yes,no
request-4-0-2,pollution,degradation of nature,yes,yes
request-4-1-0,business,deforestation,yes,no
request-4-1-1,deforestation,habitat destruction,yes,yes
request-4-1-2,habitat destruction,loss of biodiversity,yes,yes
request-4-1-3,loss of biodiversity,degradation of nature,yes,yes
request-4-2-0,business,greenhouse gas emissions,yes,no
request-4-2-1,greenhouse gas emissions,global warming,yes,no
request-4-2-2,global warming,climate change,yes,yes
request-4-2-3,climate change,degradation of nature,yes,yes
request-4-3-0,business,overfishing,yes,no
request-4-3-1,overfishing,marine ecosystem disruption,yes,yes
request-4-3-2,marine ecosystem disruption,degradation of nature,yes,yes
request-4-4-0,business,mining operations,yes,yes
request-4-4-1,mining operations,soil erosion,yes,no
request-4-4-2,soil erosion,land degradation,yes,yes
request-4-4-3,land degradation,degradation of nature,yes,yes
request-4-5-0,business,use of pesticides,yes,yes
request-4-5-1,use of pesticides,water contamination,yes,no
request-4-5-2,water contamination,harm to aquatic life,yes,yes
request-4-5-3,harm to aquatic life,degradation of nature,yes,yes
request-4-6-0,business,plastic production,yes,yes
request-4-6-1,plastic production,plastic pollution,yes,no
request-4-6-2,plastic pollution,wildlife endangerment,yes,no
request-4-6-3,wildlife endangerment,degradation of nature,yes,yes
request-4-7-0,business,urban development,yes,yes
request-4-7-1,urban development,loss of natural habitats,yes,no
request-4-7-2,loss of natural habitats,ecosystem imbalance,yes,yes
request-4-7-3,ecosystem imbalance,degradation of nature,yes,yes
request-4-8-0,business,fossil fuel consumption,yes,yes
request-4-8-1,fossil fuel consumption,air pollution,yes,no
request-4-8-2,air pollution,acid rain formation,yes,no
request-4-8-3,acid rain formation,degradation of nature,yes,yes
request-4-9-0,business,industrial waste disposal,yes,yes
request-4-9-1,industrial waste disposal,toxic landfill accumulation,yes,no
request-4-9-2,toxic landfill accumulation,soil contamination,yes,yes
request-4-9-3,soil contamination,degradation of nature,yes,yes
request-5-0-0,heat from gas emissions absorbed by oceans,ocean surface warming,yes,yes
request-5-0-1,ocean surface warming,increased thermal stratification,yes,no
request-5-0-2,increased thermal stratification,slowing of ocean vertical mixing,yes,yes
request-5-1-0,heat from gas emissions absorbed by oceans,melting of polar ice caps,yes,no
request-5-1-1,melting of polar ice caps,freshwater influx into oceans,yes,no
request-5-1-2,freshwater influx into oceans,decreased surface salinity,yes,no
request-5-1-3,decreased surface salinity,increased density stratification,no,no
request-5-1-4,increased density stratification,slowing of ocean vertical mixing,yes,yes
request-5-2-0,heat from gas emissions absorbed by oceans,changes in wind patterns,yes,no
request-5-2-1,changes in wind patterns,reduced surface turbulence,no,yes
request-5-2-2,reduced surface turbulence,slowing of ocean vertical mixing,yes,yes
request-6-0-0,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-0-1,ocean warming,reduced oxygen solubility,yes,no
request-6-0-2,reduced oxygen solubility,decreased dissolved oxygen levels,yes,no
request-6-0-3,decreased dissolved oxygen levels,ocean deoxygenation,yes,yes
request-6-1-0,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-1-1,ocean warming,increased ocean stratification,yes,no
request-6-1-2,increased ocean stratification,reduced vertical mixing,yes,yes
request-6-1-3,reduced vertical mixing,decreased oxygen transport,yes,yes
request-6-1-4,decreased oxygen transport,ocean deoxygenation,yes,yes
request-6-2-0,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-2-1,ocean warming,higher metabolic rates,yes,no
request-6-2-2,higher metabolic rates,increased oxygen consumption,yes,yes
request-6-2-3,increased oxygen consumption,decreased oxygen availability,no,no
request-6-2-4,decreased oxygen availability,ocean deoxygenation,yes,yes
request-6-3-0,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-3-1,ocean warming,altered ocean circulation,yes,yes
request-6-3-2,altered ocean circulation,disrupted nutrient upwelling,yes,yes
request-6-3-3,disrupted nutrient upwelling,reduced phytoplankton growth,yes,no
request-6-3-4,reduced phytoplankton growth,decreased oxygen production,yes,yes
request-6-3-5,decreased oxygen production,ocean deoxygenation,yes,no
request-6-4-0,heat from gas emissions absorbed by oceans,ocean warming,yes,yes
request-6-4-1,ocean warming,coral bleaching,yes,no
request-6-4-2,coral bleaching,habitat loss,yes,no
request-6-4-3,habitat loss,ecosystem disruption,yes,yes
request-6-4-4,ecosystem disruption,altered oxygen dynamics,yes,yes
request-6-4-5,altered oxygen dynamics,ocean deoxygenation,yes,yes
request-7-0-0,fossil fuel co2 emissions,increased atmospheric co2 concentrations,yes,no
request-7-0-1,increased atmospheric co2 concentrations,oceanic absorption of co2,yes,no
request-7-0-2,oceanic absorption of co2,formation of carbonic acid in seawater,yes,yes
request-7-0-3,formation of carbonic acid in seawater,decrease in ocean ph,yes,yes
request-7-0-4,decrease in ocean ph,ocean acidification,yes,yes
request-7-1-0,fossil fuel co2 emissions,elevated atmospheric co2 levels,yes,no
request-7-1-1,elevated atmospheric co2 levels,enhanced diffusion of co2 into oceans,yes,no
request-7-1-2,enhanced diffusion of co2 into oceans,alteration of carbonate chemistry,yes,yes
request-7-1-3,alteration of carbonate chemistry,reduction of carbonate ions,yes,yes
request-7-1-4,reduction of carbonate ions,ocean acidification,yes,yes
request-7-2-0,fossil fuel co2 emissions,rising greenhouse gas concentrations,yes,no
request-7-2-1,rising greenhouse gas concentrations,global temperature increase,yes,no
request-7-2-2,global temperature increase,changes in ocean stratification,yes,no
request-7-2-3,changes in ocean stratification,altered co2 uptake patterns,yes,yes
request-7-2-4,altered co2 uptake patterns,ocean acidification,yes,yes
request-7-3-0,fossil fuel co2 emissions,increased atmospheric co2,yes,no
request-7-3-1,increased atmospheric co2,decreased ocean buffering capacity,no,yes
request-7-3-2,decreased ocean buffering capacity,lower carbonate saturation states,yes,yes
request-7-3-3,lower carbonate saturation states,ocean acidification,yes,yes
request-7-4-0,fossil fuel co2 emissions,elevated atmospheric co2 levels,yes,no
request-7-4-1,elevated atmospheric co2 levels,ocean warming,no,no
request-7-4-2,ocean warming,reduced co2 solubility in seawater,yes,no
request-7-4-3,reduced co2 solubility in seawater,changes in oceanic ph,yes,yes
request-7-4-4,changes in oceanic ph,ocean acidification,yes,yes
request-8-0-0,melting of glaciers,freshwater influx into ocean,yes,no
request-8-0-1,freshwater influx into ocean,decreased ocean salinity,yes,no
request-8-0-2,decreased ocean salinity,reduced water density,yes,no
request-8-0-3,reduced water density,disruption of thermohaline circulation,no,yes
request-8-0-4,disruption of thermohaline circulation,disruption of ocean currents at intermediate depths,yes,yes
request-8-1-0,melting of glaciers,freshwater input into ocean,yes,no
request-8-1-1,freshwater input into ocean,ocean stratification,yes,no
request-8-1-2,ocean stratification,reduced vertical mixing,yes,yes
request-8-1-3,reduced vertical mixing,disruption of ocean currents at intermediate depths,no,yes
request-8-2-0,melting of glaciers,sea-level rise,yes,yes
request-8-2-1,sea-level rise,alteration of pressure gradients,yes,yes
request-8-2-2,alteration of pressure gradients,changes in ocean circulation patterns,yes,yes
request-8-2-3,changes in ocean circulation patterns,disruption of ocean currents at intermediate depths,yes,yes
request-8-3-0,melting of glaciers,freshwater input into high-latitude oceans,yes,no
request-8-3-1,freshwater input into high-latitude oceans,weakened deep water formation,yes,no
request-8-3-2,weakened deep water formation,altered thermohaline circulation,yes,yes
request-8-3-3,altered thermohaline circulation,disruption of ocean currents at intermediate depths,yes,yes
request-8-4-0,melting of glaciers,decreased salinity in polar regions,no,no
request-8-4-1,decreased salinity in polar regions,altered meridional density gradients,yes,no
request-8-4-2,altered meridional density gradients,changes in geostrophic currents,yes,yes
request-8-4-3,changes in geostrophic currents,disruption of ocean currents at intermediate depths,yes,yes
request-9-0-0,melting of glaciers,increased freshwater input into the ocean,yes,no
request-9-0-1,increased freshwater input into the ocean,decreased salinity of surface ocean waters,yes,no
request-9-0-2,decreased salinity of surface ocean waters,altered ocean density gradients,yes,no
request-9-0-3,altered ocean density gradients,disruption of thermohaline circulation,yes,yes
request-9-0-4,disruption of thermohaline circulation,disruption of ocean temperature at intermediate depths,yes,yes
request-9-1-0,melting of glaciers,sea level rise,yes,yes
request-9-1-1,sea level rise,altered ocean current patterns,yes,yes
request-9-1-2,altered ocean current patterns,changes in oceanic heat distribution,yes,yes
request-9-1-3,changes in oceanic heat distribution,disruption of ocean temperature at intermediate depths,yes,yes
request-9-2-0,melting of glaciers,addition of cold freshwater to ocean surface,no,no
request-9-2-1,addition of cold freshwater to ocean surface,weakening of deep water formation,yes,no
request-9-2-2,weakening of deep water formation,slowing of global ocean conveyor belt circulation,yes,yes
request-9-2-3,slowing of global ocean conveyor belt circulation,disruption of ocean temperature at intermediate depths,yes,yes
request-9-3-0,melting of glaciers,reduction in ice albedo effect,yes,yes
request-9-3-1,reduction in ice albedo effect,increased absorption of solar radiation by oceans,yes,yes
request-9-3-2,increased absorption of solar radiation by oceans,warming of surface ocean layers,yes,yes
request-9-3-3,warming of surface ocean layers,increased ocean stratification,yes,no
request-9-3-4,increased ocean stratification,reduced vertical mixing of ocean waters,yes,yes
request-9-3-5,reduced vertical mixing of ocean waters,disruption of ocean temperature at intermediate depths,yes,yes
request-9-4-0,melting of glaciers,increased nutrient influx into the ocean,yes,no
request-9-4-1,increased nutrient influx into the ocean,altered ocean productivity,yes,yes
request-9-4-2,altered ocean productivity,changes in biological mixing of ocean layers,yes,yes
request-9-4-3,changes in biological mixing of ocean layers,disruption of ocean temperature at intermediate depths,yes,yes
request-9-5-0,melting of glaciers,increased sedimentation in coastal waters,yes,no
request-9-5-1,increased sedimentation in coastal waters,altered coastal ocean dynamics,yes,yes
request-9-5-2,altered coastal ocean dynamics,changes in intermediate-depth water masses,yes,yes
request-9-5-3,changes in intermediate-depth water masses,disruption of ocean temperature at intermediate depths,yes,yes
request-9-6-0,melting of glaciers,changes in freshwater input patterns,yes,yes
request-9-6-1,changes in freshwater input patterns,altered precipitation and evaporation rates over oceans,yes,yes
request-9-6-2,altered precipitation and evaporation rates over oceans,changes in salinity-driven ocean circulation,yes,yes
request-9-6-3,changes in salinity-driven ocean circulation,disruption of ocean temperature at intermediate depths,yes,yes
request-10-0-0,"here are all possible causal chains that connect climate change to melting of glaciers:

climate change",rising global temperatures,yes,yes
request-10-0-1,rising global temperatures,increased glacial melting,yes,yes
request-10-0-2,increased glacial melting,melting of glaciers,yes,yes
request-10-1-0,climate change,higher atmospheric temperatures,yes,yes
request-10-1-1,higher atmospheric temperatures,longer warm seasons,yes,yes
request-10-1-2,longer warm seasons,extended glacial melt periods,no,no
request-10-1-3,extended glacial melt periods,melting of glaciers,yes,yes
request-10-2-0,climate change,increased frequency of heatwaves,yes,no
request-10-2-1,increased frequency of heatwaves,intensified melting periods,yes,yes
request-10-2-2,intensified melting periods,greater glacial mass loss,yes,yes
request-10-2-3,greater glacial mass loss,melting of glaciers,yes,yes
request-10-3-0,climate change,warmer winters,yes,no
request-10-3-1,warmer winters,reduced snowfall,no,no
request-10-3-2,reduced snowfall,decreased snow accumulation on glaciers,yes,no
request-10-3-3,decreased snow accumulation on glaciers,less glacier growth,no,no
request-10-3-4,less glacier growth,melting of glaciers,no,yes
request-10-4-0,climate change,altered precipitation patterns,yes,no
request-10-4-1,altered precipitation patterns,increased rainfall instead of snowfall,yes,yes
request-10-4-2,increased rainfall instead of snowfall,reduced snowpack accumulation,yes,no
request-10-4-3,reduced snowpack accumulation,diminished glacier recharge,yes,yes
request-10-4-4,diminished glacier recharge,melting of glaciers,yes,yes
request-10-5-0,climate change,increased atmospheric water vapor,yes,no
request-10-5-1,increased atmospheric water vapor,enhanced greenhouse effect,yes,yes
request-10-5-2,enhanced greenhouse effect,further global warming,yes,yes
request-10-5-3,further global warming,accelerated glacial melting,yes,yes
request-10-5-4,accelerated glacial melting,melting of glaciers,yes,yes
request-10-6-0,climate change,ocean warming,yes,no
request-10-6-1,ocean warming,increased melting from glacier bases,yes,no
request-10-6-2,increased melting from glacier bases,glacier destabilization,yes,yes
request-10-6-3,glacier destabilization,increased glacial flow into the sea,yes,no
request-10-6-4,increased glacial flow into the sea,melting of glaciers,no,yes
request-10-7-0,climate change,increased wildfires,yes,no
request-10-7-1,increased wildfires,higher black carbon emissions,yes,no
request-10-7-2,higher black carbon emissions,deposition of black carbon on glacier surfaces,yes,no
request-10-7-3,deposition of black carbon on glacier surfaces,reduced albedo effect of glaciers,yes,yes
request-10-7-4,reduced albedo effect of glaciers,increased absorption of solar radiation,yes,no
request-10-7-5,increased absorption of solar radiation,accelerated glacial melting,yes,yes
request-10-7-6,accelerated glacial melting,melting of glaciers,yes,yes
request-10-8-0,climate change,reduction of sea ice,yes,no
request-10-8-1,reduction of sea ice,decreased albedo effect,yes,yes
request-10-8-2,decreased albedo effect,increased ocean and atmospheric temperatures,yes,no
request-10-8-3,increased ocean and atmospheric temperatures,accelerated glacial melting,yes,yes
request-10-8-4,accelerated glacial melting,melting of glaciers,yes,yes
request-10-9-0,climate change,thawing permafrost,yes,yes
request-10-9-1,thawing permafrost,release of methane gas,yes,yes
request-10-9-2,release of methane gas,enhanced greenhouse effect,yes,no
request-10-9-3,enhanced greenhouse effect,further global warming,yes,yes
request-10-9-4,further global warming,increased glacial melting,yes,yes
request-10-9-5,increased glacial melting,melting of glaciers,yes,yes
request-10-10-0,climate change,changes in atmospheric circulation patterns,yes,yes
request-10-10-1,changes in atmospheric circulation patterns,altered jet stream patterns,yes,yes
request-10-10-2,altered jet stream patterns,increased temperatures in polar regions,yes,yes
request-10-10-3,increased temperatures in polar regions,accelerated glacial melting,yes,no
request-10-10-4,accelerated glacial melting,melting of glaciers,yes,yes
request-10-11-0,climate change,enhanced sublimation due to higher temperatures,yes,no
request-10-11-1,enhanced sublimation due to higher temperatures,direct loss of glacier ice to the atmosphere,yes,yes
request-10-11-2,direct loss of glacier ice to the atmosphere,decreased glacier mass,yes,yes
request-10-11-3,decreased glacier mass,melting of glaciers,yes,no
request-10-12-0,climate change,increased occurrence of extreme weather events,yes,no
request-10-12-1,increased occurrence of extreme weather events,heavy rainfall leading to glacial lake outburst floods,yes,no
request-10-12-2,heavy rainfall leading to glacial lake outburst floods,destabilization of glacier structures,yes,no
request-10-12-3,destabilization of glacier structures,accelerated glacial melting,yes,yes
request-10-12-4,accelerated glacial melting,melting of glaciers,yes,yes
request-10-13-0,climate change,reduction in snowfall due to warmer temperatures,yes,no
request-10-13-1,reduction in snowfall due to warmer temperatures,negative glacier mass balance,yes,no
request-10-13-2,negative glacier mass balance,retreat of glacier termini,yes,yes
request-10-13-3,retreat of glacier termini,melting of glaciers,yes,yes
request-10-14-0,climate change,oceanic thermal expansion,yes,yes
request-10-14-1,oceanic thermal expansion,increased sea levels,yes,yes
request-10-14-2,increased sea levels,enhanced calving of tidewater glaciers,yes,yes
request-10-14-3,enhanced calving of tidewater glaciers,melting of glaciers,yes,yes
request-10-15-0,climate change,increased cloud cover in polar regions,no,no
request-10-15-1,increased cloud cover in polar regions,trapping of heat in the atmosphere,yes,no
request-10-15-2,trapping of heat in the atmosphere,higher surface temperatures,yes,yes
request-10-15-3,higher surface temperatures,accelerated glacial melting,yes,yes
request-10-15-4,accelerated glacial melting,melting of glaciers,yes,yes
request-11-0-0,meltwater-induced weakening of ocean circulation,reduced transport of cold water to lower latitudes,yes,yes
request-11-0-1,reduced transport of cold water to lower latitudes,accumulation of heat in intermediate-depth waters,yes,yes
request-11-0-2,accumulation of heat in intermediate-depth waters,warming of intermediate-depth waters,yes,yes
request-11-1-0,meltwater-induced weakening of ocean circulation,reduced mixing of surface and deep waters,yes,yes
request-11-1-1,reduced mixing of surface and deep waters,heat trapped at intermediate depths,yes,yes
request-11-1-2,heat trapped at intermediate depths,warming of intermediate-depth waters,yes,no
request-11-2-0,meltwater-induced weakening of ocean circulation,altered thermohaline circulation,yes,yes
request-11-2-1,altered thermohaline circulation,increased retention of heat in ocean interiors,yes,yes
request-11-2-2,increased retention of heat in ocean interiors,warming of intermediate-depth waters,yes,yes
request-11-3-0,meltwater-induced weakening of ocean circulation,increased stratification of ocean layers,yes,no
request-11-3-1,increased stratification of ocean layers,reduced ventilation of intermediate waters,yes,yes
request-11-3-2,reduced ventilation of intermediate waters,warming of intermediate-depth waters,yes,yes
request-11-4-0,meltwater-induced weakening of ocean circulation,shift in ocean currents,yes,yes
request-11-4-1,shift in ocean currents,altered heat distribution,yes,yes
request-11-4-2,altered heat distribution,warming of intermediate-depth waters,yes,yes
request-11-5-0,meltwater-induced weakening of ocean circulation,decreased upwelling of cold deep water,yes,no
request-11-5-1,decreased upwelling of cold deep water,reduced cooling of intermediate waters,yes,no
request-11-5-2,reduced cooling of intermediate waters,warming of intermediate-depth waters,no,yes
request-11-6-0,meltwater-induced weakening of ocean circulation,reduced northward heat transport,yes,yes
request-11-6-1,reduced northward heat transport,heat accumulation in mid-latitudes,yes,no
request-11-6-2,heat accumulation in mid-latitudes,warming of intermediate-depth waters,yes,no
request-11-7-0,meltwater-induced weakening of ocean circulation,change in salinity gradients,yes,yes
request-11-7-1,change in salinity gradients,disruption of thermocline,no,yes
request-11-7-2,disruption of thermocline,warming of intermediate-depth waters,yes,yes
request-11-8-0,meltwater-induced weakening of ocean circulation,enhanced surface warming due to decreased heat transport,yes,yes
request-11-8-1,enhanced surface warming due to decreased heat transport,downward diffusion of heat,no,no
request-11-8-2,downward diffusion of heat,warming of intermediate-depth waters,yes,yes
request-11-9-0,meltwater-induced weakening of ocean circulation,decreased oceanic heat transport to poles,yes,no
request-11-9-1,decreased oceanic heat transport to poles,heat accumulation in subtropical regions,yes,no
request-11-9-2,heat accumulation in subtropical regions,penetration of heat to intermediate depths,yes,yes
request-11-9-3,penetration of heat to intermediate depths,warming of intermediate-depth waters,yes,yes
request-12-0-0,warming of intermediate-depth waters,increased temperature of overlying shallow waters,no,no
request-12-0-1,increased temperature of overlying shallow waters,heat penetration into seafloor sediments,yes,yes
request-12-0-2,heat penetration into seafloor sediments,warming of sediments containing methane hydrates,yes,yes
request-12-0-3,warming of sediments containing methane hydrates,destabilization of shallow subsurface methane hydrates,yes,no
request-12-1-0,warming of intermediate-depth waters,alteration of ocean currents,yes,yes
request-12-1-1,alteration of ocean currents,increased heat transport to shallow regions,yes,yes
request-12-1-2,increased heat transport to shallow regions,elevated temperatures in shallow subsurface sediments,yes,yes
request-12-1-3,elevated temperatures in shallow subsurface sediments,destabilization of shallow subsurface methane hydrates,yes,no
request-12-2-0,warming of intermediate-depth waters,increased stratification of ocean layers,yes,no
request-12-2-1,increased stratification of ocean layers,reduced mixing of cold deep waters,yes,yes
request-12-2-2,reduced mixing of cold deep waters,warming of shallow ocean waters,no,yes
