custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-3-0-3,reduction in greenhouse gas emissions,progress in climate change,yes,yes,no,no
request-3-1-0,systemic change,strengthening of international climate agreements,yes,yes,no,no
request-3-1-1,strengthening of international climate agreements,enhanced cooperation among nations,yes,yes,yes,yes
request-3-1-2,enhanced cooperation among nations,implementation of climate change mitigation policies,yes,yes,yes,yes
request-3-1-3,implementation of climate change mitigation policies,progress in climate change,yes,yes,yes,no
request-3-2-0,systemic change,rise of sustainable consumption patterns,yes,yes,no,yes
request-3-2-1,rise of sustainable consumption patterns,decreased demand for fossil fuels,yes,yes,yes,no
request-3-2-2,decreased demand for fossil fuels,reduction in carbon footprint,yes,yes,yes,yes
request-3-2-3,reduction in carbon footprint,progress in climate change,yes,yes,yes,no
request-3-3-0,systemic change,transformation of transportation infrastructure,yes,yes,yes,yes
request-3-3-1,transformation of transportation infrastructure,increased adoption of electric vehicles,yes,yes,no,yes
request-3-3-2,increased adoption of electric vehicles,decreased air pollution,yes,yes,yes,no
request-3-3-3,decreased air pollution,progress in climate change,yes,yes,no,no
request-3-4-0,systemic change,development of climateresilient infrastructure,yes,yes,no,no
request-3-4-1,development of climateresilient infrastructure,enhanced disaster preparedness,yes,yes,yes,yes
request-3-4-2,enhanced disaster preparedness,reduced vulnerability to climaterelated disasters,yes,yes,yes,yes
request-3-4-3,reduced vulnerability to climaterelated disasters,progress in climate change,yes,yes,yes,no
request-3-5-0,systemic change,shift to circular economy practices,yes,yes,yes,yes
request-3-5-1,shift to circular economy practices,reduction in waste generation,yes,yes,yes,no
request-3-5-2,reduction in waste generation,decreased methane emissions from landfills,yes,no,yes,no
request-3-5-3,decreased methane emissions from landfills,progress in climate change,yes,no,no,no
request-3-6-0,systemic change,increased funding for climate change research,yes,no,no,no
request-3-6-1,increased funding for climate change research,advancements in climate modeling and prediction,yes,yes,yes,yes
request-3-6-2,advancements in climate modeling and prediction,improved climate change adaptation strategies,yes,yes,yes,no
request-3-6-3,improved climate change adaptation strategies,progress in climate change,yes,yes,no,yes
request-3-7-0,systemic change,strengthening of environmental regulations,yes,yes,no,yes
request-3-7-1,strengthening of environmental regulations,enforcement of pollution controls,yes,yes,yes,yes
request-3-7-2,enforcement of pollution controls,reduction in industrial emissions,yes,yes,yes,yes
request-3-7-3,reduction in industrial emissions,progress in climate change,yes,yes,no,no
request-4-0-0,ultrawealthy people,luxury lifestyle,yes,no,yes,no
request-4-0-1,luxury lifestyle,high energy consumption,yes,no,yes,yes
request-4-0-2,high energy consumption,increased carbon emissions,yes,no,yes,yes
request-4-0-3,increased carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-1-0,ultrawealthy people,private jet ownership,yes,no,yes,no
request-4-1-1,private jet ownership,frequent flying,yes,no,no,no
request-4-1-2,frequent flying,higher carbon emissions,yes,no,yes,yes
request-4-1-3,higher carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-2-0,ultrawealthy people,large real estate ownership,yes,yes,yes,yes
request-4-2-1,large real estate ownership,energyintensive properties,yes,no,no,no
request-4-2-2,energyintensive properties,higher energy consumption,yes,yes,yes,yes
request-4-2-3,higher energy consumption,more carbon footprint,yes,yes,yes,yes
request-4-3-0,ultrawealthy people,excessive consumption of resources,yes,no,yes,no
request-4-3-1,excessive consumption of resources,increased industrial production,yes,yes,yes,yes
request-4-3-2,increased industrial production,higher carbon emissions,yes,no,yes,yes
request-4-3-3,higher carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-4-0,ultrawealthy people,investment in fossil fuel industries,yes,yes,yes,yes
request-4-4-1,investment in fossil fuel industries,increased fossil fuel production,yes,yes,yes,no
request-4-4-2,increased fossil fuel production,higher carbon emissions,yes,no,yes,no
request-4-4-3,higher carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-5-0,ultrawealthy people,influence on government policies,yes,no,yes,yes
request-4-5-1,influence on government policies,lax environmental regulations,yes,yes,yes,yes
request-4-5-2,lax environmental regulations,increased carbon emissions,yes,no,yes,no
request-4-5-3,increased carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-6-0,ultrawealthy people,yacht ownership,yes,no,yes,no
request-4-6-1,yacht ownership,fuelintensive watercraft,yes,no,no,no
request-4-6-2,fuelintensive watercraft,higher carbon emissions,yes,no,yes,yes
request-4-6-3,higher carbon emissions,more carbon footprint,yes,yes,yes,yes
request-4-7-0,ultrawealthy people,frequent international travel,yes,no,no,no
request-4-7-1,frequent international travel,increased air travel,yes,yes,yes,yes
request-4-7-2,increased air travel,higher carbon emissions,yes,no,yes,yes
request-4-7-3,higher carbon emissions,more carbon footprint,yes,yes,yes,yes
request-5-0-0,porks cradling into pools that often break loose,pools overflowing into nearby waterways,no,no,no,no
request-5-0-1,pools overflowing into nearby waterways,waterways contaminated with pollutants from pork waste,yes,yes,yes,no
request-5-0-2,waterways contaminated with pollutants from pork waste,contaminated waterways harming aquatic ecosystems,yes,yes,yes,yes
request-5-0-3,contaminated waterways harming aquatic ecosystems,massive environmental damage,yes,yes,yes,yes
request-5-1-0,porks cradling into pools that often break loose,pools overflowing into nearby soil,no,no,no,no
request-5-1-1,pools overflowing into nearby soil,soil contaminated with pollutants from pork waste,yes,yes,yes,no
request-5-1-2,soil contaminated with pollutants from pork waste,contaminated soil affecting local plant growth,yes,no,yes,yes
request-5-1-3,contaminated soil affecting local plant growth,disrupted plant growth leading to ecosystem imbalance,yes,yes,yes,yes
request-5-1-4,disrupted plant growth leading to ecosystem imbalance,massive environmental damage,yes,yes,yes,yes
request-5-2-0,porks cradling into pools that often break loose,pools overflowing into nearby water sources,no,no,no,no
request-5-2-1,pools overflowing into nearby water sources,water sources used for human consumption contaminated,yes,no,yes,no
request-5-2-2,water sources used for human consumption contaminated,humans consuming contaminated water,yes,no,yes,no
request-5-2-3,humans consuming contaminated water,human health problems arising from contaminated water,yes,yes,yes,yes
request-5-2-4,human health problems arising from contaminated water,massive environmental damage,no,yes,yes,yes
request-5-3-0,porks cradling into pools that often break loose,pools overflowing into nearby agricultural land,no,no,no,no
request-5-3-1,pools overflowing into nearby agricultural land,agricultural land contaminated with pollutants from pork waste,yes,yes,yes,no
request-5-3-2,agricultural land contaminated with pollutants from pork waste,contaminated agricultural land affecting crop yields,yes,no,yes,yes
request-5-3-3,contaminated agricultural land affecting crop yields,economic losses due to reduced crop yields,yes,yes,yes,yes
request-5-3-4,economic losses due to reduced crop yields,massive environmental damage,no,yes,no,yes
request-6-0-0,having fewer children,smaller family size,yes,yes,yes,yes
request-6-0-1,smaller family size,lower household consumption,yes,yes,yes,no
request-6-0-2,lower household consumption,reduced energy usage,yes,yes,yes,yes
request-6-0-3,reduced energy usage,lower greenhouse gas emissions,yes,no,yes,yes
request-6-0-4,lower greenhouse gas emissions,smaller carbon footprint,yes,yes,yes,yes
request-6-0-5,smaller carbon footprint,carbon footprint,no,no,no,no
request-6-1-0,having fewer children,less resource allocation,yes,yes,yes,yes
request-6-1-1,less resource allocation,reduced food production,yes,yes,yes,no
request-6-1-2,reduced food production,lower agricultural emissions,yes,no,no,no
request-6-1-3,lower agricultural emissions,lower greenhouse gas emissions,yes,yes,yes,yes
request-6-1-4,lower greenhouse gas emissions,smaller carbon footprint,yes,yes,yes,yes
request-6-1-5,smaller carbon footprint,carbon footprint,no,no,no,no
request-6-2-0,having fewer children,fewer educational resources needed,yes,no,yes,no
request-6-2-1,fewer educational resources needed,less infrastructure development,yes,no,no,no
request-6-2-2,less infrastructure development,reduced construction materials usage,yes,no,no,yes
request-6-2-3,reduced construction materials usage,lower industrial emissions,yes,no,yes,no
request-6-2-4,lower industrial emissions,lower greenhouse gas emissions,yes,yes,yes,yes
request-6-2-5,lower greenhouse gas emissions,smaller carbon footprint,yes,yes,yes,yes
request-6-2-6,smaller carbon footprint,carbon footprint,no,no,no,no
request-6-3-0,having fewer children,lower demand for consumer goods,yes,no,yes,no
request-6-3-1,lower demand for consumer goods,reduced manufacturing output,yes,no,yes,no
request-6-3-2,reduced manufacturing output,lower industrial emissions,yes,no,yes,no
request-6-3-3,lower industrial emissions,lower greenhouse gas emissions,yes,yes,yes,yes
request-6-3-4,lower greenhouse gas emissions,smaller carbon footprint,yes,yes,yes,yes
request-6-3-5,smaller carbon footprint,carbon footprint,no,no,no,no
request-6-4-0,having fewer children,smaller family size,yes,yes,yes,yes
request-6-4-1,smaller family size,lower transportation needs,yes,yes,yes,no
request-6-4-2,lower transportation needs,reduced fuel consumption,yes,yes,yes,yes
request-6-4-3,reduced fuel consumption,lower greenhouse gas emissions,yes,yes,yes,yes
request-6-4-4,lower greenhouse gas emissions,smaller carbon footprint,yes,yes,yes,yes
request-6-4-5,smaller carbon footprint,carbon footprint,no,no,no,no
request-7-0-0,climate change,rising global temperatures,yes,yes,yes,no
request-7-0-1,rising global temperatures,increased moisture in the atmosphere,yes,yes,yes,no
request-7-0-2,increased moisture in the atmosphere,heavier rainfall events,yes,yes,yes,no
request-7-0-3,heavier rainfall events,hurricane harvey's intensification,no,yes,no,yes
request-7-0-4,hurricane harvey's intensification,hurricane harvey's heavy rainfall,yes,no,no,no
request-7-0-5,hurricane harvey's heavy rainfall,flooding in houston,yes,no,yes,no
request-7-0-6,flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-7-1-0,climate change,rising global temperatures,yes,yes,yes,no
request-7-1-1,rising global temperatures,thermal expansion of oceans,yes,no,yes,no
request-7-1-2,thermal expansion of oceans,sea level rise,yes,no,no,no
request-7-1-3,sea level rise,increased storm surge,yes,no,yes,no
request-7-1-4,increased storm surge,hurricane harvey's storm surge,no,yes,no,no
request-7-1-5,hurricane harvey's storm surge,flooding in houston,no,no,no,no
request-7-1-6,flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-7-2-0,climate change,rising global temperatures,yes,yes,yes,no
request-7-2-1,rising global temperatures,changes in atmospheric circulation patterns,yes,no,yes,no
request-7-2-2,changes in atmospheric circulation patterns,shift in hurricane tracks,yes,yes,yes,no
request-7-2-3,shift in hurricane tracks,hurricane harvey's unusual trajectory,yes,yes,no,no
request-7-2-4,hurricane harvey's unusual trajectory,hurricane harvey's heavy rainfall,yes,no,no,no
request-7-2-5,hurricane harvey's heavy rainfall,flooding in houston,yes,no,yes,yes
request-7-2-6,flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-7-3-0,climate change,rising global temperatures,yes,yes,yes,no
request-7-3-1,rising global temperatures,increased water vapor in the atmosphere,yes,yes,yes,no
request-7-3-2,increased water vapor in the atmosphere,more intense hurricanes,yes,yes,yes,no
request-7-3-3,more intense hurricanes,hurricane harvey's intensification,no,no,no,no
request-7-3-4,hurricane harvey's intensification,hurricane harvey's heavy rainfall,yes,no,no,no
request-7-3-5,hurricane harvey's heavy rainfall,flooding in houston,yes,no,yes,no
request-7-3-6,flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-7-4-0,climate change,rising global temperatures,yes,yes,yes,no
request-7-4-1,rising global temperatures,urbanization and development in houston,no,no,no,no
request-7-4-2,urbanization and development in houston,increased impermeable surfaces,yes,no,yes,yes
request-7-4-3,increased impermeable surfaces,reduced stormwater absorption,yes,yes,yes,yes
request-7-4-4,reduced stormwater absorption,flooding in houston,yes,yes,yes,yes
request-7-4-5,flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-8-0-0,methane,methane release,no,no,no,no
request-8-0-1,methane release,atmospheric methane concentration increase,yes,yes,yes,no
request-8-0-2,atmospheric methane concentration increase,global warming,yes,yes,no,no
request-8-0-3,global warming,rising temperatures,yes,yes,yes,no
request-8-0-4,rising temperatures,extreme weather events,yes,no,yes,no
request-8-0-5,extreme weather events,environmental degradation,yes,yes,no,yes
request-8-0-6,environmental degradation,pollution,yes,yes,yes,yes
request-8-1-0,methane,methane combustion,no,no,no,no
request-8-1-1,methane combustion,carbon dioxide emission,yes,no,no,no
request-8-1-2,carbon dioxide emission,greenhouse gas effect,yes,no,no,no
request-8-1-3,greenhouse gas effect,global warming,yes,no,yes,no
request-8-1-4,global warming,rising temperatures,yes,yes,yes,no
request-8-1-5,rising temperatures,extreme weather events,yes,no,yes,no
request-8-1-6,extreme weather events,environmental degradation,yes,yes,no,yes
request-8-1-7,environmental degradation,pollution,yes,yes,yes,yes
request-8-2-0,methane,agricultural activities,no,yes,yes,yes
request-8-2-1,agricultural activities,livestock digestion,no,yes,yes,no
request-8-2-2,livestock digestion,methane emission,yes,yes,yes,no
request-8-2-3,methane emission,atmospheric methane concentration increase,yes,no,yes,no
request-8-2-4,atmospheric methane concentration increase,global warming,yes,yes,no,no
request-8-2-5,global warming,rising temperatures,yes,yes,yes,no
request-8-2-6,rising temperatures,extreme weather events,yes,no,yes,no
request-8-2-7,extreme weather events,environmental degradation,yes,yes,yes,yes
request-8-2-8,environmental degradation,pollution,yes,yes,yes,yes
request-8-3-0,methane,natural gas production,yes,yes,yes,yes
request-8-3-1,natural gas production,methane leakage,yes,no,yes,no
request-8-3-2,methane leakage,atmospheric methane concentration increase,yes,no,no,no
request-8-3-3,atmospheric methane concentration increase,global warming,yes,yes,no,no
request-8-3-4,global warming,rising temperatures,yes,yes,yes,no
request-8-3-5,rising temperatures,extreme weather events,yes,no,yes,no
request-8-3-6,extreme weather events,environmental degradation,yes,yes,yes,yes
request-8-3-7,environmental degradation,pollution,yes,yes,yes,yes
request-8-4-0,methane,landfill waste decomposition,yes,yes,no,yes
request-8-4-1,landfill waste decomposition,methane emission,yes,no,yes,no
request-8-4-2,methane emission,atmospheric methane concentration increase,yes,no,yes,no
request-8-4-3,atmospheric methane concentration increase,global warming,yes,yes,no,no
request-8-4-4,global warming,rising temperatures,yes,yes,yes,no
request-8-4-5,rising temperatures,extreme weather events,yes,no,yes,no
request-8-4-6,extreme weather events,environmental degradation,yes,yes,yes,yes
request-8-4-7,environmental degradation,pollution,yes,yes,yes,yes
request-9-0-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,exposure of methane pockets to warmer temperatures,yes,yes,yes,yes
request-9-0-1,exposure of methane pockets to warmer temperatures,thawing of methane hydrates,yes,yes,yes,yes
request-9-0-2,thawing of methane hydrates,release of methane into the surrounding environment,yes,yes,yes,no
request-9-0-3,release of methane into the surrounding environment,release of methane into the atmosphere,yes,yes,yes,no
request-9-1-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,formation of meltwater lakes and rivers,yes,yes,no,no
request-9-1-1,formation of meltwater lakes and rivers,transportation of methanerich water to the ocean,yes,no,yes,no
request-9-1-2,transportation of methanerich water to the ocean,release of methane from the ocean to the atmosphere,no,no,no,no
request-9-1-3,release of methane from the ocean to the atmosphere,release of methane into the atmosphere,yes,yes,no,no
request-9-2-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,increase in anaerobic conditions,yes,no,no,no
request-9-2-1,increase in anaerobic conditions,growth of methanogenic microorganisms,yes,yes,yes,yes
request-9-2-2,growth of methanogenic microorganisms,production of methane by microorganisms,yes,yes,yes,yes
request-9-2-3,production of methane by microorganisms,release of methane into the atmosphere,yes,no,yes,no
request-9-3-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,shift in soil composition and structure,yes,no,yes,no
request-9-3-1,shift in soil composition and structure,alteration of microbial communities,yes,yes,yes,yes
request-9-3-2,alteration of microbial communities,increased methane production by microorganisms,yes,yes,yes,yes
request-9-3-3,increased methane production by microorganisms,release of methane into the atmosphere,yes,yes,yes,no
request-10-0-0,lunar wobble,changes in earth's rotation rate,yes,yes,yes,no
request-10-0-1,changes in earth's rotation rate,shift in global wind patterns,yes,yes,no,yes
request-10-0-2,shift in global wind patterns,alterations in ocean currents,yes,yes,yes,yes
request-10-0-3,alterations in ocean currents,rise in sea levels,no,yes,no,no
request-10-0-4,rise in sea levels,increased coastal erosion,yes,no,yes,no
request-10-0-5,increased coastal erosion,coastal flooding in the 2030s,yes,yes,no,no
request-10-0-6,coastal flooding in the 2030s,changes in the coastline,yes,yes,no,no
request-10-1-0,lunar wobble,changes in earth's gravitational field,yes,yes,no,no
request-10-1-1,changes in earth's gravitational field,alterations in ocean tides,yes,yes,no,no
request-10-1-2,alterations in ocean tides,increased tidal flooding,yes,yes,no,no
request-10-1-3,increased tidal flooding,coastal flooding in the 2030s,yes,yes,no,no
request-10-1-4,coastal flooding in the 2030s,changes in the coastline,yes,yes,yes,no
request-10-2-0,lunar wobble,changes in earth's axis tilt,yes,no,no,no
request-10-2-1,changes in earth's axis tilt,shift in global climate patterns,yes,no,no,no
request-10-2-2,shift in global climate patterns,increased storm frequency and intensity,yes,yes,yes,no
request-10-2-3,increased storm frequency and intensity,coastal flooding in the 2030s,yes,yes,no,no
request-10-2-4,coastal flooding in the 2030s,changes in the coastline,yes,yes,no,no
request-10-3-0,lunar wobble,changes in earth's rotation rate,yes,yes,yes,no
request-10-3-1,changes in earth's rotation rate,shift in global atmospheric circulation,yes,yes,no,yes
request-10-3-2,shift in global atmospheric circulation,increased precipitation in coastal areas,yes,yes,yes,no
request-10-3-3,increased precipitation in coastal areas,coastal flooding in the 2030s,yes,no,no,no
request-10-3-4,coastal flooding in the 2030s,changes in the coastline,yes,yes,yes,no
request-10-3-5,changes in the coastline,note: these chains are hypothetical and based on general scientific knowledge the actual causal relationships between lunar wobble and coastal flooding in the 2030s and changes in the coastline may be more complex and involve additional steps or different mechanisms,yes,yes,yes,yes
request-11-0-0,drought,reduced water levels,yes,yes,yes,yes
request-11-0-1,reduced water levels,exposure of previously submerged land,yes,yes,yes,yes
request-11-0-2,exposure of previously submerged land,alteration of coastlines,yes,yes,yes,yes
request-11-0-3,alteration of coastlines,changes in geography maps,yes,yes,yes,no
request-11-1-0,drought,decreased vegetation,yes,no,yes,no
request-11-1-1,decreased vegetation,increased soil erosion,yes,yes,yes,yes
request-11-1-2,increased soil erosion,landslides and sedimentation,yes,yes,yes,yes
request-11-1-3,landslides and sedimentation,alteration of river courses,yes,yes,yes,yes
request-11-1-4,alteration of river courses,changes in geography maps,yes,yes,yes,no
request-11-2-0,drought,water scarcity,yes,no,no,no
request-11-2-1,water scarcity,human migration,yes,yes,no,no
request-11-2-2,human migration,changes in population distribution,yes,yes,yes,yes
request-11-2-3,changes in population distribution,redrawing of administrative boundaries,yes,yes,yes,no
request-11-2-4,redrawing of administrative boundaries,changes in geography maps,yes,yes,yes,no
request-11-3-0,drought,crop failures,yes,no,yes,no
request-11-3-1,crop failures,economic disruption,yes,yes,yes,no
request-11-3-2,economic disruption,governmental responses,yes,yes,yes,yes
request-11-3-3,governmental responses,redistricting and border changes,yes,yes,yes,yes
request-11-3-4,redistricting and border changes,changes in geography maps,yes,yes,yes,no
request-11-4-0,drought,increased wildfires,yes,no,yes,no
request-11-4-1,increased wildfires,land degradation,yes,yes,yes,yes
request-11-4-2,land degradation,alteration of ecosystems,yes,yes,yes,yes
request-11-4-3,alteration of ecosystems,changes in natural boundaries,yes,yes,yes,yes
request-11-4-4,changes in natural boundaries,changes in geography maps,yes,yes,yes,no
request-12-0-0,changes in geographical maps,redrawing of national borders,yes,yes,no,yes
request-12-0-1,redrawing of national borders,shift in resource distribution,yes,no,yes,yes
request-12-0-2,shift in resource distribution,economic instability,yes,yes,yes,yes
request-12-0-3,economic instability,increased poverty rates,yes,yes,yes,no
request-12-0-4,increased poverty rates,migration issues,yes,yes,yes,no
request-12-1-0,changes in geographical maps,creation of new trade routes,yes,yes,no,no
request-12-1-1,creation of new trade routes,disruption of traditional commerce,yes,yes,yes,yes
request-12-1-2,disruption of traditional commerce,economic decline,no,yes,yes,no
request-12-1-3,economic decline,social unrest,yes,yes,yes,no
request-12-1-4,social unrest,migration issues,yes,yes,yes,no
request-12-2-0,changes in geographical maps,redistribution of natural resources,yes,no,no,no
request-12-2-1,redistribution of natural resources,environmental degradation,yes,yes,no,no
request-12-2-2,environmental degradation,loss of livelihoods,yes,yes,yes,no
request-12-2-3,loss of livelihoods,forced displacement,yes,yes,yes,yes
request-12-2-4,forced displacement,migration issues,yes,yes,yes,no
request-12-3-0,changes in geographical maps,changes in climate patterns,no,yes,no,yes
request-12-3-1,changes in climate patterns,extreme weather events,yes,yes,yes,no
request-12-3-2,extreme weather events,devastation of infrastructure,yes,no,yes,no
request-12-3-3,devastation of infrastructure,displacement of populations,yes,yes,yes,no
request-12-3-4,displacement of populations,migration issues,yes,yes,yes,yes
request-12-4-0,changes in geographical maps,changes in territorial claims,yes,yes,yes,yes
request-12-4-1,changes in territorial claims,escalation of border conflicts,yes,yes,yes,yes
request-12-4-2,escalation of border conflicts,humanitarian crises,yes,yes,yes,yes
request-12-4-3,humanitarian crises,mass migration,yes,yes,yes,no
request-12-4-4,mass migration,migration issues,yes,yes,no,no
request-13-0-0,methane,methane release,no,no,no,no
request-13-0-1,methane release,atmospheric concentration increase,yes,yes,yes,no
request-13-0-2,atmospheric concentration increase,global warming,yes,yes,yes,no
request-13-0-3,global warming,climate change,yes,yes,no,no
request-13-0-4,climate change,pollution,no,yes,no,yes
request-13-1-0,methane,agricultural activities,no,yes,yes,yes
request-13-1-1,agricultural activities,livestock emissions,yes,no,yes,yes
request-13-1-2,livestock emissions,greenhouse gas emissions,yes,yes,yes,yes
request-13-1-3,greenhouse gas emissions,atmospheric concentration increase,yes,no,yes,no
request-13-1-4,atmospheric concentration increase,global warming,yes,yes,yes,no
request-13-1-5,global warming,climate change,yes,yes,no,no
request-13-1-6,climate change,pollution,no,yes,no,yes
request-13-2-0,methane,natural gas production,yes,yes,yes,yes
request-13-2-1,natural gas production,leakage and venting,yes,no,yes,yes
request-13-2-2,leakage and venting,atmospheric concentration increase,yes,yes,no,no
request-13-2-3,atmospheric concentration increase,global warming,yes,yes,yes,no
request-13-2-4,global warming,climate change,yes,yes,no,no
request-13-2-5,climate change,pollution,no,yes,no,yes
request-13-3-0,methane,landfills,yes,yes,no,yes
request-13-3-1,landfills,organic waste decomposition,no,no,no,no
request-13-3-2,organic waste decomposition,methane emissions,yes,no,yes,no
request-13-3-3,methane emissions,atmospheric concentration increase,yes,yes,yes,no
request-13-3-4,atmospheric concentration increase,global warming,yes,yes,yes,no
request-13-3-5,global warming,climate change,yes,yes,no,no
request-13-3-6,climate change,pollution,no,yes,no,yes
request-13-4-0,methane,coal mining,no,yes,no,no
request-13-4-1,coal mining,methane release,yes,no,yes,no
request-13-4-2,methane release,atmospheric concentration increase,yes,yes,yes,no
request-13-4-3,atmospheric concentration increase,global warming,yes,yes,yes,no
request-13-4-4,global warming,climate change,yes,yes,no,no
request-13-4-5,climate change,pollution,no,yes,no,yes
request-13-4-6,pollution,,no,yes,no,no
request-14-0-0,methane release into arctic ocean sediments and waters,increased methane concentrations in seawater,yes,yes,yes,no
request-14-0-1,increased methane concentrations in seawater,warmer seawater temperatures,no,yes,no,yes
request-14-0-2,warmer seawater temperatures,thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,yes,no
request-14-1-0,methane release into arctic ocean sediments and waters,methane migration into subsea permafrost,yes,yes,yes,yes
request-14-1-1,methane migration into subsea permafrost,increased pressure on subsea permafrost,yes,no,yes,yes
request-14-1-2,increased pressure on subsea permafrost,thawing of subsea permafrost and decomposition of methane hydrates,yes,yes,no,yes
request-14-2-0,methane release into arctic ocean sediments and waters,changes in ocean chemistry and ph levels,yes,yes,yes,no
request-14-2-1,changes in ocean chemistry and ph levels,increased microbial activity in subsea sediments,yes,yes,yes,no
